,acc1,acc2,acc3,acc4,duration,trip_id,utcdate
0,0;0;0,1;0;2,0;-2;0,0;1;1,42739,6,2021-10-27
1,,,,,43016,6,2021-10-27
2,0;0;2,0;0;0,-1;0;-1,0;1;0,43019,6,2021-10-27
3,,,,,43278,6,2021-10-27
4,0;-1;0,-1;0;2,0;0;0,0;1;-2,43280,6,2021-10-27
5,,,,,43546,6,2021-10-27
6,1;0;2,-1;0;0,-1;1;0,0;0;-1,43549,6,2021-10-27
7,,,,,43810,6,2021-10-27
8,0;0;1,-1;1;1,-1;0;-1,1;1;-1,43812,6,2021-10-27
9,,,,,44073,6,2021-10-27
10,0;1;1,0;0;0,-1;0;0,0;0;-2,44076,6,2021-10-27
11,,,,,44342,6,2021-10-27
12,0;-1;0,0;0;1,0;0;-2,0;0;0,44344,6,2021-10-27
13,,,,,44606,6,2021-10-27
14,0;0;0,-1;2;-1,0;0;0,0;0;-1,44608,6,2021-10-27
15,,,,,44867,6,2021-10-27
16,0;0;1,0;0;-1,1;2;-1,0;0;0,44874,6,2021-10-27
17,,,,,45143,6,2021-10-27
18,0;0;1,-1;0;0,-2;0;0,1;0;-1,45146,6,2021-10-27
19,,,,,45406,6,2021-10-27
20,0;-1;0,-1;0;0,0;0;-1,0;0;1,45408,6,2021-10-27
21,,,,,45678,6,2021-10-27
22,0;0;1,0;0;1,0;0;-1,0;0;0,45680,6,2021-10-27
23,,,,,45944,6,2021-10-27
24,0;0;1,-1;0;0,0;0;0,0;0;-1,45946,6,2021-10-27
25,,,,,46205,6,2021-10-27
26,0;-1;0,0;-2;0,0;0;1,-1;0;0,46213,6,2021-10-27
27,,,,,46478,6,2021-10-27
28,1;0;0,2;0;-1,-1;0;0,0;0;0,46480,6,2021-10-27
29,,,,,46745,6,2021-10-27
30,0;0;1,1;-1;1,-1;1;0,-2;0;0,46747,6,2021-10-27
31,,,,,47012,6,2021-10-27
32,2;0;1,0;-1;2,0;0;2,0;0;1,47015,6,2021-10-27
33,,,,,47279,6,2021-10-27
34,1;0;2,1;0;3,0;0;2,0;-2;1,47281,6,2021-10-27
35,,,,,47545,6,2021-10-27
36,0;1;2,0;1;0,0;0;0,0;-2;0,47547,6,2021-10-27
37,,,,,47816,6,2021-10-27
38,0;0;1,0;0;0,0;0;0,0;2;0,47818,6,2021-10-27
39,,,,,48090,6,2021-10-27
