,utcdate,utctime,alt,speed_mph,n_sats
30297,2021-10-25,20:42:16.500000,0,0.0,0
30574,2021-10-25,20:42:16.700000,0,0.0,0
30841,2021-10-25,20:42:17,0,0.0,0
31110,2021-10-25,20:42:17.300000,0,0.0,0
31374,2021-10-25,20:42:17.500000,0,0.0,0
31643,2021-10-25,20:42:17.800000,0,0.0,0
31910,2021-10-25,20:42:18.100000,0,0.0,0
32174,2021-10-25,20:42:18.300000,0,0.0,0
32449,2021-10-25,20:42:18.600000,0,0.0,0
32711,2021-10-25,20:42:18.900000,0,0.0,0
32987,2021-10-25,20:42:19.200000,0,0.0,0
33250,2021-10-25,20:42:19.400000,0,0.0,0
33516,2021-10-25,20:42:19.700000,0,0.0,0
33787,2021-10-25,20:42:20,0,0.0,0
34051,2021-10-25,20:42:20.200000,0,0.0,0
34316,2021-10-25,20:42:20.500000,0,0.0,0
34587,2021-10-25,20:42:20.800000,0,0.0,0
34854,2021-10-25,20:42:21,0,0.0,0
35136,2021-10-25,20:42:21.300000,0,0.0,0
35403,2021-10-25,20:42:21.600000,0,0.0,0
35664,2021-10-25,20:42:21.800000,0,0.0,0
35937,2021-10-25,20:42:22.100000,0,0.0,0
36204,2021-10-25,20:42:22.400000,0,0.0,0
36470,2021-10-25,20:42:22.600000,0,0.0,0
36741,2021-10-25,20:42:22.900000,0,0.0,0
37011,2021-10-25,20:42:23.200000,0,0.0,0
37288,2021-10-25,20:42:23.500000,0,0.0,0
37554,2021-10-25,20:42:23.700000,0,0.0,0
37828,2021-10-25,20:42:24,0,0.0,0
38105,2021-10-25,20:42:24.300000,0,0.0,0
38367,2021-10-25,20:42:24.500000,0,0.0,0
38636,2021-10-25,20:42:24.800000,0,0.0,0
38904,2021-10-25,20:42:25.100000,0,0.0,0
39168,2021-10-25,20:42:25.300000,0,0.0,0
39442,2021-10-25,20:42:25.600000,0,0.0,0
39705,2021-10-25,20:42:25.900000,0,0.0,0
39968,2021-10-25,20:42:26.100000,0,0.0,0
40244,2021-10-25,20:42:26.400000,0,0.0,0
40506,2021-10-25,20:42:26.700000,0,0.0,0
40782,2021-10-25,20:42:26.900000,0,0.0,0
41044,2021-10-25,20:42:27.200000,0,0.0,0
41309,2021-10-25,20:42:27.500000,0,0.0,0
41582,2021-10-25,20:42:27.700000,0,0.0,0
41845,2021-10-25,20:42:28,0,0.0,0
42114,2021-10-25,20:42:28.300000,0,0.0,0
42383,2021-10-25,20:42:28.500000,0,0.0,0
42646,2021-10-25,20:42:28.800000,0,0.0,0
42923,2021-10-25,20:42:29.100000,0,0.0,0
43185,2021-10-25,20:42:29.400000,0,0.0,0
43447,2021-10-25,20:42:29.600000,0,0.0,0
43722,2021-10-25,20:42:29.900000,0,0.0,0
43985,2021-10-25,20:42:30.200000,0,0.0,0
44256,2021-10-25,20:42:30.400000,0,0.0,0
44523,2021-10-25,20:42:30.700000,0,0.0,0
44785,2021-10-25,20:42:31,0,0.0,0
45065,2021-10-25,20:42:31.200000,241,5703.564409,4
45333,2021-10-25,20:42:31.500000,241,6307.537021,4
45601,2021-10-25,20:42:31.700000,242,4629.8353210000005,4
45871,2021-10-25,20:42:32,243,3556.106233,4
46140,2021-10-25,20:42:32.300000,242,4394.957083,4
46417,2021-10-25,20:42:32.600000,241,5166.6998650000005,4
46691,2021-10-25,20:42:32.800000,234,6676.631395,4
46965,2021-10-25,20:42:33.100000,224,7582.590313,4
47241,2021-10-25,20:42:33.400000,223,5837.780545,4
47515,2021-10-25,20:42:33.700000,221,6542.415259,4
47785,2021-10-25,20:42:33.900000,220,7381.266109,4
48056,2021-10-25,20:42:34.200000,215,6341.091055,4
48329,2021-10-25,20:42:34.500000,214,6072.658783,4
48605,2021-10-25,20:42:34.800000,212,6072.658783,4
48892,2021-10-25,20:42:35,215,5435.1321370000005,4
49168,2021-10-25,20:42:35.300000,217,7045.725769,4
49446,2021-10-25,20:42:35.600000,219,7112.833837,4
49712,2021-10-25,20:42:35.900000,222,6743.739463,4
