,index,acc1,acc2,acc3,acc4,duration
0,30017,0;0;0,-1;1;-2,1;1;-2,0;2;0,30017
1,30297,,,,,30297
2,30300,0;1;0,2;-1;0,1;1;0,1;1;0,30300
3,30574,,,,,30574
4,30576,0;1;-2,-2;0;1,0;1;0,0;1;1,30576
5,30841,,,,,30841
6,30843,1;0;1,0;0;0,0;0;0,2;0;2,30843
7,31110,,,,,31110
8,31112,2;2;2,0;2;0,0;0;0,1;2;0,31112
9,31374,,,,,31374
10,31376,0;1;0,0;1;0,0;2;0,0;0;1,31376
11,31643,,,,,31643
12,31645,0;1;0,0;0;-1,0;1;-1,1;1;0,31645
13,31910,,,,,31910
14,31912,1;1;1,3;0;2,0;2;1,1;-2;0,31912
15,32174,,,,,32174
16,32182,1;0;1,0;1;1,0;0;0,0;0;0,32182
17,32449,,,,,32449
18,32451,0;0;1,0;2;0,1;0;-1,0;1;0,32451
19,32711,,,,,32711
20,32714,1;1;1,0;0;0,1;2;0,1;0;2,32714
21,32987,,,,,32987
22,32989,0;0;0,1;2;1,0;0;0,0;2;-1,32989
23,33250,,,,,33250
24,33252,0;0;1,1;1;-2,-1;1;0,1;0;0,33252
25,33516,,,,,33516
26,33518,1;0;0,0;0;0,1;0;-1,0;0;1,33518
27,33787,,,,,33787
28,33789,0;1;2,1;1;1,0;2;0,0;2;1,33789
29,34051,,,,,34051
30,34053,1;2;-1,0;0;0,0;1;1,1;0;0,34053
31,34316,,,,,34316
32,34322,0;1;2,1;2;2,1;0;3,2;0;0,34322
33,34587,,,,,34587
34,34590,0;1;0,0;2;1,2;0;0,1;1;0,34590
35,34854,,,,,34854
36,34856,0;0;0,0;1;-3,0;1;1,0;0;0,34856
37,35136,,,,,35136
38,35138,1;1;0,1;2;2,0;0;2,0;0;0,35138
39,35403,,,,,35403
40,35405,0;2;0,0;1;3,0;0;1,-1;0;-1,35405
41,35664,,,,,35664
42,35672,0;1;1,-1;1;0,2;2;1,0;0;0,35672
43,35937,,,,,35937
44,35939,0;1;1,1;0;0,0;0;2,2;0;0,35939
45,36204,,,,,36204
46,36206,0;0;0,1;0;0,-1;2;1,1;1;1,36206
47,36470,,,,,36470
48,36472,0;0;0,0;0;-1,1;1;0,0;0;1,36472
49,36741,,,,,36741
50,36743,0;2;0,0;2;1,-2;3;1,3;2;-1,36743
51,37011,,,,,37011
52,37013,3;1;2,1;0;0,1;2;-4,1;1;0,37013
53,37288,,,,,37288
54,37291,0;1;1,-2;-1;3,-1;1;3,0;1;0,37291
55,37554,,,,,37554
56,37556,0;0;0,1;2;-1,-1;1;-1,0;3;1,37556
57,37828,,,,,37828
58,37836,0;0;0,1;0;0,0;0;2,0;0;0,37836
59,38105,,,,,38105
60,38107,1;2;2,2;1;-1,1;0;1,0;1;0,38107
61,38367,,,,,38367
62,38369,0;2;1,1;2;1,0;1;0,0;2;0,38369
63,38636,,,,,38636
64,38639,1;0;-1,-1;3;1,0;1;0,1;2;-1,38639
65,38904,,,,,38904
66,38906,0;2;0,0;0;0,0;0;-1,0;3;-1,38906
67,39168,,,,,39168
68,39170,2;0;-1,0;0;0,0;0;0,0;2;0,39170
69,39442,,,,,39442
70,39445,1;1;0,1;2;1,2;0;0,0;0;-1,39445
71,39705,,,,,39705
72,39707,0;0;1,1;0;0,1;0;0,0;1;2,39707
73,39968,,,,,39968
74,39975,-1;1;-1,1;2;0,-1;2;3,0;0;1,39975
75,40244,,,,,40244
76,40246,1;-1;-1,0;2;0,0;2;1,0;0;0,40246
77,40506,,,,,40506
78,40509,-1;2;0,2;0;1,0;0;0,0;1;1,40509
79,40782,,,,,40782
80,40784,0;2;2,0;0;0,0;1;-2,1;0;-1,40784
81,41044,,,,,41044
82,41047,1;1;-1,0;1;-1,-1;0;-1,0;0;-1,41047
83,41309,,,,,41309
84,41315,1;0;0,1;0;3,1;1;0,0;0;0,41315
85,41582,,,,,41582
86,41584,0;1;1,1;0;0,1;1;1,0;1;4,41584
87,41845,,,,,41845
88,41847,3;2;0,2;1;0,0;1;1,1;2;0,41847
89,42114,,,,,42114
90,42117,1;0;0,0;0;0,0;1;2,3;3;1,42117
91,42383,,,,,42383
92,42386,3;2;0,3;1;3,2;2;1,2;2;0,42386
93,42646,,,,,42646
94,42648,0;2;1,4;2;1,3;2;0,4;0;0,42648
95,42923,,,,,42923
96,42925,3;1;0,3;1;1,3;2;1,3;2;0,42925
97,43185,,,,,43185
98,43187,4;0;2,3;1;2,4;1;2,4;2;1,43187
99,43447,,,,,43447
100,43455,3;0;1,3;-1;2,4;1;-1,6;0;2,43455
101,43722,,,,,43722
102,43724,4;0;0,3;1;0,6;0;0,3;0;1,43724
103,43985,,,,,43985
104,43987,4;1;0,6;0;0,5;0;0,4;0;0,43987
105,44256,,,,,44256
106,44259,2;0;1,4;1;2,4;0;1,1;-2;1,44259
107,44523,,,,,44523
108,44525,2;-1;0,1;0;0,1;0;0,2;0;3,44525
109,44785,,,,,44785
110,44787,1;0;0,0;0;0,2;1;1,8;-4;1,44787
111,45065,,,,,45065
112,45068,2;1;1,1;0;0,4;0;1,0;1;0,45068
113,45333,,,,,45333
114,45335,1;0;1,4;0;0,2;0;0,1;0;4,45335
115,45601,,,,,45601
116,45604,1;2;1,4;0;0,5;0;0,7;0;-2,45604
117,45871,,,,,45871
118,45874,4;0;2,8;0;4,0;5;6,3;3;4,45874
119,46140,,,,,46140
120,46148,4;2;10,8;1;0,3;-6;-4,3;-6;-1,46148
121,46417,,,,,46417
122,46420,5;-2;1,3;3;0,6;2;0,5;3;0,46420
123,46691,,,,,46691
124,46693,5;0;0,5;-3;-1,4;-2;-1,4;0;2,46693
125,46965,,,,,46965
126,46968,5;-2;0,3;0;3,3;3;3,0;0;1,46968
127,47241,,,,,47241
128,47243,2;2;3,1;1;-1,1;0;-1,1;-1;-2,47243
129,47515,,,,,47515
130,47518,0;0;0,0;0;0,0;0;0,0;0;0,47518
131,47785,,,,,47785
132,47789,-1;1;1,-1;3;2,1;-2;3,0;0;1,47789
133,48056,,,,,48056
134,48063,3;-2;0,3;-2;-2,0;0;0,2;0;0,48063
135,48329,,,,,48329
136,48332,5;-2;-1,3;-1;3,5;-2;-1,4;0;-1,48332
137,48605,,,,,48605
138,48608,5;-3;0,5;-4;0,5;-3;-1,5;-6;0,48608
139,48892,,,,,48892
140,48896,5;-1;0,6;-2;0,7;0;0,8;0;2,48896
141,49168,,,,,49168
142,49170,5;-2;1,5;-3;1,5;0;-3,3;0;0,49170
143,49446,,,,,49446
144,49449,4;0;0,1;1;3,0;5;-1,0;1;2,49449
145,49712,,,,,49712
146,49714,0;1;2,-2;3;2,0;2;1,-2;0;2,49714
147,49986,,,,,49986
148,49995,-2;1;0,-3;1;-2,-2;2;-1,-3;2;-1,49995
149,50256,,,,,50256
150,50259,-3;0;-1,-2;1;-3,-1;0;-3,0;3;5,50259
151,50527,,,,,50527
152,50529,-8;4;0,-8;0;-4,-5;1;-4,-5;-1;-2,50529
153,50802,,,,,50802
