,index,acc1,acc2,acc3,acc4,duration,utcdate
0,59851,0;-1;-1,0;0;0,0;0;0,0;1;0,59851,2021-11-19
1,64487,,,,,64487,2021-11-19
2,64490,0;-1;-2,-2;0;0,0;-1;0,0;0;0,64490,2021-11-19
3,64751,,,,,64751,2021-11-19
4,64754,0;0;-1,0;0;0,0;0;0,0;1;0,64754,2021-11-19
5,65020,,,,,65020,2021-11-19
6,65022,-1;-1;-1,0;-1;0,0;0;0,0;0;0,65022,2021-11-19
7,65289,,,,,65289,2021-11-19
8,65292,0;0;0,0;0;-1,0;0;0,-1;0;-2,65292,2021-11-19
9,65565,,,,,65565,2021-11-19
10,65573,0;0;0,0;-2;1,0;1;1,0;0;0,65573,2021-11-19
11,65840,,,,,65840,2021-11-19
12,65843,0;0;0,0;1;0,0;0;-3,0;0;0,65843,2021-11-19
13,66110,,,,,66110,2021-11-19
14,66113,0;-1;0,1;0;-1,0;-1;-1,0;0;1,66113,2021-11-19
15,66390,,,,,66390,2021-11-19
16,66393,0;0;0,0;1;-2,0;-1;0,0;1;2,66393,2021-11-19
17,66655,,,,,66655,2021-11-19
18,66658,-1;0;0,0;1;0,0;1;-1,-1;0;1,66658,2021-11-19
19,66927,,,,,66927,2021-11-19
20,66930,1;0;-1,0;0;1,0;0;0,1;0;0,66930,2021-11-19
21,67197,,,,,67197,2021-11-19
22,67201,0;0;0,0;0;0,0;0;0,0;1;0,67201,2021-11-19
23,67467,,,,,67467,2021-11-19
24,67474,2;0;-1,0;1;0,0;0;1,0;0;0,67474,2021-11-19
25,67738,,,,,67738,2021-11-19
26,67740,0;0;-1,0;0;-2,0;2;-1,0;1;-1,67740,2021-11-19
27,68007,,,,,68007,2021-11-19
28,68009,0;2;0,0;0;-1,1;0;-1,0;0;-1,68009,2021-11-19
29,68280,,,,,68280,2021-11-19
30,68283,-1;0;1,0;2;0,0;0;1,0;1;-2,68283,2021-11-19
31,68556,,,,,68556,2021-11-19
32,68558,-1;0;0,0;1;-1,0;0;0,0;0;0,68558,2021-11-19
33,68826,,,,,68826,2021-11-19
34,68833,0;0;4,0;0;1,1;0;0,-1;0;0,68833,2021-11-19
35,69112,,,,,69112,2021-11-19
36,69115,0;0;-1,0;0;0,0;0;0,-2;0;1,69115,2021-11-19
37,69381,,,,,69381,2021-11-19
38,69384,0;0;1,0;0;0,-2;-1;1,-1;1;-2,69384,2021-11-19
39,69656,,,,,69656,2021-11-19
40,69658,0;1;-1,0;0;0,0;-1;0,-1;0;0,69658,2021-11-19
41,69919,,,,,69919,2021-11-19
42,69921,-1;0;0,-2;0;-1,0;-1;-2,-2;0;0,69921,2021-11-19
43,70201,,,,,70201,2021-11-19
44,70204,0;1;0,-1;0;0,0;1;-1,1;0;0,70204,2021-11-19
45,70481,,,,,70481,2021-11-19
46,70484,-2;0;-1,0;-2;-1,1;0;0,0;0;0,70484,2021-11-19
47,70751,,,,,70751,2021-11-19
48,70759,0;0;0,0;0;0,0;0;0,0;0;0,70759,2021-11-19
49,71020,,,,,71020,2021-11-19
50,71022,0;0;1,0;0;-1,0;-1;-1,1;-1;-2,71022,2021-11-19
51,71286,,,,,71286,2021-11-19
52,71288,-1;0;1,0;-1;-1,0;1;0,-1;0;-1,71288,2021-11-19
53,71559,,,,,71559,2021-11-19
54,71562,0;1;0,0;-2;0,1;0;1,0;-1;0,71562,2021-11-19
55,71835,,,,,71835,2021-11-19
56,71837,0;1;0,0;0;0,0;0;0,0;0;0,71837,2021-11-19
57,72113,,,,,72113,2021-11-19
58,72115,0;-1;-2,0;0;-1,0;0;0,0;2;0,72115,2021-11-19
59,72386,,,,,72386,2021-11-19
60,72388,0;1;1,0;1;0,0;0;-3,0;0;0,72388,2021-11-19
61,72654,,,,,72654,2021-11-19
62,72663,0;-1;0,0;-1;0,0;1;0,0;1;0,72663,2021-11-19
63,72935,,,,,72935,2021-11-19
64,72937,0;0;0,1;1;1,0;0;-1,0;0;-1,72937,2021-11-19
65,73197,,,,,73197,2021-11-19
66,73199,0;0;0,1;0;-1,1;0;-1,1;1;1,73199,2021-11-19
67,73474,,,,,73474,2021-11-19
68,73477,0;0;-1,0;1;-1,0;2;1,0;1;0,73477,2021-11-19
69,73745,,,,,73745,2021-11-19
70,73747,0;1;-1,0;0;-2,0;1;0,1;-2;-1,73747,2021-11-19
71,74016,,,,,74016,2021-11-19
72,74023,0;0;0,0;-1;-2,0;-1;-1,2;-2;0,74023,2021-11-19
73,74294,,,,,74294,2021-11-19
74,74296,0;0;0,0;0;1,1;0;0,0;0;0,74296,2021-11-19
75,74561,,,,,74561,2021-11-19
76,74569,-1;2;1,0;2;1,-1;0;-1,0;0;-1,74569,2021-11-19
77,74836,,,,,74836,2021-11-19
78,74840,0;0;0,1;1;0,0;0;0,0;3;0,74840,2021-11-19
79,75099,,,,,75099,2021-11-19
