,rpm,speed,throt_pos,engine_load,bat_volt,duration
59851,902.0,0.0,17,27,14.63,59851
64490,908.0,0.0,16,27,14.63,64490
64754,909.0,0.0,16,27,14.57,64754
65022,908.0,0.0,16,27,14.58,65022
65292,910.0,0.0,16,27,14.6,65292
65573,900.0,0.0,17,28,14.58,65573
65843,892.0,0.0,17,28,14.56,65843
66113,884.0,0.0,17,28,14.54,66113
66393,895.0,0.0,17,27,14.58,66393
66658,892.0,0.0,16,26,14.61,66658
66930,903.0,0.0,16,26,14.6,66930
67201,910.0,0.0,16,26,14.56,67201
67474,920.0,0.0,16,25,14.57,67474
67740,913.0,0.0,16,25,14.57,67740
68009,890.0,0.0,16,27,14.61,68009
68283,891.0,0.0,16,27,14.61,68283
68558,879.0,0.0,16,28,14.63,68558
68833,885.0,0.0,16,28,14.56,68833
69115,880.0,0.0,17,27,14.56,69115
69384,912.0,0.0,16,27,14.62,69384
69658,909.0,0.0,16,27,14.63,69658
69921,903.0,0.0,16,27,14.56,69921
70204,911.0,0.0,16,27,14.6,70204
70484,907.0,0.0,16,27,14.62,70484
70759,902.0,0.0,16,27,14.58,70759
71022,906.0,0.0,16,27,14.56,71022
71288,901.0,0.0,17,28,14.62,71288
71562,901.0,0.0,17,27,14.5,71562
71837,897.0,0.0,17,28,14.52,71837
72115,876.0,0.0,17,27,14.5,72115
72388,903.0,0.0,16,27,14.52,72388
72663,904.0,0.0,16,27,14.53,72663
72937,905.0,0.0,16,26,14.53,72937
73199,906.0,0.0,16,27,14.54,73199
73477,896.0,0.0,16,26,14.53,73477
73747,900.0,0.0,16,27,14.54,73747
74023,890.0,0.0,16,27,14.52,74023
74296,887.0,0.0,17,27,14.52,74296
74569,889.0,0.0,17,28,14.48,74569
74840,903.0,0.0,17,28,14.46,74840
75102,890.0,0.0,17,27,14.5,75102
75371,899.0,0.0,17,27,14.49,75371
75640,907.0,0.0,16,26,14.46,75640
75923,911.0,0.0,16,26,14.46,75923
76200,911.0,0.0,16,27,14.46,76200
76468,905.0,0.0,16,27,14.52,76468
76749,895.0,0.0,16,27,14.48,76749
77017,894.0,0.0,16,28,14.46,77017
77285,896.0,0.0,16,27,14.52,77285
77554,892.0,0.0,17,27,14.45,77554
77957,885.0,0.0,17,27,14.45,77957
78223,894.0,0.0,16,26,14.45,78223
78499,894.0,0.0,17,28,14.46,78499
78780,901.0,0.0,17,28,14.48,78780
79043,904.0,0.0,16,26,14.46,79043
79313,915.0,0.0,16,27,14.46,79313
79581,918.0,0.0,16,26,14.46,79581
79857,914.0,0.0,16,27,14.49,79857
80133,900.0,0.0,16,27,14.49,80133
80409,898.0,0.0,16,27,14.46,80409
80681,899.0,0.0,17,29,14.4,80681
80957,896.0,0.0,17,29,14.42,80957
81226,905.0,0.0,17,27,14.5,81226
81496,900.0,0.0,17,27,14.49,81496
81758,906.0,0.0,16,26,14.52,81758
82033,911.0,0.0,16,26,14.46,82033
82317,910.0,0.0,16,25,14.48,82317
82589,912.0,0.0,16,26,14.44,82589
82860,902.0,0.0,16,26,14.46,82860
83127,893.0,0.0,16,27,14.45,83127
83397,890.0,0.0,16,27,14.48,83397
83661,892.0,0.0,16,27,14.44,83661
83942,893.0,0.0,16,27,14.32,83942
84218,883.0,0.0,17,29,14.0,84218
84492,902.0,0.0,21,48,14.17,84492
84761,846.0,0.0,21,50,14.54,84761
85024,841.0,0.0,21,51,14.39,85024
85294,827.0,0.0,21,52,14.38,85294
85562,831.0,0.0,21,52,14.27,85562
85831,824.0,0.0,21,52,14.25,85831
86099,842.0,0.0,21,54,14.32,86099
86369,859.0,0.0,21,51,14.44,86369
86638,851.0,0.0,20,38,14.29,86638
86920,958.0,0.0,23,44,14.45,86920
87196,1118.0,0.0,24,45,14.45,87196
87464,1159.0,0.0,24,43,14.35,87464
87733,1210.0,0.0,25,42,14.42,87733
88002,1268.0,0.0,25,41,14.49,88002
88267,1304.0,0.0,26,45,14.46,88267
88541,1346.0,0.621371,27,44,14.48,88541
88816,1392.0,0.621371,27,45,14.44,88816
89092,1422.0,1.242742,27,43,14.48,89092
