,acc1,acc2,acc3,acc4,duration
50804,0;1;1,0;0;-2,0;0;-2,-1;2;0,50804
55451,,,,,55451
55454,1;-1;3,0;0;0,0;0;2,2;0;1,55454
55714,,,,,55714
55716,-1;0;0,0;0;-1,0;0;0,1;1;-1,55716
55986,,,,,55986
55988,0;0;1,0;0;0,0;-2;2,1;0;4,55988
56253,,,,,56253
56255,1;0;-1,1;2;0,0;1;0,-1;2;0,56255
56515,,,,,56515
56518,-1;-1;0,0;0;1,1;-1;1,1;-1;1,56518
56791,,,,,56791
56793,0;0;1,1;1;-1,-1;0;0,0;0;0,56793
57065,,,,,57065
57068,1;-1;0,0;0;0,-1;-1;-2,-1;0;0,57068
57328,,,,,57328
57336,1;1;0,-1;0;0,1;-2;0,0;0;0,57336
57601,,,,,57601
57603,1;0;0,-1;0;1,0;1;0,0;0;0,57603
57869,,,,,57869
57871,0;-1;0,0;2;2,0;0;1,1;-1;1,57871
58135,,,,,58135
58138,0;0;0,0;0;1,0;0;-1,1;0;1,58138
58404,,,,,58404
58406,0;1;0,0;2;1,0;0;0,-1;0;0,58406
58669,,,,,58669
58677,0;0;0,0;0;1,0;-1;0,0;0;0,58677
58942,,,,,58942
58945,1;0;-1,0;-1;0,-1;0;-1,0;-1;0,58945
59205,,,,,59205
59207,0;0;0,0;0;1,1;-1;0,0;1;1,59207
59472,,,,,59472
59475,0;0;-1,0;0;-2,1;0;-1,0;1;0,59475
59741,,,,,59741
59743,0;1;0,0;0;-3,0;1;0,1;1;0,59743
60007,,,,,60007
60010,0;1;0,0;1;0,0;1;0,0;0;0,60010
60281,,,,,60281
60283,0;0;2,0;0;-1,0;0;0,0;-1;0,60283
60551,,,,,60551
60553,0;0;0,0;0;1,0;0;-1,1;0;0,60553
60814,,,,,60814
60821,1;1;0,0;0;0,0;1;0,0;0;0,60821
61089,,,,,61089
61091,1;0;-1,0;0;0,0;0;0,0;1;0,61091
61351,,,,,61351
61353,0;-1;0,0;0;0,-1;0;1,-1;0;0,61353
61621,,,,,61621
61623,0;0;0,0;-1;0,0;0;-1,1;-1;0,61623
61890,,,,,61890
61892,0;0;1,1;-1;0,0;-1;0,-1;0;0,61892
62152,,,,,62152
62159,0;1;0,0;0;-1,1;1;-1,0;0;1,62159
62429,,,,,62429
62431,0;0;-1,-2;0;2,1;0;0,0;0;0,62431
62690,,,,,62690
62693,0;0;0,1;0;0,2;0;0,0;0;-1,62693
62961,,,,,62961
62963,0;0;0,-2;0;-1,-1;0;0,0;0;2,62963
63232,,,,,63232
63234,0;0;0,1;0;0,2;0;-1,0;0;0,63234
63500,,,,,63500
63507,1;-1;0,0;0;-1,0;-1;0,1;0;0,63507
63774,,,,,63774
63776,-2;0;0,0;-1;0,0;-1;1,0;-1;1,63776
64037,,,,,64037
64039,-2;0;1,-2;1;-2,0;0;2,0;0;-1,64039
64306,,,,,64306
64309,0;1;0,1;0;0,1;-1;0,3;0;0,64309
64575,,,,,64575
64578,-1;0;0,-3;0;0,-1;0;1,-1;0;0,64578
64844,,,,,64844
64847,-1;0;-2,0;0;1,2;-1;0,1;0;0,64847
65125,,,,,65125
65128,-2;0;0,-2;0;-2,0;0;1,-1;0;1,65128
65389,,,,,65389
65397,-2;0;0,-1;-2;0,-1;0;0,0;0;1,65397
65664,,,,,65664
65667,-2;1;0,-1;0;-1,-1;-1;-2,-2;0;-2,65667
65933,,,,,65933
65936,3;-2;4,1;0;2,3;1;2,-1;0;0,65936
66209,,,,,66209
66211,3;-2;1,3;0;2,1;0;4,2;0;1,66211
66477,,,,,66477
