,acc1,acc2,acc3,acc4,duration
69904,13;14;-3,11;2;5,16;2;-2,15;15;1,69904
74524,,,,,74524
74527,12;14;18,6;17;24,6;20;15,13;18;3,74527
74795,,,,,74795
74797,11;30;7,15;26;2,11;19;-2,13;21;-4,74797
75064,,,,,75064
75066,13;26;7,13;29;12,11;13;16,11;18;14,75066
75332,,,,,75332
75335,17;16;18,17;26;11,10;27;14,9;37;11,75335
75594,,,,,75594
75602,10;25;11,6;23;13,12;34;10,20;22;18,75602
75871,,,,,75871
75873,21;20;15,10;16;10,-3;23;4,17;29;5,75873
76132,,,,,76132
76135,11;29;11,11;10;3,5;24;11,14;20;11,76135
76403,,,,,76403
76405,1;28;15,7;19;8,9;22;11,10;14;1,76405
76672,,,,,76672
76674,10;25;-4,12;30;0,18;19;-6,7;29;6,76674
76935,,,,,76935
76943,8;16;3,7;24;-1,10;19;4,14;19;0,76943
77208,,,,,77208
77210,17;18;-4,8;24;-2,7;16;-2,14;18;-2,77210
77471,,,,,77471
77473,16;21;3,12;13;-3,18;26;3,14;21;4,77473
77743,,,,,77743
77745,13;21;7,15;24;-4,13;26;-3,20;16;3,77745
78010,,,,,78010
78013,18;17;3,17;28;6,9;21;0,5;16;7,78013
78272,,,,,78272
78280,9;20;9,17;25;-4,10;21;-4,8;26;-3,78280
78548,,,,,78548
78551,9;28;0,9;17;-2,14;29;-1,14;25;5,78551
78811,,,,,78811
78813,14;28;-6,10;21;-9,15;20;5,10;21;1,78813
79074,,,,,79074
79076,9;25;0,5;20;6,12;21;4,14;21;-1,79076
79336,,,,,79336
79338,11;24;4,16;26;0,10;26;0,7;26;-1,79338
79599,,,,,79599
79607,16;15;0,12;19;4,14;28;9,8;27;13,79607
79875,,,,,79875
79877,11;38;6,13;36;0,12;26;-8,6;22;-4,79877
80136,,,,,80136
80139,7;18;2,5;12;10,12;18;0,2;16;4,80139
80412,,,,,80412
80414,-1;24;6,7;7;7,-2;12;9,10;21;16,80414
80675,,,,,80675
80677,12;20;0,10;27;-5,5;13;-6,12;27;0,80677
80942,,,,,80942
80950,9;20;8,9;22;10,6;29;10,11;23;10,80950
81212,,,,,81212
81214,13;19;0,12;25;-6,16;19;9,4;19;8,81214
81475,,,,,81475
81477,4;20;1,8;25;5,15;16;10,8;20;18,81477
81744,,,,,81744
81746,8;23;4,12;15;8,13;21;3,7;23;1,81746
82011,,,,,82011
82013,5;15;0,7;20;-6,2;21;0,3;12;-5,82013
82280,,,,,82280
82288,8;25;8,1;27;6,6;12;-1,11;30;1,82288
82552,,,,,82552
82554,10;21;-1,9;23;0,12;26;-2,9;31;-3,82554
82816,,,,,82816
82818,5;28;-10,2;22;1,10;23;-2,0;18;2,82818
83094,,,,,83094
83096,8;26;2,4;11;-1,3;20;1,7;23;-1,83096
83362,,,,,83362
83364,7;29;0,11;21;0,5;26;4,6;16;2,83364
83628,,,,,83628
83631,1;26;2,11;20;6,8;21;4,7;11;2,83631
83899,,,,,83899
83901,6;22;4,7;23;-4,6;35;-9,13;18;-7,83901
84165,,,,,84165
84167,5;28;-5,9;27;-1,6;28;3,9;29;12,84167
84440,,,,,84440
84442,5;27;8,13;31;4,7;30;9,9;24;1,84442
84704,,,,,84704
84706,0;27;7,9;31;0,9;34;-1,8;7;4,84706
84968,,,,,84968
84970,0;19;-2,4;22;6,-5;16;11,8;16;1,84970
85248,,,,,85248
85251,10;13;5,7;21;-2,1;20;-11,10;25;5,85251
85512,,,,,85512
85515,10;14;1,4;24;0,9;8;-8,4;16;-6,85515
85790,,,,,85790
85792,7;16;1,5;15;-4,10;15;5,5;14;6,85792
86055,,,,,86055
86057,10;20;-4,9;17;-4,7;24;-2,0;19;-4,86057
86318,,,,,86318
86321,4;18;1,7;15;-3,12;22;4,8;12;0,86321
86590,,,,,86590
86592,10;16;7,8;31;-6,-1;8;5,2;17;5,86592
86856,,,,,86856
86858,13;30;-4,9;21;2,6;14;-8,14;1;-11,86858
87148,,,,,87148
