,index,rpm,speed,throt_pos,engine_load,bat_volt,duration,utcdate
0,46746,924.0,2.485484,20,50,14.57,46746,2021-11-16
1,51363,800.0,2.485484,20,50,14.71,51363,2021-11-16
2,51624,790.0,2.485484,20,49,14.58,51624,2021-11-16
3,51894,800.0,3.106855,20,48,14.46,51894,2021-11-16
4,52163,808.0,3.106855,20,47,14.54,52163,2021-11-16
5,52425,814.0,3.106855,20,46,14.64,52425,2021-11-16
6,52701,820.0,3.106855,20,45,14.54,52701,2021-11-16
7,52964,853.0,3.7282260000000003,20,39,14.69,52964,2021-11-16
8,53232,922.0,3.7282260000000003,20,37,14.56,53232,2021-11-16
9,53505,944.0,4.349597,20,37,14.6,53505,2021-11-16
10,53773,957.0,4.349597,20,37,14.54,53773,2021-11-16
11,54060,930.0,4.349597,21,47,14.5,54060,2021-11-16
12,54327,904.0,4.349597,21,46,14.56,54327,2021-11-16
13,54596,942.0,4.349597,21,42,14.56,54596,2021-11-16
14,54866,986.0,4.349597,21,40,14.58,54866,2021-11-16
15,55129,1029.0,4.349597,21,37,14.61,55129,2021-11-16
16,55398,1053.0,4.349597,21,37,14.63,55398,2021-11-16
17,55666,1063.0,4.349597,21,36,14.6,55666,2021-11-16
18,55936,1061.0,4.349597,21,37,14.64,55936,2021-11-16
19,56200,1051.0,4.349597,18,27,14.58,56200,2021-11-16
20,56467,978.0,4.349597,19,33,14.64,56467,2021-11-16
21,56734,955.0,4.349597,19,36,14.67,56734,2021-11-16
22,57006,908.0,4.349597,20,40,14.64,57006,2021-11-16
23,57268,865.0,4.349597,20,42,14.62,57268,2021-11-16
24,57543,835.0,3.7282260000000003,20,43,14.67,57543,2021-11-16
25,57806,843.0,3.7282260000000003,20,42,14.54,57806,2021-11-16
26,58074,845.0,3.7282260000000003,20,42,14.66,58074,2021-11-16
27,58337,834.0,3.7282260000000003,20,42,14.54,58337,2021-11-16
28,58607,834.0,3.7282260000000003,20,42,14.69,58607,2021-11-16
29,58876,824.0,3.7282260000000003,20,44,14.69,58876,2021-11-16
30,59145,792.0,3.106855,20,47,14.7,59145,2021-11-16
31,59412,781.0,3.106855,20,46,14.49,59412,2021-11-16
32,59683,804.0,3.106855,20,46,14.69,59683,2021-11-16
33,59959,872.0,3.7282260000000003,23,56,14.52,59959,2021-11-16
34,60234,958.0,3.7282260000000003,24,54,14.69,60234,2021-11-16
35,60496,990.0,4.349597,24,50,14.54,60496,2021-11-16
36,60778,1087.0,4.349597,23,40,14.56,60778,2021-11-16
37,61046,1188.0,4.970968,20,28,14.57,61046,2021-11-16
38,61310,1237.0,5.592339,17,20,14.64,61310,2021-11-16
39,61580,1257.0,6.21371,17,20,14.64,61580,2021-11-16
40,61867,1174.0,6.21371,17,24,14.49,61867,2021-11-16
41,62264,970.0,6.835081,20,41,14.67,62264,2021-11-16
42,62536,884.0,6.835081,20,43,14.6,62536,2021-11-16
43,62799,913.0,6.835081,19,38,14.66,62799,2021-11-16
44,63074,889.0,7.4564520000000005,19,38,14.58,63074,2021-11-16
45,63336,868.0,6.835081,19,38,14.5,63336,2021-11-16
46,63603,868.0,6.835081,19,39,14.57,63603,2021-11-16
47,63875,871.0,6.21371,20,40,14.7,63875,2021-11-16
48,64137,855.0,5.592339,20,42,14.42,64137,2021-11-16
49,64413,839.0,4.970968,20,43,14.5,64413,2021-11-16
50,64675,829.0,4.349597,20,43,14.32,64675,2021-11-16
51,64943,828.0,3.7282260000000003,20,44,14.5,64943,2021-11-16
52,65213,821.0,3.106855,20,47,14.4,65213,2021-11-16
53,65484,795.0,2.485484,20,48,14.27,65484,2021-11-16
54,65764,799.0,2.485484,20,48,14.37,65764,2021-11-16
55,66027,799.0,2.485484,20,49,14.25,66027,2021-11-16
56,66293,798.0,1.8641130000000001,20,50,14.6,66293,2021-11-16
57,66565,798.0,1.8641130000000001,20,50,14.54,66565,2021-11-16
58,66827,802.0,2.485484,25,78,14.36,66827,2021-11-16
59,67096,875.0,2.485484,28,60,14.6,67096,2021-11-16
60,67365,1294.0,3.7282260000000003,29,57,14.48,67365,2021-11-16
61,67634,1337.0,4.349597,29,56,14.54,67634,2021-11-16
62,67905,1395.0,4.970968,30,54,14.53,67905,2021-11-16
63,68166,1467.0,6.21371,30,50,14.54,68166,2021-11-16
64,68448,1594.0,6.835081,30,47,14.49,68448,2021-11-16
65,68716,1704.0,7.4564520000000005,30,47,14.56,68716,2021-11-16
66,68990,1797.0,8.077823,30,44,14.54,68990,2021-11-16
67,69263,1890.0,8.699194,30,46,14.57,69263,2021-11-16
68,69524,1960.0,9.320565,30,44,14.53,69524,2021-11-16
69,69798,2050.0,9.320565,31,44,14.57,69798,2021-11-16
70,70068,2128.0,9.941936,31,46,14.56,70068,2021-11-16
71,70337,2148.0,9.941936,31,48,14.54,70337,2021-11-16
72,70600,1958.0,10.563307,32,59,14.62,70600,2021-11-16
73,70864,1775.0,11.184678,32,63,14.58,70864,2021-11-16
74,71138,1753.0,11.806049,33,63,14.54,71138,2021-11-16
75,71408,1836.0,12.42742,33,61,14.5,71408,2021-11-16
76,71674,1893.0,13.048791,33,60,14.54,71674,2021-11-16
77,71946,1945.0,13.048791,33,60,14.46,71946,2021-11-16
78,72209,2012.0,13.670162,33,59,14.48,72209,2021-11-16
79,72482,2076.0,14.291533,31,42,14.5,72482,2021-11-16
80,72745,2041.0,14.912904000000001,29,37,14.46,72745,2021-11-16
81,73013,2052.0,14.912904000000001,27,32,14.49,73013,2021-11-16
82,73284,2034.0,15.534275000000001,27,32,14.41,73284,2021-11-16
83,73559,2033.0,15.534275000000001,27,31,14.46,73559,2021-11-16
84,73841,2029.0,15.534275000000001,27,31,14.45,73841,2021-11-16
85,74104,2034.0,15.534275000000001,27,30,14.45,74104,2021-11-16
86,74372,2018.0,15.534275000000001,26,28,14.48,74372,2021-11-16
87,74636,2011.0,15.534275000000001,25,25,14.48,74636,2021-11-16
88,74899,1998.0,15.534275000000001,24,24,14.48,74899,2021-11-16
89,75167,1961.0,14.912904000000001,22,22,14.5,75167,2021-11-16
90,75444,1889.0,15.534275000000001,21,20,14.46,75444,2021-11-16
91,75717,1856.0,14.912904000000001,21,19,14.54,75717,2021-11-16
92,75986,1794.0,14.912904000000001,20,18,14.49,75986,2021-11-16
93,76250,1724.0,14.912904000000001,19,18,14.56,76250,2021-11-16
94,76525,1672.0,14.291533,19,19,14.52,76525,2021-11-16
95,76787,1624.0,14.291533,19,19,14.5,76787,2021-11-16
96,77063,1586.0,14.291533,19,19,14.49,77063,2021-11-16
97,77326,1545.0,13.670162,19,20,14.5,77326,2021-11-16
98,77588,1514.0,13.670162,19,20,14.49,77588,2021-11-16
99,77863,1473.0,13.048791,19,20,14.48,77863,2021-11-16
100,78127,1440.0,13.048791,19,21,14.49,78127,2021-11-16
101,78394,1418.0,13.048791,19,21,14.54,78394,2021-11-16
102,78664,1392.0,12.42742,19,21,14.5,78664,2021-11-16
103,78926,1364.0,12.42742,18,21,14.5,78926,2021-11-16
