,acc1,acc2,acc3,acc4,duration,trip_id,utcdate
0,24;4;8,19;4;6,18;5;7,18;3;9,52879,25,2021-11-19
1,,,,,57517,25,2021-11-19
2,19;6;6,20;5;9,19;3;7,19;4;7,57520,25,2021-11-19
3,,,,,57781,25,2021-11-19
4,20;5;7,20;5;8,19;5;7,20;6;9,57783,25,2021-11-19
5,,,,,58048,25,2021-11-19
6,20;5;7,19;4;8,20;3;6,19;4;7,58050,25,2021-11-19
7,,,,,58312,25,2021-11-19
8,19;5;6,18;3;9,18;7;9,18;4;6,58314,25,2021-11-19
9,,,,,58574,25,2021-11-19
10,19;3;7,19;4;7,19;5;10,19;5;7,58577,25,2021-11-19
11,,,,,58844,25,2021-11-19
12,19;5;10,18;5;7,18;6;8,20;5;8,58846,25,2021-11-19
13,,,,,59106,25,2021-11-19
14,19;5;10,18;6;10,19;4;7,19;5;7,59108,25,2021-11-19
15,,,,,59370,25,2021-11-19
16,19;4;7,20;5;7,20;5;9,19;2;7,59376,25,2021-11-19
17,,,,,59639,25,2021-11-19
18,19;6;10,20;3;7,20;4;6,19;4;10,59642,25,2021-11-19
19,,,,,59907,25,2021-11-19
20,18;4;9,18;6;9,19;5;9,18;4;8,59909,25,2021-11-19
21,,,,,60176,25,2021-11-19
22,19;3;6,18;4;7,19;5;8,18;6;9,60178,25,2021-11-19
23,,,,,60444,25,2021-11-19
24,20;4;7,18;5;7,20;4;7,19;4;9,60447,25,2021-11-19
25,,,,,60709,25,2021-11-19
26,18;3;7,19;5;7,18;4;10,18;4;9,60717,25,2021-11-19
27,,,,,60983,25,2021-11-19
28,18;5;9,19;4;8,19;5;7,19;6;8,60985,25,2021-11-19
29,,,,,61246,25,2021-11-19
30,20;7;10,20;3;6,20;4;9,18;5;8,61248,25,2021-11-19
31,,,,,61514,25,2021-11-19
32,18;4;9,19;5;9,20;5;9,19;5;8,61517,25,2021-11-19
33,,,,,61786,25,2021-11-19
34,19;4;9,20;5;7,20;5;6,19;6;8,61788,25,2021-11-19
35,,,,,62060,25,2021-11-19
36,18;5;7,20;5;8,19;5;10,19;5;7,62068,25,2021-11-19
37,,,,,62337,25,2021-11-19
38,20;4;6,19;5;9,18;5;8,19;6;8,62340,25,2021-11-19
39,,,,,62611,25,2021-11-19
40,20;5;9,19;5;8,19;3;7,19;5;7,62614,25,2021-11-19
41,,,,,62883,25,2021-11-19
42,16;3;7,16;4;9,16;5;7,16;4;7,62886,25,2021-11-19
43,,,,,63152,25,2021-11-19
44,16;5;8,17;5;7,16;4;5,16;3;8,63154,25,2021-11-19
45,,,,,63429,25,2021-11-19
46,18;6;6,16;5;8,17;5;8,17;4;7,63431,25,2021-11-19
47,,,,,63700,25,2021-11-19
48,17;7;8,17;5;7,15;5;7,14;6;6,63704,25,2021-11-19
49,,,,,63970,25,2021-11-19
50,11;4;7,14;5;7,13;4;7,14;5;6,63978,25,2021-11-19
51,,,,,64245,25,2021-11-19
52,14;5;6,13;5;7,13;6;8,14;3;7,64247,25,2021-11-19
53,,,,,64514,25,2021-11-19
54,14;4;7,14;5;3,13;5;5,15;5;7,64517,25,2021-11-19
55,,,,,64789,25,2021-11-19
56,15;4;6,15;5;7,14;5;7,14;6;8,64791,25,2021-11-19
57,,,,,65064,25,2021-11-19
58,15;4;6,15;5;8,15;4;4,15;6;7,65067,25,2021-11-19
59,,,,,65333,25,2021-11-19
60,15;6;7,15;4;7,16;5;7,16;5;7,65336,25,2021-11-19
61,,,,,65602,25,2021-11-19
62,15;4;6,14;5;7,15;6;9,15;2;4,65604,25,2021-11-19
63,,,,,65865,25,2021-11-19
64,15;5;8,16;4;6,14;4;6,15;5;6,65872,25,2021-11-19
65,,,,,66142,25,2021-11-19
66,14;5;6,13;6;7,14;4;2,11;4;6,66145,25,2021-11-19
67,,,,,66416,25,2021-11-19
68,10;3;10,15;3;8,12;4;5,9;5;7,66418,25,2021-11-19
69,,,,,66693,25,2021-11-19
70,8;5;7,10;6;5,10;3;4,5;4;8,66696,25,2021-11-19
71,,,,,66967,25,2021-11-19
72,9;4;4,9;5;5,9;7;5,8;6;6,66969,25,2021-11-19
73,,,,,67241,25,2021-11-19
74,5;4;6,5;6;6,9;4;5,8;4;1,67249,25,2021-11-19
75,,,,,67515,25,2021-11-19
76,8;3;6,8;5;7,7;2;4,9;3;6,67518,25,2021-11-19
77,,,,,67786,25,2021-11-19
78,6;2;8,11;5;4,10;1;6,9;2;6,67794,25,2021-11-19
79,,,,,68067,25,2021-11-19
80,10;4;6,10;4;8,11;-2;6,13;0;6,68070,25,2021-11-19
81,,,,,68342,25,2021-11-19
82,10;1;6,12;-9;9,10;-4;8,11;-6;5,68345,25,2021-11-19
83,,,,,68618,25,2021-11-19
84,20;-9;-37,13;-19;1,14;-12;12,15;-13;29,68621,25,2021-11-19
85,,,,,68887,25,2021-11-19
86,19;-14;28,25;-14;14,26;-15;6,25;-18;2,68889,25,2021-11-19
87,,,,,69169,25,2021-11-19
88,27;-15;7,23;-15;11,26;-11;8,17;-23;-5,69172,25,2021-11-19
89,,,,,69444,25,2021-11-19
90,25;-31;12,27;-18;15,24;-23;17,21;-9;13,69446,25,2021-11-19
91,,,,,69719,25,2021-11-19
92,14;-7;20,23;-5;14,28;-17;6,23;-17;1,69726,25,2021-11-19
93,,,,,69988,25,2021-11-19
94,24;-17;-10,22;-13;12,17;-8;16,19;-3;16,69991,25,2021-11-19
95,,,,,70257,25,2021-11-19
96,23;-5;17,22;-5;10,23;-8;4,27;-15;12,70265,25,2021-11-19
97,,,,,70539,25,2021-11-19
98,24;-11;2,23;-23;-11,25;-18;25,18;-4;24,70542,25,2021-11-19
99,,,,,70815,25,2021-11-19
100,16;1;16,15;5;14,34;13;3,27;-27;8,70818,25,2021-11-19
101,,,,,71089,25,2021-11-19
102,28;-32;9,17;-2;-2,11;-4;5,14;-8;7,71092,25,2021-11-19
103,,,,,71365,25,2021-11-19
104,17;-9;9,16;-5;10,11;-6;28,22;0;12,71367,25,2021-11-19
105,,,,,71648,25,2021-11-19
106,11;-15;6,14;-10;6,14;-7;6,14;-3;2,71650,25,2021-11-19
107,,,,,71920,25,2021-11-19
108,9;-6;8,14;-4;5,14;-14;-6,12;-17;8,71923,25,2021-11-19
109,,,,,72193,25,2021-11-19
110,9;-8;11,8;-6;15,7;-2;17,11;0;11,72200,25,2021-11-19
111,,,,,72466,25,2021-11-19
112,13;-6;6,10;-11;11,14;-10;8,10;-11;7,72468,25,2021-11-19
113,,,,,72741,25,2021-11-19
