,acc1,acc2,acc3,acc4,duration
3115,1;-2;0,0;0;2,0;0;1,0;0;-2,3115
7774,,,,,7774
7777,0;0;0,0;0;0,2;0;3,-1;0;1,7777
8042,,,,,8042
8044,0;0;-3,0;-1;-2,0;0;2,0;0;1,8044
8315,,,,,8315
8317,-1;0;-1,0;-1;-1,2;0;1,2;0;0,8317
8578,,,,,8578
8581,0;0;0,1;0;1,0;0;2,0;0;1,8581
8842,,,,,8842
8845,-1;0;-2,1;0;2,0;0;1,1;-2;0,8845
9117,,,,,9117
9119,-1;1;0,-1;0;0,0;0;-1,0;-2;-1,9119
9379,,,,,9379
9381,1;0;0,1;-2;1,1;0;2,1;0;0,9381
9655,,,,,9655
9657,1;0;2,1;0;0,0;0;0,0;0;0,9657
9918,,,,,9918
9920,0;0;1,0;0;-1,1;-2;0,0;0;1,9920
10193,,,,,10193
10195,-1;0;0,0;0;-1,2;-1;1,0;0;0,10195
10468,,,,,10468
10471,1;0;1,-4;0;0,0;0;1,0;0;0,10471
10737,,,,,10737
10739,1;-1;0,0;-1;0,1;0;0,2;0;2,10739
11011,,,,,11011
11013,0;0;-1,0;0;-1,0;0;-1,0;0;0,11013
11282,,,,,11282
11285,0;-1;0,1;-1;1,0;0;2,0;1;2,11285
11553,,,,,11553
11561,-2;0;0,-1;0;0,0;1;2,-2;0;0,11561
11832,,,,,11832
11835,0;-1;1,0;0;0,1;1;0,0;1;0,11835
12107,,,,,12107
12109,-2;0;0,-2;1;0,0;0;0,0;0;-3,12109
12383,,,,,12383
12386,1;0;-2,3;0;0,0;1;3,0;1;3,12386
12654,,,,,12654
12656,1;0;-3,0;-1;-1,1;0;1,2;0;0,12656
12929,,,,,12929
12932,0;1;1,-1;0;-1,1;0;-1,0;-1;3,12932
13196,,,,,13196
13199,-3;1;0,-1;0;-1,-3;0;0,0;0;-1,13199
13471,,,,,13471
13478,0;-2;0,-2;2;0,0;-1;-3,0;0;1,13478
13747,,,,,13747
13750,-2;0;-1,-1;0;-1,-3;1;-1,-2;0;0,13750
14015,,,,,14015
14017,1;0;0,0;0;0,-2;1;0,0;0;0,14017
14284,,,,,14284
14286,-1;0;-1,-1;0;0,2;0;2,0;2;0,14286
14546,,,,,14546
14550,0;-1;-2,0;-3;0,0;-2;0,-1;-2;-3,14550
14829,,,,,14829
14836,0;0;0,0;1;0,0;1;-2,1;-2;0,14836
15097,,,,,15097
15100,0;1;0,-1;-1;0,0;-1;-2,0;-1;0,15100
15362,,,,,15362
15371,0;0;0,-1;0;0,2;0;0,0;0;0,15371
15636,,,,,15636
15638,0;0;0,-2;-2;0,0;-1;0,0;0;1,15638
15911,,,,,15911
15915,0;0;0,0;0;1,0;0;2,0;1;-1,15915
16186,,,,,16186
16188,2;0;0,-1;0;0,-2;-2;1,0;0;-1,16188
16456,,,,,16456
