,index,rpm,speed,throt_pos,engine_load,bat_volt,duration,utcdate
0,3115,1598.0,0.0,29,62,14.71,3115,2021-11-16
1,7777,1360.0,0.0,29,63,14.7,7777,2021-11-16
2,8044,1357.0,0.0,29,62,14.77,8044,2021-11-16
3,8317,1353.0,0.0,29,63,14.7,8317,2021-11-16
4,8581,1363.0,0.0,30,62,14.71,8581,2021-11-16
5,8845,1364.0,0.0,30,64,14.75,8845,2021-11-16
6,9119,1345.0,0.0,30,64,14.71,9119,2021-11-16
7,9381,1365.0,0.0,30,63,14.69,9381,2021-11-16
8,9657,1367.0,0.0,30,64,14.71,9657,2021-11-16
9,9920,1359.0,0.0,30,63,14.79,9920,2021-11-16
10,10195,1313.0,0.0,29,63,14.67,10195,2021-11-16
11,10471,1357.0,0.0,30,63,14.71,10471,2021-11-16
12,10739,1394.0,0.0,30,61,14.69,10739,2021-11-16
13,11013,1369.0,0.0,30,64,14.71,11013,2021-11-16
14,11285,1341.0,0.0,30,62,14.79,11285,2021-11-16
15,11561,1352.0,0.0,29,61,14.67,11561,2021-11-16
16,11835,1375.0,0.0,30,64,14.75,11835,2021-11-16
17,12109,1371.0,0.0,30,63,14.74,12109,2021-11-16
18,12386,1381.0,0.0,30,64,14.75,12386,2021-11-16
19,12656,1369.0,0.0,30,64,14.75,12656,2021-11-16
20,12932,1344.0,0.0,30,64,14.75,12932,2021-11-16
21,13199,1367.0,0.0,30,64,14.5,13199,2021-11-16
22,13478,1372.0,0.0,30,65,14.69,13478,2021-11-16
23,13750,1362.0,0.0,30,62,14.71,13750,2021-11-16
24,14017,1370.0,0.0,30,62,14.75,14017,2021-11-16
25,14286,1373.0,0.0,29,63,14.73,14286,2021-11-16
26,14550,1348.0,0.0,29,60,14.58,14550,2021-11-16
27,14836,1298.0,0.0,30,71,14.65,14836,2021-11-16
28,15100,1218.0,0.0,30,73,14.66,15100,2021-11-16
29,15371,1176.0,0.0,30,78,14.63,15371,2021-11-16
30,15638,1108.0,0.0,29,76,14.63,15638,2021-11-16
31,15915,1105.0,0.0,27,67,14.62,15915,2021-11-16
32,16188,1047.0,0.0,27,63,14.67,16188,2021-11-16
33,16458,1064.0,0.0,27,63,14.71,16458,2021-11-16
34,16733,1063.0,0.0,26,58,14.66,16733,2021-11-16
35,17003,1137.0,0.0,25,50,14.71,17003,2021-11-16
36,17270,1203.0,0.0,25,47,14.71,17270,2021-11-16
37,17541,1256.0,0.0,26,49,14.71,17541,2021-11-16
38,17816,1257.0,0.621371,26,49,14.71,17816,2021-11-16
39,18097,1248.0,0.621371,26,51,14.74,18097,2021-11-16
40,18360,1179.0,0.621371,26,52,14.67,18360,2021-11-16
41,18633,1181.0,0.621371,27,53,14.79,18633,2021-11-16
42,18907,1240.0,1.242742,27,54,14.73,18907,2021-11-16
43,19176,1300.0,1.242742,27,51,14.71,19176,2021-11-16
44,19450,1348.0,1.242742,28,51,14.74,19450,2021-11-16
45,19718,1367.0,1.8641130000000001,28,52,14.74,19718,2021-11-16
46,19991,1372.0,1.8641130000000001,28,53,14.7,19991,2021-11-16
47,20256,1380.0,2.485484,28,53,14.69,20256,2021-11-16
48,20537,1389.0,2.485484,29,53,14.69,20537,2021-11-16
49,20815,1395.0,3.106855,27,48,14.73,20815,2021-11-16
50,21082,1376.0,3.106855,21,33,14.71,21082,2021-11-16
51,21367,1178.0,3.106855,22,41,14.71,21367,2021-11-16
52,21645,1087.0,3.106855,23,50,14.67,21645,2021-11-16
53,21922,1023.0,3.106855,23,53,14.64,21922,2021-11-16
54,22195,958.0,2.485484,24,56,14.75,22195,2021-11-16
55,22463,984.0,2.485484,25,55,14.6,22463,2021-11-16
56,22733,1078.0,2.485484,26,52,14.65,22733,2021-11-16
57,23002,1173.0,2.485484,26,49,14.7,23002,2021-11-16
58,23285,1229.0,2.485484,26,49,14.74,23285,2021-11-16
59,23560,1223.0,2.485484,26,50,14.69,23560,2021-11-16
60,23838,1211.0,2.485484,26,50,14.71,23838,2021-11-16
61,24110,1200.0,2.485484,26,50,14.75,24110,2021-11-16
62,24384,1193.0,2.485484,26,50,14.69,24384,2021-11-16
63,24655,1191.0,2.485484,26,50,14.75,24655,2021-11-16
64,24926,1189.0,2.485484,26,50,14.75,24926,2021-11-16
65,25207,1185.0,2.485484,26,51,14.71,25207,2021-11-16
66,25475,1188.0,2.485484,26,50,14.66,25475,2021-11-16
67,25750,1197.0,2.485484,26,51,14.67,25750,2021-11-16
68,26025,1200.0,2.485484,26,51,14.67,26025,2021-11-16
69,26300,1196.0,2.485484,26,52,14.67,26300,2021-11-16
70,26574,1190.0,2.485484,21,31,14.74,26574,2021-11-16
71,26846,1123.0,2.485484,21,41,14.67,26846,2021-11-16
72,27120,943.0,2.485484,24,58,14.71,27120,2021-11-16
73,27395,974.0,2.485484,25,56,14.74,27395,2021-11-16
74,27688,1047.0,1.8641130000000001,25,59,13.92,27688,2021-11-16
75,27965,1024.0,1.8641130000000001,25,59,14.64,27965,2021-11-16
76,28238,1035.0,1.8641130000000001,26,56,14.61,28238,2021-11-16
77,28514,1061.0,1.8641130000000001,25,55,14.56,28514,2021-11-16
78,28777,1072.0,1.8641130000000001,26,55,14.62,28777,2021-11-16
79,29056,1089.0,1.242742,26,55,14.64,29056,2021-11-16
80,29333,1103.0,1.242742,26,56,14.7,29333,2021-11-16
81,29614,1089.0,1.242742,26,55,14.66,29614,2021-11-16
82,29878,1099.0,1.242742,26,54,14.67,29878,2021-11-16
83,30154,1100.0,1.242742,26,55,14.71,30154,2021-11-16
84,30428,1113.0,1.242742,27,58,14.69,30428,2021-11-16
85,30697,1162.0,1.242742,27,58,14.67,30697,2021-11-16
86,30972,1202.0,0.621371,29,63,14.64,30972,2021-11-16
87,31242,1223.0,1.242742,29,59,14.63,31242,2021-11-16
88,31521,1304.0,1.242742,27,52,14.63,31521,2021-11-16
89,31794,1291.0,1.8641130000000001,28,57,14.67,31794,2021-11-16
90,32061,1256.0,1.8641130000000001,28,57,14.63,32061,2021-11-16
91,32345,1270.0,1.242742,28,56,14.66,32345,2021-11-16
92,32617,1265.0,1.242742,28,56,14.64,32617,2021-11-16
93,32898,1250.0,1.242742,28,58,14.58,32898,2021-11-16
94,33176,1239.0,1.242742,28,58,14.54,33176,2021-11-16
95,33451,1231.0,1.242742,23,41,14.56,33451,2021-11-16
96,33720,1078.0,1.242742,25,59,14.6,33720,2021-11-16
97,33994,973.0,1.242742,26,59,14.58,33994,2021-11-16
98,34277,1069.0,1.242742,26,54,14.63,34277,2021-11-16
99,34544,1102.0,1.242742,26,53,14.56,34544,2021-11-16
100,34826,1121.0,1.242742,25,52,14.69,34826,2021-11-16
101,35107,1131.0,1.8641130000000001,26,54,14.58,35107,2021-11-16
102,35389,1118.0,2.485484,26,54,14.61,35389,2021-11-16
103,35658,1074.0,1.8641130000000001,21,42,14.57,35658,2021-11-16
104,35939,914.0,1.242742,22,54,14.67,35939,2021-11-16
105,36208,899.0,1.242742,24,55,14.66,36208,2021-11-16
106,36478,985.0,1.242742,25,59,14.54,36478,2021-11-16
107,36756,1001.0,1.242742,25,58,14.56,36756,2021-11-16
108,37024,1043.0,1.242742,25,54,14.6,37024,2021-11-16
109,37303,1094.0,1.8641130000000001,21,41,14.54,37303,2021-11-16
