,acc1,acc2,acc3,acc4,duration
31679,0;0;1,0;0;0,0;0;0,0;0;1,31679
31955,,,,,31955
31959,0;0;0,0;1;1,0;0;2,0;-1;2,31959
32225,,,,,32225
32227,1;-1;3,0;0;-1,0;0;-1,0;0;0,32227
32494,,,,,32494
32497,0;0;0,0;-1;0,0;1;0,0;0;-1,32497
32770,,,,,32770
32772,1;0;1,0;0;1,-1;0;0,-1;0;0,32772
33038,,,,,33038
33047,0;0;0,1;1;2,0;-1;1,0;-1;0,33047
33313,,,,,33313
33316,0;-1;1,1;0;0,2;0;2,-1;0;0,33316
33576,,,,,33576
33579,0;0;3,0;0;-1,-1;0;0,1;0;2,33579
33851,,,,,33851
33854,0;1;-1,-1;0;0,0;0;0,1;0;1,33854
34114,,,,,34114
34117,0;0;-2,0;0;0,0;0;-1,0;0;-1,34117
34395,,,,,34395
34398,1;0;1,1;0;2,1;0;1,0;0;0,34398
34672,,,,,34672
34675,0;0;-1,-1;0;-2,0;-1;0,0;0;0,34675
34942,,,,,34942
34950,0;0;1,0;1;0,-1;0;0,0;0;-1,34950
35215,,,,,35215
35218,0;0;0,-1;0;0,-1;0;-1,0;0;0,35218
35478,,,,,35478
35481,0;0;-1,0;0;0,0;1;-1,0;1;0,35481
35753,,,,,35753
35756,1;0;0,-1;1;0,0;0;0,0;0;0,35756
36017,,,,,36017
36019,-1;0;-1,-1;1;0,0;0;0,-1;1;0,36019
36295,,,,,36295
36298,0;1;0,0;0;0,-1;0;0,-1;0;-1,36298
36567,,,,,36567
36569,1;-1;3,1;-1;1,-1;-1;0,0;0;0,36569
36842,,,,,36842
36850,0;-1;-2,0;0;0,0;2;2,1;0;3,36850
37117,,,,,37117
37120,-1;1;0,0;0;2,0;0;3,0;0;1,37120
37382,,,,,37382
37385,0;1;-2,0;0;-1,-1;2;-2,-1;2;-2,37385
37655,,,,,37655
37658,0;0;-1,-2;1;-2,-1;0;-2,-1;1;-2,37658
37918,,,,,37918
37920,0;0;2,2;0;1,1;-1;2,0;0;2,37920
38193,,,,,38193
38202,-2;1;-2,-1;0;-1,-1;0;-2,0;0;-1,38202
38469,,,,,38469
38471,1;0;0,1;0;3,0;-2;0,1;0;1,38471
38744,,,,,38744
38752,-2;1;0,-1;1;-2,0;1;-1,0;0;-2,38752
39019,,,,,39019
39022,2;0;1,0;1;-1,-2;1;-3,0;0;0,39022
39282,,,,,39282
39284,1;0;1,1;0;2,0;0;3,1;0;3,39284
39566,,,,,39566
39569,-2;0;0,-1;1;-1,-2;0;0,0;1;-1,39569
39832,,,,,39832
39835,0;0;0,-1;1;0,-1;0;0,0;0;0,39835
40095,,,,,40095
40102,0;0;2,0;0;0,0;0;0,0;1;-1,40102
40371,,,,,40371
40374,0;0;0,0;0;0,0;0;0,0;0;0,40374
40646,,,,,40646
40648,-1;0;0,1;0;4,0;-1;1,0;0;-2,40648
40922,,,,,40922
40925,0;0;0,2;0;1,0;0;3,1;0;1,40925
41197,,,,,41197
41199,-1;1;0,0;0;0,-1;0;0,0;0;0,41199
41477,,,,,41477
41479,1;0;2,0;0;0,-1;0;-1,-1;0;0,41479
41742,,,,,41742
41745,0;0;1,0;0;0,-1;0;1,0;0;-1,41745
42009,,,,,42009
42017,0;-1;0,0;0;-2,0;0;-1,0;0;-2,42017
42292,,,,,42292
42295,0;0;0,0;-1;0,-1;0;-3,0;0;-1,42295
42564,,,,,42564
42566,1;-1;2,1;0;2,1;0;0,0;0;0,42566
42844,,,,,42844
42847,0;1;0,-1;1;0,0;0;0,-2;0;0,42847
43112,,,,,43112
43115,0;-1;1,1;0;3,-1;0;-1,-1;1;0,43115
43382,,,,,43382
43390,0;-1;-2,0;0;0,2;0;2,1;0;0,43390
43656,,,,,43656
43659,0;0;-1,0;0;0,0;-1;0,0;0;0,43659
43924,,,,,43924
43931,-1;0;0,-1;0;-1,-1;0;-1,0;0;0,43931
44192,,,,,44192
44195,-1;-1;-1,0;0;-1,0;0;1,0;0;1,44195
44456,,,,,44456
44460,0;0;-1,0;1;-2,0;0;0,0;1;-1,44460
44737,,,,,44737
44739,1;-1;2,3;0;0,1;0;1,0;0;3,44739
45012,,,,,45012
45016,0;0;-1,0;1;-1,0;0;0,0;0;0,45016
45284,,,,,45284
45291,1;0;3,-1;1;0,0;0;0,-1;1;-2,45291
45557,,,,,45557
45559,1;-1;2,1;0;3,2;0;1,1;0;1,45559
45833,,,,,45833
45836,-1;1;-1,0;1;-1,0;0;-1,0;-1;-2,45836
46108,,,,,46108
46110,-1;1;0,0;2;-1,-2;0;0,0;2;-4,46110
46376,,,,,46376
46380,1;0;2,1;0;0,0;0;-2,0;1;0,46380
46656,,,,,46656
46659,0;0;0,1;0;2,1;0;1,0;0;0,46659
46921,,,,,46921
46924,1;0;1,0;1;0,0;0;1,0;0;1,46924
47192,,,,,47192
47200,0;1;0,-1;0;-1,0;0;-1,0;1;-1,47200
47477,,,,,47477
47480,1;0;2,-1;0;-1,0;0;-2,0;0;-1,47480
47741,,,,,47741
47745,1;0;1,1;-1;2,0;-1;1,1;0;1,47745
48016,,,,,48016
48018,-1;0;0,-1;0;-3,-3;0;0,0;0;-2,48018
48290,,,,,48290
48293,-1;0;0,0;0;0,0;0;-1,0;-1;0,48293
48560,,,,,48560
48562,0;1;0,1;0;1,0;0;0,0;1;-1,48562
48829,,,,,48829
48831,1;-1;1,-1;0;-1,0;0;-1,1;0;-3,48831
49092,,,,,49092
49099,0;0;1,0;0;0,0;0;0,0;1;-1,49099
49366,,,,,49366
49369,0;0;1,0;-2;1,1;-1;0,0;0;0,49369
49636,,,,,49636
49638,0;0;-1,0;0;1,0;0;0,0;-1;2,49638
49917,,,,,49917
49921,0;0;0,1;-1;2,0;-1;0,0;0;0,49921
50182,,,,,50182
50185,0;0;0,0;0;1,1;0;2,0;0;1,50185
50455,,,,,50455
50463,-1;1;-1,-1;0;0,-1;0;-1,0;0;-3,50463
50731,,,,,50731
50734,0;1;0,0;0;-1,0;1;-3,-1;0;1,50734
50994,,,,,50994
50996,-1;0;1,0;0;0,-2;0;-1,-2;1;-1,50996
51268,,,,,51268
51271,0;1;2,0;0;0,1;0;1,0;0;-1,51271
51531,,,,,51531
51534,0;0;2,0;0;1,0;0;0,0;1;1,51534
51804,,,,,51804
51806,0;0;-1,1;0;1,0;0;2,0;0;-1,51806
52071,,,,,52071
52073,0;0;0,0;0;1,0;0;0,0;0;3,52073
52344,,,,,52344
52353,0;0;-2,0;0;-1,-1;-1;0,0;-1;0,52353
52622,,,,,52622
52624,-1;1;-2,0;0;0,0;2;-2,0;1;-3,52624
52895,,,,,52895
52898,0;0;0,0;0;1,-2;0;0,-1;1;-1,52898
53171,,,,,53171
53173,1;0;0,0;0;0,0;1;0,1;0;-2,53173
53434,,,,,53434
53436,-2;1;0,-1;0;-2,0;0;-1,-1;0;0,53436
53702,,,,,53702
53705,1;0;0,0;0;0,0;1;0,-1;0;0,53705
53971,,,,,53971
53975,0;0;2,0;0;0,0;0;-1,-2;0;-1,53975
54235,,,,,54235
54242,0;0;2,1;0;1,0;0;0,0;1;0,54242
54511,,,,,54511
54514,-1;0;-2,0;-1;-1,0;0;2,0;0;3,54514
54778,,,,,54778
54781,0;0;0,0;0;-2,0;0;-1,0;1;0,54781
55054,,,,,55054
55056,0;0;0,-2;0;0,0;0;0,1;0;3,55056
55317,,,,,55317
55320,-1;0;0,-1;0;-1,0;1;0,0;0;1,55320
55585,,,,,55585
55592,-1;0;-1,-2;0;0,3;0;1,0;0;0,55592
55855,,,,,55855
55857,0;0;0,0;0;1,2;0;0,1;0;1,55857
56123,,,,,56123
56126,-1;-1;0,0;0;-1,0;0;0,0;0;1,56126
56393,,,,,56393
56396,-1;1;0,-1;1;0,0;-1;0,1;0;0,56396
56669,,,,,56669
56671,0;0;0,0;0;0,1;-1;1,0;-1;0,56671
56956,,,,,56956
56958,-1;1;0,-1;1;-1,0;0;-1,0;1;-2,56958
57231,,,,,57231
57234,-1;1;-1,0;1;-1,0;2;-1,-1;0;0,57234
57502,,,,,57502
57510,0;0;1,0;0;0,0;0;-1,0;1;-2,57510
57776,,,,,57776
57778,2;-1;1,0;0;0,0;0;0,0;0;0,57778
58051,,,,,58051
58054,1;0;1,0;0;0,0;0;0,-1;1;0,58054
58338,,,,,58338
58341,1;0;1,0;2;0,-1;0;0,0;0;-1,58341
58602,,,,,58602
58605,0;0;1,-1;0;2,-1;0;0,0;1;-1,58605
58878,,,,,58878
