,acc1,acc2,acc3,acc4,duration,trip_id,utcdate
0,0;0;2,0;1;0,0;0;-2,0;0;0,37752,5,2021-10-27
1,,,,,38027,5,2021-10-27
2,0;0;1,-1;0;-1,0;0;0,0;0;-1,38029,5,2021-10-27
3,,,,,38289,5,2021-10-27
4,-1;0;2,-2;0;2,-3;0;0,0;0;-1,38292,5,2021-10-27
5,,,,,38562,5,2021-10-27
6,1;0;0,0;0;0,0;0;0,-1;0;0,38565,5,2021-10-27
7,,,,,38828,5,2021-10-27
8,0;0;0,2;0;-1,0;0;-1,-1;0;-1,38830,5,2021-10-27
9,,,,,39091,5,2021-10-27
10,0;-1;0,0;-1;0,0;0;0,0;0;-1,39093,5,2021-10-27
11,,,,,39360,5,2021-10-27
12,0;0;0,0;0;0,0;0;0,0;0;0,39362,5,2021-10-27
13,,,,,39628,5,2021-10-27
14,1;0;-2,0;0;0,-1;0;-3,1;-1;0,39630,5,2021-10-27
15,,,,,39891,5,2021-10-27
16,1;0;-1,-1;-1;0,0;1;0,1;0;0,39898,5,2021-10-27
17,,,,,40166,5,2021-10-27
18,-1;0;0,-2;0;1,-1;0;0,0;0;0,40168,5,2021-10-27
19,,,,,40429,5,2021-10-27
20,-1;0;1,-1;-1;1,2;0;0,1;0;-1,40431,5,2021-10-27
21,,,,,40698,5,2021-10-27
22,-1;0;0,0;1;0,1;0;2,2;0;2,40700,5,2021-10-27
23,,,,,40967,5,2021-10-27
24,-1;0;-1,-1;4;0,0;0;4,2;1;-1,40970,5,2021-10-27
25,,,,,41230,5,2021-10-27
26,-1;0;-1,0;0;1,1;-3;3,1;0;3,41238,5,2021-10-27
27,,,,,41505,5,2021-10-27
28,-3;0;2,0;0;-1,0;0;0,3;-1;1,41507,5,2021-10-27
29,,,,,41768,5,2021-10-27
30,-1;-1;0,-3;-1;0,-1;0;1,-3;0;-2,41771,5,2021-10-27
31,,,,,42047,5,2021-10-27
32,-1;1;3,-1;-1;0,2;0;0,1;0;0,42049,5,2021-10-27
33,,,,,42314,5,2021-10-27
34,0;1;0,1;-1;0,0;0;0,1;0;0,42316,5,2021-10-27
35,,,,,42589,5,2021-10-27
36,1;0;-1,-10;-5;-7,4;0;-4,3;-1;0,42592,5,2021-10-27
37,,,,,42857,5,2021-10-27
38,-1;0;-3,-1;0;-2,1;1;0,2;0;2,42859,5,2021-10-27
39,,,,,43125,5,2021-10-27
40,-1;0;0,-3;1;1,-2;1;0,-2;0;0,43127,5,2021-10-27
41,,,,,43400,5,2021-10-27
42,2;-1;0,0;0;-2,0;0;-1,0;0;0,43402,5,2021-10-27
43,,,,,43664,5,2021-10-27
