,utcdate,utctime,alt,speed_mph,n_sats
38027,2021-10-27,17:21:22.300000,0,0.0,0
38289,2021-10-27,17:21:22.600000,0,0.0,0
38562,2021-10-27,17:21:22.800000,0,0.0,0
38828,2021-10-27,17:21:23.100000,0,0.0,0
39091,2021-10-27,17:21:23.400000,0,0.0,0
39360,2021-10-27,17:21:23.600000,0,0.0,0
39628,2021-10-27,17:21:23.900000,0,0.0,0
39891,2021-10-27,17:21:24.200000,0,0.0,0
40166,2021-10-27,17:21:24.400000,0,0.0,0
40429,2021-10-27,17:21:24.700000,0,0.0,0
40698,2021-10-27,17:21:25,0,0.0,0
40967,2021-10-27,17:21:25.200000,0,0.0,0
41230,2021-10-27,17:21:25.500000,0,0.0,0
41505,2021-10-27,17:21:25.800000,0,0.0,0
41768,2021-10-27,17:21:26,0,0.0,0
42047,2021-10-27,17:21:26.300000,0,0.0,0
42314,2021-10-27,17:21:26.600000,0,0.0,0
42589,2021-10-27,17:21:26.900000,0,0.0,0
42857,2021-10-27,17:21:27.100000,0,0.0,0
43125,2021-10-27,17:21:27.400000,0,0.0,0
43400,2021-10-27,17:21:27.700000,0,0.0,0
43664,2021-10-27,17:21:27.900000,0,0.0,0
43933,2021-10-27,17:21:28.200000,0,0.0,0
44205,2021-10-27,17:21:28.500000,0,0.0,0
44470,2021-10-27,17:21:28.700000,0,0.0,0
44734,2021-10-27,17:21:29,0,0.0,0
45008,2021-10-27,17:21:29.300000,0,0.0,0
45273,2021-10-27,17:21:29.500000,0,0.0,0
45541,2021-10-27,17:21:29.800000,0,0.0,0
45805,2021-10-27,17:21:30.100000,0,0.0,0
46066,2021-10-27,17:21:30.300000,0,0.0,0
46334,2021-10-27,17:21:30.600000,0,0.0,0
46598,2021-10-27,17:21:30.900000,0,0.0,0
46865,2021-10-27,17:21:31.100000,0,0.0,0
47136,2021-10-27,17:21:31.400000,0,0.0,0
47398,2021-10-27,17:21:31.700000,0,0.0,0
47669,2021-10-27,17:21:31.900000,0,0.0,0
47936,2021-10-27,17:21:32.200000,0,0.0,0
48199,2021-10-27,17:21:32.500000,0,0.0,0
48467,2021-10-27,17:21:32.700000,0,0.0,0
48737,2021-10-27,17:21:33,0,0.0,0
49006,2021-10-27,17:21:33.300000,0,0.0,0
49269,2021-10-27,17:21:33.500000,0,0.0,0
49538,2021-10-27,17:21:33.800000,0,0.0,0
49807,2021-10-27,17:21:34.100000,0,0.0,0
50070,2021-10-27,17:21:34.300000,0,0.0,0
50344,2021-10-27,17:21:34.600000,0,0.0,0
50608,2021-10-27,17:21:34.900000,0,0.0,0
50874,2021-10-27,17:21:35.100000,0,0.0,0
51158,2021-10-27,17:21:35.400000,0,0.0,0
51422,2021-10-27,17:21:35.700000,0,0.0,0
51684,2021-10-27,17:21:35.900000,0,0.0,0
51957,2021-10-27,17:21:36.200000,0,0.0,0
52222,2021-10-27,17:21:36.500000,0,0.0,0
52494,2021-10-27,17:21:36.800000,0,0.0,0
52766,2021-10-27,17:21:37,0,0.0,0
53028,2021-10-27,17:21:37.300000,0,0.0,0
53299,2021-10-27,17:21:37.600000,0,0.0,0
53567,2021-10-27,17:21:37.800000,0,0.0,0
53834,2021-10-27,17:21:38.100000,0,0.0,0
54105,2021-10-27,17:21:38.400000,0,0.0,0
54368,2021-10-27,17:21:38.600000,0,0.0,0
54637,2021-10-27,17:21:38.900000,0,0.0,0
54905,2021-10-27,17:21:39.200000,0,0.0,0
55169,2021-10-27,17:21:39.400000,0,0.0,0
55444,2021-10-27,17:21:39.700000,0,0.0,0
55706,2021-10-27,17:21:40,0,0.0,0
55982,2021-10-27,17:21:40.200000,0,0.0,0
56258,2021-10-27,17:21:40.500000,0,0.0,0
56526,2021-10-27,17:21:40.800000,0,0.0,0
56795,2021-10-27,17:21:41,0,0.0,0
57064,2021-10-27,17:21:40.300000,0,0.0,0
57346,2021-10-27,17:21:40.600000,0,0.0,0
57609,2021-10-27,17:21:40.900000,0,0.0,0
57873,2021-10-27,17:21:41.100000,0,0.0,0
58139,2021-10-27,17:21:41.400000,0,0.0,0
58409,2021-10-27,17:21:41.700000,0,0.0,0
58673,2021-10-27,17:21:41.900000,0,0.0,0
58959,2021-10-27,17:21:42.200000,0,0.0,0
59229,2021-10-27,17:21:42.500000,0,0.0,0
59507,2021-10-27,17:21:42.800000,0,0.0,0
59773,2021-10-27,17:21:43,0,0.0,0
60036,2021-10-27,17:21:43.300000,0,0.0,0
60312,2021-10-27,17:21:43.600000,0,0.0,0
60573,2021-10-27,17:21:43.800000,0,0.0,0
60841,2021-10-27,17:21:44.100000,0,0.0,0
61113,2021-10-27,17:21:44.400000,0,0.0,0
61374,2021-10-27,17:21:44.600000,0,0.0,0
61643,2021-10-27,17:21:44.900000,0,0.0,0
61913,2021-10-27,17:21:45.100000,0,0.0,0
62183,2021-10-27,17:21:45.400000,0,0.0,0
62458,2021-10-27,17:21:45.700000,0,0.0,0
62726,2021-10-27,17:21:46,0,0.0,0
62994,2021-10-27,17:21:46.200000,0,0.0,0
63263,2021-10-27,17:21:46.500000,0,0.0,0
63526,2021-10-27,17:21:46.800000,0,0.0,0
63803,2021-10-27,17:21:47.100000,0,0.0,4
64064,2021-10-27,17:21:47.300000,0,0.0,4
64333,2021-10-27,17:21:47.600000,0,0.0,4
64605,2021-10-27,17:21:47.900000,0,0.0,4
64866,2021-10-27,17:21:48.100000,0,0.0,4
65141,2021-10-27,17:21:48.400000,0,0.0,4
65404,2021-10-27,17:21:48.700000,0,0.0,4
65667,2021-10-27,17:21:48.900000,0,0.0,4
65941,2021-10-27,17:21:49.200000,0,0.0,4
66204,2021-10-27,17:21:49.500000,0,0.0,4
66467,2021-10-27,17:21:49.700000,0,0.0,4
66734,2021-10-27,17:21:50,0,0.0,4
67005,2021-10-27,17:21:50.300000,0,0.0,4
67281,2021-10-27,17:21:50.500000,0,0.0,4
67549,2021-10-27,17:21:50.800000,0,0.0,4
67820,2021-10-27,17:21:51.100000,0,0.0,4
68081,2021-10-27,17:21:51.300000,0,0.0,4
68343,2021-10-27,17:21:51.600000,0,0.0,4
68619,2021-10-27,17:21:51.900000,0,0.0,4
68882,2021-10-27,17:21:52.100000,0,0.0,4
69144,2021-10-27,17:21:52.400000,0,0.0,4
69421,2021-10-27,17:21:52.700000,0,0.0,4
69683,2021-10-27,17:21:52.900000,0,0.0,4
69964,2021-10-27,17:21:53.200000,0,0.0,4
70227,2021-10-27,17:21:53.500000,0,0.0,4
70496,2021-10-27,17:21:53.700000,0,0.0,4
70772,2021-10-27,17:21:54,0,0.0,4
71034,2021-10-27,17:21:54.300000,0,0.0,4
71302,2021-10-27,17:21:54.600000,0,0.0,4
71566,2021-10-27,17:21:54.800000,0,0.0,4
71835,2021-10-27,17:21:55.100000,0,0.0,4
72112,2021-10-27,17:21:55.400000,0,0.0,4
72373,2021-10-27,17:21:55.600000,0,0.0,4
72635,2021-10-27,17:21:55.900000,0,0.0,4
72912,2021-10-27,17:21:56.200000,0,0.0,4
73172,2021-10-27,17:21:56.400000,0,0.0,4
73443,2021-10-27,17:21:56.700000,0,0.0,4
73712,2021-10-27,17:21:57,0,0.0,4
73974,2021-10-27,17:21:57.200000,0,0.0,4
74257,2021-10-27,17:21:57.500000,0,0.0,4
74525,2021-10-27,17:21:57.800000,0,0.0,4
74792,2021-10-27,17:21:58,0,0.0,4
75063,2021-10-27,17:21:58.300000,0,0.0,4
75326,2021-10-27,17:21:58.600000,0,0.0,4
75603,2021-10-27,17:21:58.900000,0,0.0,4
75864,2021-10-27,17:21:59.100000,0,0.0,4
76126,2021-10-27,17:21:59.400000,0,0.0,4
76402,2021-10-27,17:21:59.700000,0,0.0,4
76664,2021-10-27,17:21:59.900000,0,0.0,4
76943,2021-10-27,17:22:00.200000,211,32.932663,5
77211,2021-10-27,17:22:00.500000,211,32.932663,5
77486,2021-10-27,17:22:00.700000,211,167.148799,5
77761,2021-10-27,17:22:01,211,100.04073100000001,5
78025,2021-10-27,17:22:01.300000,211,66.486697,5
78306,2021-10-27,17:22:01.600000,211,100.04073100000001,5
78568,2021-10-27,17:22:01.800000,211,100.04073100000001,5
78836,2021-10-27,17:22:02.100000,211,66.486697,5
79107,2021-10-27,17:22:02.400000,211,32.932663,5
79383,2021-10-27,17:22:02.600000,211,32.932663,5
79663,2021-10-27,17:22:02.900000,211,368.473003,5
79929,2021-10-27,17:22:03.200000,212,133.594765,5
80203,2021-10-27,17:22:03.500000,212,133.594765,5
80470,2021-10-27,17:22:03.700000,212,100.04073100000001,5
80738,2021-10-27,17:22:04,212,100.04073100000001,5
81007,2021-10-27,17:22:04.300000,212,100.04073100000001,5
81270,2021-10-27,17:22:04.500000,212,200.702833,5
81546,2021-10-27,17:22:04.800000,212,200.702833,5
81809,2021-10-27,17:22:05.100000,212,66.486697,5
82091,2021-10-27,17:22:05.300000,212,133.594765,5
82360,2021-10-27,17:22:05.600000,212,66.486697,5
82635,2021-10-27,17:22:05.900000,212,100.04073100000001,5
82907,2021-10-27,17:22:06.200000,212,100.04073100000001,5
83174,2021-10-27,17:22:06.400000,213,66.486697,5
83447,2021-10-27,17:22:06.700000,213,200.702833,5
83710,2021-10-27,17:22:07,213,200.702833,5
83981,2021-10-27,17:22:07.200000,213,66.486697,6
84248,2021-10-27,17:22:07.500000,213,100.04073100000001,6
84513,2021-10-27,17:22:07.800000,212,133.594765,6
84787,2021-10-27,17:22:08,212,100.04073100000001,6
85050,2021-10-27,17:22:08.300000,212,133.594765,7
85325,2021-10-27,17:22:08.600000,212,200.702833,7
