,rpm,speed,throt_pos,engine_load,bat_volt,duration
50788,1095.0,4.970968,20,43,14.74,50788
55432,896.0,4.349597,20,43,14.75,55432
55700,899.0,3.7282260000000003,20,43,14.7,55700
55977,897.0,3.106855,20,44,14.81,55977
56246,891.0,3.7282260000000003,23,52,14.75,56246
56513,1010.0,4.349597,30,71,14.82,56513
56782,1431.0,4.970968,30,56,14.74,56782
57059,1530.0,5.592339,30,56,14.86,57059
57333,1623.0,6.835081,31,52,14.7,57333
57596,1759.0,7.4564520000000005,31,49,14.83,57596
57871,1891.0,8.699194,31,49,14.83,57871
58134,2016.0,9.320565,31,47,14.83,58134
58397,2114.0,9.941936,32,47,14.77,58397
58674,2204.0,9.941936,32,47,14.87,58674
58936,2249.0,10.563307,32,53,14.71,58936
59212,2048.0,11.184678,33,67,14.87,59212
59473,1870.0,11.806049,33,63,14.74,59473
59737,1892.0,12.42742,33,64,14.79,59737
60008,1942.0,13.048791,34,65,14.71,60008
60281,2040.0,13.670162,34,67,14.71,60281
60556,2118.0,14.291533,34,64,14.88,60556
60824,2184.0,14.912904000000001,34,63,14.77,60824
61087,2248.0,15.534275000000001,34,63,14.77,61087
61364,2329.0,16.155646,34,59,14.82,61364
61625,2375.0,16.777017,33,51,14.77,61625
61894,2388.0,17.398388,32,41,14.75,61894
62163,2340.0,17.398388,26,28,14.79,62163
62427,1760.0,17.398388,23,27,14.77,62427
62688,1532.0,17.398388,21,23,14.73,62688
62959,1494.0,17.398388,18,19,14.75,62959
63232,1416.0,17.398388,18,21,14.82,63232
63505,1366.0,17.398388,18,21,14.75,63505
63771,1339.0,17.398388,26,46,14.75,63771
64040,1402.0,17.398388,27,47,14.79,64040
64305,1474.0,17.398388,23,27,14.83,64305
64571,1549.0,16.777017,21,24,14.73,64571
64841,1461.0,16.777017,18,19,14.82,64841
65108,1389.0,16.777017,18,21,14.74,65108
65377,1343.0,16.777017,18,21,14.7,65377
65645,1299.0,16.777017,18,22,14.78,65645
65920,1244.0,16.777017,18,21,14.86,65920
66189,1214.0,16.155646,18,22,14.73,66189
66465,1183.0,16.155646,18,22,14.7,66465
66733,1151.0,16.155646,17,22,14.73,66733
67008,1136.0,16.155646,18,23,14.71,67008
67309,1098.0,15.534275000000001,17,23,14.71,67309
67586,1083.0,15.534275000000001,18,23,14.71,67586
67858,1079.0,14.912904000000001,17,24,14.74,67858
68128,1066.0,14.912904000000001,17,24,14.75,68128
68403,1062.0,14.291533,18,24,14.69,68403
68667,1053.0,14.291533,18,25,14.73,68667
68937,1031.0,13.670162,18,26,14.69,68937
69211,1039.0,12.42742,17,22,14.62,69211
69486,1132.0,11.806049,18,22,14.71,69486
69761,1184.0,11.184678,18,23,14.73,69761
70037,1206.0,9.941936,18,23,14.64,70037
70317,1182.0,9.320565,18,23,14.7,70317
70587,1126.0,8.699194,18,26,14.73,70587
70855,1066.0,8.077823,19,30,14.61,70855
71124,1037.0,7.4564520000000005,19,30,14.71,71124
71397,1033.0,7.4564520000000005,19,31,14.7,71397
71663,1015.0,6.835081,28,74,14.67,71663
71938,1124.0,7.4564520000000005,30,67,14.69,71938
72207,1421.0,7.4564520000000005,30,46,14.67,72207
72476,1838.0,7.4564520000000005,30,47,14.67,72476
72756,1846.0,8.077823,30,46,14.69,72756
73027,1953.0,8.699194,31,45,14.64,73027
73298,2046.0,9.320565,31,45,14.71,73298
73569,2131.0,9.941936,31,45,14.71,73569
73837,2229.0,9.941936,32,46,14.58,73837
74104,2278.0,10.563307,32,54,14.65,74104
74370,2046.0,11.184678,33,61,14.54,74370
74633,1888.0,11.806049,32,60,14.57,74633
74901,1924.0,11.806049,32,59,14.62,74901
75163,1949.0,12.42742,32,58,14.67,75163
75430,1991.0,13.048791,33,56,14.64,75430
75704,2036.0,13.670162,33,58,14.64,75704
75964,2091.0,14.291533,33,60,14.6,75964
76239,2141.0,14.291533,34,62,14.57,76239
76503,2209.0,14.912904000000001,34,63,14.71,76503
76769,2263.0,15.534275000000001,35,68,14.65,76769
77040,2333.0,16.155646,35,70,14.67,77040
77303,2398.0,16.777017,35,69,14.71,77303
77575,2439.0,16.777017,35,69,14.64,77575
77842,2486.0,17.398388,35,68,14.65,77842
78108,2487.0,18.019759,35,70,14.69,78108
78374,2453.0,18.019759,37,90,14.62,78374
78642,2371.0,18.019759,40,100,14.57,78642
78914,1895.0,18.64113,52,100,14.64,78914
79186,1664.0,19.262501,49,100,14.57,79186
79455,1626.0,19.262501,50,100,14.6,79455
79725,1663.0,19.883872,50,100,14.67,79725
79992,1717.0,20.505243,51,100,14.58,79992
80263,1747.0,20.505243,51,100,14.58,80263
80525,1768.0,21.126614,51,100,14.54,80525
80794,1795.0,21.747985,52,100,14.64,80794
81056,1811.0,21.747985,52,100,14.61,81056
81326,1829.0,22.369356,52,100,14.63,81326
81595,1878.0,22.369356,52,100,14.61,81595
81862,1874.0,22.990727,52,100,14.64,81862
82126,1915.0,22.990727,53,100,14.58,82126
82388,1921.0,23.612098,53,100,14.61,82388
82659,1946.0,23.612098,53,100,14.64,82659
82928,1972.0,23.612098,48,100,14.56,82928
