,index,acc1,acc2,acc3,acc4,duration,utcdate
0,50788,0;-10;0,19;-14;3,18;-11;5,18;-7;4,50788,2021-11-29
1,55430,,,,,55430,2021-11-29
2,55432,16;-6;4,17;-9;5,19;-12;3,18;-9;7,55432,2021-11-29
3,55698,,,,,55698,2021-11-29
4,55700,18;-12;2,19;-15;3,16;-12;2,12;-8;5,55700,2021-11-29
5,55975,,,,,55975,2021-11-29
6,55977,9;-8;1,0;-9;1,0;-9;3,-3;-7;3,55977,2021-11-29
7,56244,,,,,56244,2021-11-29
8,56246,-1;-4;0,-3;-4;0,-1;-8;1,-2;-8;4,56246,2021-11-29
9,56505,,,,,56505,2021-11-29
10,56513,-1;-4;-2,-5;-1;-3,-4;-1;0,-8;-4;0,56513,2021-11-29
11,56780,,,,,56780,2021-11-29
12,56782,-11;-5;0,-11;-3;-1,-12;0;-2,-12;3;-6,56782,2021-11-29
13,57057,,,,,57057,2021-11-29
14,57059,-11;-2;-3,-10;1;-2,-12;8;-7,-13;2;-5,57059,2021-11-29
15,57331,,,,,57331,2021-11-29
16,57333,-7;7;-4,-9;6;5,-8;8;0,-11;13;2,57333,2021-11-29
17,57594,,,,,57594,2021-11-29
18,57596,-10;13;1,-8;18;-2,-5;10;0,-1;13;-5,57596,2021-11-29
19,57864,,,,,57864,2021-11-29
20,57871,-8;21;9,0;21;7,-5;23;8,-1;23;3,57871,2021-11-29
21,58132,,,,,58132,2021-11-29
22,58134,-5;28;1,-4;19;-4,-6;20;-1,0;19;0,58134,2021-11-29
23,58395,,,,,58395,2021-11-29
24,58397,-5;21;0,0;27;-6,-2;21;1,-2;24;0,58397,2021-11-29
25,58672,,,,,58672,2021-11-29
26,58674,-2;18;0,-2;23;0,-5;23;-1,-3;21;1,58674,2021-11-29
27,58933,,,,,58933,2021-11-29
28,58936,2;28;2,0;22;2,-1;19;0,-1;16;-1,58936,2021-11-29
29,59204,,,,,59204,2021-11-29
30,59212,-4;19;3,-3;14;-1,-4;11;-5,-7;22;0,59212,2021-11-29
31,59471,,,,,59471,2021-11-29
32,59473,-8;18;-5,-9;11;1,-7;10;-1,-11;10;0,59473,2021-11-29
33,59735,,,,,59735,2021-11-29
34,59737,-10;3;0,-5;-2;4,-10;-3;2,-11;1;0,59737,2021-11-29
35,60006,,,,,60006,2021-11-29
36,60008,-11;-5;3,-8;-9;0,-10;-10;2,-6;-16;-2,60008,2021-11-29
37,60279,,,,,60279,2021-11-29
38,60281,-13;-6;0,-6;-14;-4,-11;-11;-3,-14;-9;-2,60281,2021-11-29
39,60548,,,,,60548,2021-11-29
40,60556,-14;-11;-3,-10;-10;1,-13;-13;0,-12;-10;-7,60556,2021-11-29
41,60822,,,,,60822,2021-11-29
42,60824,-12;-16;-2,-11;-18;0,-11;-11;-4,-14;-9;-3,60824,2021-11-29
43,61085,,,,,61085,2021-11-29
