,index,acc1,acc2,acc3,acc4,duration,trip_id,utcdate
0,40732,0;0;0,0;0;0,-1;0;2,2;0;1,40732,23,2021-11-18
1,45367,,,,,45367,23,2021-11-18
2,45370,0;0;0,0;0;-1,1;-1;-2,0;0;0,45370,23,2021-11-18
3,45629,,,,,45629,23,2021-11-18
4,45631,0;0;2,0;0;-1,1;1;-1,0;0;0,45631,23,2021-11-18
5,45898,,,,,45898,23,2021-11-18
6,45901,0;1;0,0;-1;0,0;0;-1,-1;0;-2,45901,23,2021-11-18
7,46168,,,,,46168,23,2021-11-18
8,46170,0;0;1,0;0;0,0;-1;0,0;0;0,46170,23,2021-11-18
9,46430,,,,,46430,23,2021-11-18
10,46433,0;0;0,0;1;0,1;0;1,1;0;-2,46433,23,2021-11-18
11,46699,,,,,46699,23,2021-11-18
12,46701,0;0;0,0;0;0,0;0;2,0;0;0,46701,23,2021-11-18
13,46968,,,,,46968,23,2021-11-18
14,46970,0;0;1,0;0;-1,1;1;0,0;0;-1,46970,23,2021-11-18
15,47232,,,,,47232,23,2021-11-18
16,47239,0;0;0,0;0;0,1;0;1,0;0;0,47239,23,2021-11-18
17,47500,,,,,47500,23,2021-11-18
18,47502,0;2;1,0;-1;-1,0;-1;0,0;0;0,47502,23,2021-11-18
19,47763,,,,,47763,23,2021-11-18
20,47765,0;-1;-1,0;0;0,0;0;0,0;0;0,47765,23,2021-11-18
21,48032,,,,,48032,23,2021-11-18
22,48034,0;1;1,0;0;-1,1;-1;-2,0;0;0,48034,23,2021-11-18
23,48294,,,,,48294,23,2021-11-18
24,48296,1;0;0,1;0;0,0;0;1,0;1;1,48296,23,2021-11-18
25,48558,,,,,48558,23,2021-11-18
26,48561,0;0;0,0;0;0,0;0;1,1;1;0,48561,23,2021-11-18
27,48828,,,,,48828,23,2021-11-18
28,48830,0;-1;-1,-1;0;1,0;0;1,0;0;1,48830,23,2021-11-18
29,49090,,,,,49090,23,2021-11-18
30,49092,0;0;0,0;0;0,0;0;1,1;-1;0,49092,23,2021-11-18
31,49356,,,,,49356,23,2021-11-18
32,49358,0;-1;1,0;2;1,0;0;0,0;1;0,49358,23,2021-11-18
33,49620,,,,,49620,23,2021-11-18
34,49624,0;0;1,0;0;2,0;0;0,0;2;-3,49624,23,2021-11-18
35,49890,,,,,49890,23,2021-11-18
36,49892,2;0;0,1;0;-1,0;0;0,0;1;1,49892,23,2021-11-18
37,50159,,,,,50159,23,2021-11-18
