,index,acc1,acc2,acc3,acc4,duration,utcdate
0,3108,1;0;0,0;0;0,0;0;0,0;0;0,3108,2021-11-16
1,7866,,,,,7866,2021-11-16
2,7869,0;0;0,0;0;0,0;0;0,0;0;0,7869,2021-11-16
3,8135,,,,,8135,2021-11-16
4,8137,0;0;0,0;0;0,0;0;0,0;0;0,8137,2021-11-16
5,8410,,,,,8410,2021-11-16
6,8413,0;0;0,0;0;0,0;0;0,0;0;0,8413,2021-11-16
7,8673,,,,,8673,2021-11-16
8,8676,0;0;0,0;0;1,0;0;0,0;0;0,8676,2021-11-16
9,8942,,,,,8942,2021-11-16
10,8944,0;0;0,0;0;0,0;0;0,0;0;0,8944,2021-11-16
11,9211,,,,,9211,2021-11-16
12,9213,0;0;0,0;0;0,0;0;0,0;0;0,9213,2021-11-16
13,9475,,,,,9475,2021-11-16
14,9477,0;0;0,0;0;0,0;0;0,0;0;-1,9477,2021-11-16
15,9743,,,,,9743,2021-11-16
16,9750,0;0;0,0;0;0,0;0;0,0;0;0,9750,2021-11-16
17,10012,,,,,10012,2021-11-16
18,10015,0;0;0,0;0;0,0;0;0,0;0;0,10015,2021-11-16
19,10291,,,,,10291,2021-11-16
20,10294,0;0;0,0;0;0,0;0;0,0;0;0,10294,2021-11-16
21,10572,,,,,10572,2021-11-16
22,10575,0;0;0,0;0;0,0;0;0,0;0;0,10575,2021-11-16
23,10840,,,,,10840,2021-11-16
24,10842,0;0;0,1;0;0,0;0;0,0;0;0,10842,2021-11-16
25,11113,,,,,11113,2021-11-16
26,11120,0;0;1,0;0;0,0;0;0,0;0;1,11120,2021-11-16
27,11390,,,,,11390,2021-11-16
28,11393,0;0;0,0;0;0,0;0;0,0;-1;0,11393,2021-11-16
29,11663,,,,,11663,2021-11-16
30,11666,0;0;0,0;0;0,0;0;0,0;0;0,11666,2021-11-16
31,11939,,,,,11939,2021-11-16
32,11941,0;0;0,0;0;0,0;0;0,0;0;0,11941,2021-11-16
33,12209,,,,,12209,2021-11-16
34,12212,0;0;0,0;0;0,0;0;0,0;0;0,12212,2021-11-16
35,12482,,,,,12482,2021-11-16
36,12484,0;0;0,0;0;0,0;0;0,0;0;0,12484,2021-11-16
37,12752,,,,,12752,2021-11-16
38,12754,0;0;0,0;0;0,0;0;-1,0;0;0,12754,2021-11-16
39,13021,,,,,13021,2021-11-16
40,13030,0;0;0,0;0;0,0;0;0,0;0;0,13030,2021-11-16
41,13296,,,,,13296,2021-11-16
42,13299,0;0;0,0;0;0,0;0;0,0;0;0,13299,2021-11-16
43,13566,,,,,13566,2021-11-16
44,13569,0;0;0,0;0;0,0;0;0,0;0;0,13569,2021-11-16
45,13847,,,,,13847,2021-11-16
46,13850,0;0;0,0;0;0,0;0;0,0;0;0,13850,2021-11-16
47,14116,,,,,14116,2021-11-16
48,14118,0;0;0,0;0;0,0;0;0,0;0;0,14118,2021-11-16
49,14385,,,,,14385,2021-11-16
50,14394,0;0;0,0;0;0,0;0;0,0;0;0,14394,2021-11-16
51,14654,,,,,14654,2021-11-16
52,14657,0;0;0,0;0;0,0;0;0,0;0;0,14657,2021-11-16
53,14923,,,,,14923,2021-11-16
54,14925,-1;0;0,0;0;0,-1;0;0,0;0;0,14925,2021-11-16
55,15198,,,,,15198,2021-11-16
56,15201,0;0;0,0;0;-1,0;0;0,0;0;0,15201,2021-11-16
57,15461,,,,,15461,2021-11-16
58,15464,0;0;0,0;0;0,0;0;0,0;0;0,15464,2021-11-16
59,15724,,,,,15724,2021-11-16
60,15732,0;0;0,0;0;0,0;0;0,0;0;0,15732,2021-11-16
61,15993,,,,,15993,2021-11-16
62,15995,0;0;0,0;0;0,0;0;0,0;0;0,15995,2021-11-16
63,16254,,,,,16254,2021-11-16
64,16258,0;0;0,0;0;0,0;0;0,0;0;0,16258,2021-11-16
65,16524,,,,,16524,2021-11-16
66,16527,0;0;0,0;0;0,0;0;0,0;0;0,16527,2021-11-16
67,16787,,,,,16787,2021-11-16
68,16790,0;0;0,0;0;0,0;0;0,0;0;0,16790,2021-11-16
69,17055,,,,,17055,2021-11-16
70,17058,0;0;0,0;0;0,0;0;0,0;0;0,17058,2021-11-16
71,17318,,,,,17318,2021-11-16
72,17321,0;0;0,0;0;0,0;0;0,0;0;0,17321,2021-11-16
73,17582,,,,,17582,2021-11-16
74,17589,0;0;0,0;0;0,0;0;0,0;0;0,17589,2021-11-16
75,17851,,,,,17851,2021-11-16
76,17854,0;0;0,0;0;0,0;0;0,0;0;0,17854,2021-11-16
77,18114,,,,,18114,2021-11-16
78,18116,0;0;0,0;0;0,0;0;0,0;0;0,18116,2021-11-16
79,18388,,,,,18388,2021-11-16
80,18392,0;0;0,0;0;0,0;0;0,0;0;0,18392,2021-11-16
81,18652,,,,,18652,2021-11-16
82,18655,0;0;0,0;0;0,0;0;0,0;0;0,18655,2021-11-16
83,18921,,,,,18921,2021-11-16
84,18928,0;0;0,0;0;0,0;0;0,0;0;0,18928,2021-11-16
85,19190,,,,,19190,2021-11-16
86,19192,0;0;0,0;0;0,0;0;0,0;0;0,19192,2021-11-16
87,19459,,,,,19459,2021-11-16
88,19462,0;0;0,0;0;0,0;0;0,0;0;0,19462,2021-11-16
89,19728,,,,,19728,2021-11-16
90,19731,0;0;0,0;0;0,0;0;0,0;0;0,19731,2021-11-16
91,19990,,,,,19990,2021-11-16
92,19992,0;0;0,0;-1;0,0;0;0,0;0;-1,19992,2021-11-16
93,20253,,,,,20253,2021-11-16
94,20260,0;0;0,0;0;0,0;0;0,0;0;0,20260,2021-11-16
95,20521,,,,,20521,2021-11-16
96,20525,0;0;0,0;0;-1,0;0;0,0;0;0,20525,2021-11-16
97,20785,,,,,20785,2021-11-16
98,20788,0;0;0,0;0;0,0;0;0,0;0;0,20788,2021-11-16
99,21054,,,,,21054,2021-11-16
100,21056,0;0;0,0;0;0,0;0;1,0;0;0,21056,2021-11-16
101,21317,,,,,21317,2021-11-16
102,21319,0;0;0,0;0;0,0;0;0,0;0;0,21319,2021-11-16
103,21584,,,,,21584,2021-11-16
104,21586,0;0;0,1;0;0,0;0;0,0;0;0,21586,2021-11-16
105,21849,,,,,21849,2021-11-16
106,21852,0;0;0,0;0;0,0;0;0,0;0;0,21852,2021-11-16
107,22112,,,,,22112,2021-11-16
108,22120,0;0;0,0;0;0,0;0;0,0;0;0,22120,2021-11-16
109,22380,,,,,22380,2021-11-16
110,22382,0;0;0,0;0;0,0;0;0,0;0;0,22382,2021-11-16
111,22643,,,,,22643,2021-11-16
112,22645,0;0;0,0;0;0,0;0;0,0;0;0,22645,2021-11-16
113,22905,,,,,22905,2021-11-16
114,22908,0;0;0,0;0;0,0;0;0,0;0;0,22908,2021-11-16
115,23169,,,,,23169,2021-11-16
116,23172,0;0;0,0;0;0,0;0;0,0;0;0,23172,2021-11-16
117,23431,,,,,23431,2021-11-16
118,23439,0;0;0,0;0;0,0;0;0,0;0;0,23439,2021-11-16
119,23700,,,,,23700,2021-11-16
120,23702,0;0;0,0;0;-1,0;0;0,0;0;0,23702,2021-11-16
121,23963,,,,,23963,2021-11-16
122,23965,0;0;0,0;0;0,0;0;0,0;0;0,23965,2021-11-16
123,24371,,,,,24371,2021-11-16
124,24373,0;0;0,0;0;0,0;0;0,0;0;0,24373,2021-11-16
