,acc1,acc2,acc3,acc4,duration,trip_id,utcdate
0,0;0;0,0;0;0,0;0;0,0;2;1,50515,9,2021-10-27
1,,,,,50797,9,2021-10-27
2,0;0;0,1;-1;0,0;0;0,0;1;0,50800,9,2021-10-27
3,,,,,51066,9,2021-10-27
4,1;0;-1,0;2;-1,1;0;0,0;0;0,51068,9,2021-10-27
5,,,,,51335,9,2021-10-27
6,0;0;0,0;0;0,0;0;-1,2;1;0,51338,9,2021-10-27
7,,,,,51597,9,2021-10-27
8,0;0;0,0;0;0,0;0;0,0;0;0,51600,9,2021-10-27
9,,,,,51860,9,2021-10-27
10,0;-1;0,0;0;0,0;0;0,0;-1;1,51867,9,2021-10-27
11,,,,,52129,9,2021-10-27
12,0;0;-1,0;0;1,0;1;0,0;0;0,52131,9,2021-10-27
13,,,,,52391,9,2021-10-27
14,0;0;0,1;0;0,0;0;0,0;0;0,52395,9,2021-10-27
15,,,,,52669,9,2021-10-27
16,0;1;0,1;0;1,0;0;0,0;0;0,52672,9,2021-10-27
17,,,,,52939,9,2021-10-27
18,0;0;0,0;0;0,0;0;-1,0;0;0,52941,9,2021-10-27
19,,,,,53206,9,2021-10-27
20,0;0;0,-1;0;1,0;0;0,0;0;0,53213,9,2021-10-27
21,,,,,53481,9,2021-10-27
22,0;1;1,0;0;1,0;-1;-1,0;1;0,53483,9,2021-10-27
23,,,,,53744,9,2021-10-27
24,0;0;0,0;0;0,0;0;0,0;0;-1,53746,9,2021-10-27
25,,,,,54021,9,2021-10-27
26,0;0;0,0;0;0,1;0;0,0;0;0,54024,9,2021-10-27
27,,,,,54289,9,2021-10-27
28,0;0;-1,0;0;0,0;0;0,0;0;0,54292,9,2021-10-27
29,,,,,54563,9,2021-10-27
30,0;0;-1,0;0;0,0;0;1,0;-1;0,54566,9,2021-10-27
31,,,,,54832,9,2021-10-27
32,1;1;0,0;0;0,1;0;-2,0;-1;0,54835,9,2021-10-27
33,,,,,55095,9,2021-10-27
34,0;0;0,1;0;1,0;0;0,0;0;0,55104,9,2021-10-27
35,,,,,55364,9,2021-10-27
36,1;0;0,0;1;0,0;0;-1,0;1;0,55366,9,2021-10-27
37,,,,,55632,9,2021-10-27
38,0;0;0,0;0;0,0;0;0,0;0;-1,55635,9,2021-10-27
39,,,,,55915,9,2021-10-27
40,0;-1;0,0;1;0,1;1;1,1;0;0,55918,9,2021-10-27
41,,,,,56196,9,2021-10-27
42,1;0;-1,0;0;0,0;0;0,0;0;-2,56199,9,2021-10-27
43,,,,,56459,9,2021-10-27
44,0;0;0,0;0;0,0;0;-1,1;0;0,56467,9,2021-10-27
45,,,,,56734,9,2021-10-27
46,0;0;0,1;0;0,0;0;-1,1;0;0,56736,9,2021-10-27
47,,,,,56998,9,2021-10-27
48,0;0;0,0;0;0,0;0;-1,0;0;0,57001,9,2021-10-27
49,,,,,57280,9,2021-10-27
50,0;-1;0,0;0;0,0;0;0,0;1;1,57282,9,2021-10-27
51,,,,,57548,9,2021-10-27
52,0;0;-1,0;1;0,0;0;0,-1;-1;0,57550,9,2021-10-27
53,,,,,57822,9,2021-10-27
54,0;0;0,0;0;0,0;0;0,0;0;0,57830,9,2021-10-27
55,,,,,58098,9,2021-10-27
56,0;0;0,0;0;0,0;0;0,0;1;0,58101,9,2021-10-27
57,,,,,58373,9,2021-10-27
58,0;0;0,0;1;0,-1;0;0,1;1;0,58376,9,2021-10-27
59,,,,,58649,9,2021-10-27
60,0;0;0,0;0;0,0;0;0,0;1;0,58651,9,2021-10-27
61,,,,,58910,9,2021-10-27
62,0;1;0,0;0;-1,0;1;-1,0;1;0,58913,9,2021-10-27
63,,,,,59180,9,2021-10-27
64,1;1;1,0;0;0,1;-1;0,0;0;0,59182,9,2021-10-27
65,,,,,59450,9,2021-10-27
66,2;0;0,0;0;-1,0;0;0,0;0;1,59452,9,2021-10-27
67,,,,,59722,9,2021-10-27
68,0;-1;1,0;0;0,0;0;0,0;0;0,59730,9,2021-10-27
69,,,,,59994,9,2021-10-27
70,0;0;0,0;0;-2,1;0;0,0;1;0,59997,9,2021-10-27
71,,,,,60263,9,2021-10-27
72,0;0;0,0;0;0,0;0;-2,0;0;0,60265,9,2021-10-27
73,,,,,60538,9,2021-10-27
74,0;1;0,0;0;0,-1;0;0,1;0;0,60541,9,2021-10-27
75,,,,,60814,9,2021-10-27
76,0;0;1,0;0;0,0;0;0,0;0;0,60816,9,2021-10-27
77,,,,,61088,9,2021-10-27
78,0;0;1,1;0;0,0;-1;0,0;0;0,61095,9,2021-10-27
79,,,,,61364,9,2021-10-27
80,0;0;0,0;0;0,0;0;-1,0;-1;0,61367,9,2021-10-27
81,,,,,61631,9,2021-10-27
82,0;0;0,0;0;-2,0;1;0,0;0;0,61633,9,2021-10-27
83,,,,,61905,9,2021-10-27
84,0;0;1,0;0;0,0;0;1,0;1;0,61907,9,2021-10-27
85,,,,,62177,9,2021-10-27
86,0;0;0,0;0;0,0;1;0,0;0;0,62179,9,2021-10-27
87,,,,,62438,9,2021-10-27
88,0;0;0,0;0;1,0;0;1,1;0;0,62445,9,2021-10-27
89,,,,,62714,9,2021-10-27
90,0;0;0,0;0;0,0;0;0,0;0;0,62717,9,2021-10-27
91,,,,,62979,9,2021-10-27
92,0;0;1,0;0;0,0;0;0,0;0;2,62982,9,2021-10-27
93,,,,,63259,9,2021-10-27
