,rpm,speed,throt_pos,engine_load,bat_volt,duration
27033,909.0,0.0,19,35,14.65,27033
27307,921.0,0.0,19,35,14.64,27307
27584,894.0,0.0,19,34,14.65,27584
27855,891.0,0.0,19,35,14.64,27855
28120,900.0,0.0,19,36,14.65,28120
28384,891.0,0.0,19,36,14.65,28384
28665,901.0,0.0,19,36,14.56,28665
28933,907.0,0.0,18,36,14.62,28933
29201,913.0,0.0,18,34,14.63,29201
29471,904.0,0.0,18,34,14.58,29471
29733,900.0,0.0,18,34,14.66,29733
30020,905.0,0.0,19,35,14.66,30020
30283,915.0,0.0,18,34,14.6,30283
30561,910.0,0.0,19,36,14.61,30561
30826,897.0,0.0,19,35,14.64,30826
31091,902.0,0.0,18,34,14.62,31091
31376,904.0,0.0,18,34,14.67,31376
31648,910.0,0.0,18,34,14.64,31648
31910,889.0,0.0,18,34,14.64,31910
32174,891.0,0.0,18,34,14.63,32174
32436,882.0,0.0,18,35,14.61,32436
32718,897.0,0.0,18,34,14.58,32718
32995,919.0,0.0,18,34,14.63,32995
33264,906.0,0.0,18,34,14.63,33264
33530,915.0,0.0,18,34,14.61,33530
33800,894.0,0.0,18,34,14.58,33800
34064,898.0,0.0,18,34,14.57,34064
34347,909.0,0.0,18,34,14.6,34347
34614,909.0,0.0,18,34,14.58,34614
34880,908.0,0.0,18,34,14.57,34880
35152,908.0,0.0,18,34,14.54,35152
35428,902.0,0.0,18,34,14.6,35428
35709,899.0,0.0,18,34,14.63,35709
35978,909.0,0.0,18,33,14.6,35978
36244,903.0,0.0,18,33,14.56,36244
36515,911.0,0.0,18,34,14.54,36515
36777,904.0,0.0,18,34,14.54,36777
37061,909.0,0.0,18,33,14.57,37061
37327,885.0,0.0,18,34,14.44,37327
37593,877.0,0.0,18,34,14.54,37593
37861,890.0,0.0,18,34,14.56,37861
38135,902.0,0.0,18,33,14.56,38135
38419,919.0,0.0,18,32,14.58,38419
38679,905.0,0.0,18,32,14.56,38679
38943,891.0,0.0,18,35,14.58,38943
39213,890.0,0.0,18,33,14.56,39213
39476,895.0,0.0,18,34,14.54,39476
39757,917.0,0.0,18,33,14.5,39757
40018,918.0,0.0,18,33,14.5,40018
40284,897.0,0.0,18,34,14.5,40284
40549,902.0,0.0,18,33,14.48,40549
40819,893.0,0.0,18,34,14.53,40819
41083,895.0,0.0,18,34,14.46,41083
41367,898.0,0.0,18,34,14.5,41367
