,acc1,acc2,acc3,acc4,duration
31606,1;6;0,-4;0;8,6;3;-1,0;4;0,31606
36317,,,,,36317
36320,-5;-5;8,6;0;3,9;0;-2,9;-8;2,36320
36582,,,,,36582
36585,9;8;2,4;1;4,7;-1;-1,4;4;-1,36585
36871,,,,,36871
36874,11;1;-6,18;2;3,6;-7;-2,1;5;8,36874
37145,,,,,37145
37147,15;-4;0,4;4;3,10;0;6,8;-10;-5,37147
37424,,,,,37424
37426,8;11;-3,-3;0;9,3;-1;7,9;4;0,37426
37696,,,,,37696
37698,12;12;6,4;9;3,11;7;0,0;-3;0,37698
37970,,,,,37970
37978,12;3;1,5;6;-7,6;-2;-3,8;7;-4,37978
38246,,,,,38246
38248,1;-10;-5,8;-3;-4,16;6;-1,5;6;-6,38248
38521,,,,,38521
38524,4;2;6,4;7;11,2;0;8,9;4;4,38524
38797,,,,,38797
38799,2;-2;7,7;1;1,7;2;2,12;-2;0,38799
39071,,,,,39071
39074,11;6;-2,5;5;1,3;0;1,9;1;4,39074
39350,,,,,39350
39353,10;2;0,13;-2;1,9;8;2,11;2;2,39353
39624,,,,,39624
39627,10;2;-1,7;6;0,9;0;0,11;0;-1,39627
39898,,,,,39898
39906,9;6;2,6;2;6,9;0;0,11;3;3,39906
40173,,,,,40173
40176,9;6;0,7;7;3,5;4;10,9;3;6,40176
40449,,,,,40449
40452,10;3;-1,10;4;0,14;3;-1,11;5;0,40452
40725,,,,,40725
40727,10;2;6,11;2;4,9;4;1,12;6;0,40727
40998,,,,,40998
41001,11;4;3,8;4;0,14;0;4,9;3;4,41001
41280,,,,,41280
41283,11;4;-5,11;1;6,12;0;1,10;5;1,41283
41555,,,,,41555
41559,9;2;3,11;9;-2,11;-2;9,14;9;0,41559
41831,,,,,41831
41838,14;12;3,5;-3;7,13;0;2,11;10;2,41838
42099,,,,,42099
42102,9;2;1,10;7;3,5;9;0,12;3;-1,42102
42376,,,,,42376
42378,10;7;0,9;0;0,8;7;-3,13;1;0,42378
42650,,,,,42650
42653,7;0;8,9;1;4,6;0;2,9;0;3,42653
42919,,,,,42919
42923,8;7;3,6;0;4,9;3;5,8;3;0,42923
43201,,,,,43201
43204,7;5;-3,8;5;1,8;1;-1,9;2;3,43204
43476,,,,,43476
43480,9;0;4,8;2;10,7;5;3,10;2;0,43480
43752,,,,,43752
43760,6;-1;1,8;1;1,10;0;4,9;3;4,43760
44034,,,,,44034
44037,10;-1;-2,8;7;5,11;5;6,9;-3;1,44037
44304,,,,,44304
44311,13;8;0,7;1;2,5;6;4,9;1;3,44311
44577,,,,,44577
44580,12;9;3,15;2;4,7;5;5,6;6;1,44580
