,utcdate,utctime,alt,speed_mph,n_sats,duration
36317,2021-11-16,22:31:09.400000,195,15811.406466,12,36317
36582,2021-11-16,22:31:09.700000,195,16717.365384,12,36582
36871,2021-11-16,22:31:10,195,17422.000098,12,36871
37145,2021-11-16,22:31:10.300000,195,17522.6622,12,37145
37424,2021-11-16,22:31:10.500000,195,18529.28322,12,37424
37696,2021-11-16,22:31:10.800000,195,18495.729186,12,37696
37970,2021-11-16,22:31:11.100000,195,19133.255832,12,37970
38246,2021-11-16,22:31:11.400000,195,19301.026002,12,38246
38521,2021-11-16,22:31:11.600000,195,20106.322818,12,38521
38797,2021-11-16,22:31:11.900000,195,20710.295430000002,12,38797
39071,2021-11-16,22:31:12.200000,195,20408.309124,12,39071
39350,2021-11-16,22:31:12.500000,195,20878.0656,12,39350
39624,2021-11-16,22:31:12.700000,195,21447.862807,12,39624
39898,2021-11-16,22:31:13,195,21951.173317,12,39898
40173,2021-11-16,22:31:13.300000,195,21850.511215,12,40173
40449,2021-11-16,22:31:13.600000,195,22454.483827,12,40449
40725,2021-11-16,22:31:13.800000,195,22622.253997,12,40725
40998,2021-11-16,22:31:14.100000,195,22722.916099000002,12,40998
41280,2021-11-16,22:31:14.400000,195,22253.159623,12,41280
41555,2021-11-16,22:31:14.700000,195,22152.497521,12,41555
41831,2021-11-16,22:31:14.900000,195,22186.051555000002,12,41831
42099,2021-11-16,22:31:15.200000,195,22118.943487,12,42099
42376,2021-11-16,22:31:15.500000,195,22253.159623,12,42376
42650,2021-11-16,22:31:15.800000,195,21816.957181,12,42650
42919,2021-11-16,22:31:16,195,21682.741045,12,42919
43201,2021-11-16,22:31:16.300000,195,22253.159623,12,43201
43476,2021-11-16,22:31:16.600000,195,22722.916099000002,12,43476
43752,2021-11-16,22:31:16.900000,195,22454.483827,12,43752
44034,2021-11-16,22:31:17.100000,195,22555.145929,12,44034
44304,2021-11-16,22:31:17.400000,195,23259.780643000002,12,44304
44577,2021-11-16,22:31:17.700000,195,23293.334677,12,44577
44849,2021-11-16,22:31:18,195,22890.686269,12,44849
45121,2021-11-16,22:31:18.200000,195,23259.780643000002,12,45121
45399,2021-11-16,22:31:18.500000,195,23159.118541,12,45399
45673,2021-11-16,22:31:18.800000,195,23326.888711,12,45673
45954,2021-11-16,22:31:19.100000,195,23293.334677,12,45954
46224,2021-11-16,22:31:19.300000,195,23293.334677,12,46224
46499,2021-11-16,22:31:19.600000,195,23930.861323,12,46499
46775,2021-11-16,22:31:19.900000,195,24199.293595,12,46775
47048,2021-11-16,22:31:20.200000,195,24501.279901,12,47048
47319,2021-11-16,22:31:20.400000,195,25742.779159,12,47319
47586,2021-11-16,22:31:20.700000,195,24467.725867,12,47586
47855,2021-11-16,22:31:21,195,25373.684785,12,47855
48131,2021-11-16,22:31:21.200000,195,25876.995295,12,48131
48401,2021-11-16,22:31:21.500000,195,25407.238819000002,12,48401
48669,2021-11-16,22:31:21.800000,195,25675.671091,12,48669
48944,2021-11-16,22:31:22.100000,195,25876.995295,12,48944
49217,2021-11-16,22:31:22.300000,195,25944.103363000002,12,49217
49488,2021-11-16,22:31:22.600000,195,26615.184043,12,49488
49758,2021-11-16,22:31:22.900000,195,28359.993811,12,49758
50033,2021-11-16,22:31:23.100000,195,28192.223641,12,50033
50309,2021-11-16,22:31:23.400000,195,29298.885392,12,50309
50584,2021-11-16,22:31:23.700000,196,30808.816922,12,50584
50871,2021-11-16,22:31:24,196,31245.019364,12,50871
51146,2021-11-16,22:31:24.300000,196,31312.127432,12,51146
51427,2021-11-16,22:31:24.500000,196,32150.978282,12,51427
51697,2021-11-16,22:31:24.800000,196,33459.585608,12,51697
51973,2021-11-16,22:31:25.100000,196,34667.530832,12,51973
52247,2021-11-16,22:31:25.400000,196,36043.246226,12,52247
52524,2021-11-16,22:31:25.600000,196,34868.855036,12,52524
52810,2021-11-16,22:31:25.900000,196,35372.165546000004,12,52810
53072,2021-11-16,22:31:26.200000,196,37183.462011,12,53072
53353,2021-11-16,22:31:26.500000,196,35640.597818,12,53353
53624,2021-11-16,22:31:26.700000,196,36714.326906,12,53624
53899,2021-11-16,22:31:27,196,37183.462011,12,53899
54174,2021-11-16,22:31:27.300000,196,36445.894634000004,12,54174
54445,2021-11-16,22:31:27.600000,196,36814.989008,12,54445
54718,2021-11-16,22:31:27.800000,196,37116.353943,12,54718
54993,2021-11-16,22:31:28.100000,196,37854.542691,12,54993
55275,2021-11-16,22:31:28.400000,195,37183.462011,12,55275
55538,2021-11-16,22:31:28.600000,195,39163.150017,12,55538
55814,2021-11-16,22:31:28.900000,195,39565.798425,12,55814
56103,2021-11-16,22:31:29.200000,195,38961.825813,12,56103
56376,2021-11-16,22:31:29.500000,195,40505.311377,12,56376
56652,2021-11-16,22:31:29.800000,195,39968.446833,12,56652
56921,2021-11-16,22:31:30,195,487.776235,12,56921
57200,2021-11-16,22:31:30.300000,195,588.438337,12,57200
57470,2021-11-16,22:31:30.600000,195,689.100439,12,57470
57740,2021-11-16,22:31:30.800000,195,856.8706090000001,12,57740
58014,2021-11-16,22:31:31.100000,195,1360.181119,12,58014
58277,2021-11-16,22:31:31.400000,195,1729.275493,12,58277
58553,2021-11-16,22:31:31.700000,195,2131.923901,12,58553
58816,2021-11-16,22:31:31.900000,195,2232.586003,12,58816
59091,2021-11-16,22:31:32.200000,195,2333.248105,12,59091
59361,2021-11-16,22:31:32.500000,195,2098.369867,12,59361
59635,2021-11-16,22:31:32.700000,195,2031.261799,12,59635
59915,2021-11-16,22:31:33,195,1997.707765,12,59915
60181,2021-11-16,22:31:33.300000,195,2568.126343,12,60181
60468,2021-11-16,22:31:33.600000,195,1460.843221,12,60468
60743,2021-11-16,22:31:33.900000,195,1662.167425,12,60743
61021,2021-11-16,22:31:34.100000,195,722.654473,12,61021
61294,2021-11-16,22:31:34.400000,196,588.438337,12,61294
61570,2021-11-16,22:31:34.700000,196,1259.519017,12,61570
61844,2021-11-16,22:31:35,196,655.546405,12,61844
62119,2021-11-16,22:31:35.200000,196,51.573793,12,62119
62401,2021-11-16,22:31:35.500000,196,39129.595983,12,62401
62675,2021-11-16,22:31:35.800000,196,39599.352459,12,62675
62945,2021-11-16,22:31:36.100000,197,38022.312861,12,62945
63217,2021-11-16,22:31:36.300000,197,38659.839507,12,63217
63483,2021-11-16,22:31:36.600000,197,37485.448317,12,63483
63759,2021-11-16,22:31:36.900000,197,38928.271779,12,63759
64033,2021-11-16,22:31:37.100000,197,37116.353943,12,64033
64309,2021-11-16,22:31:37.400000,197,36781.434974,12,64309
64573,2021-11-16,22:31:37.700000,197,36076.80026,12,64573
64852,2021-11-16,22:31:38,197,37921.650759000004,12,64852
65124,2021-11-16,22:31:38.200000,198,38022.312861,12,65124
65397,2021-11-16,22:31:38.500000,198,37854.542691,12,65397
65673,2021-11-16,22:31:38.800000,198,37519.002351,12,65673
65944,2021-11-16,22:31:39.100000,198,38055.866895,12,65944
66219,2021-11-16,22:31:39.300000,198,37753.880589,12,66219
66494,2021-11-16,22:31:39.600000,197,37888.096725,12,66494
66774,2021-11-16,22:31:39.900000,197,36848.543042,12,66774
67046,2021-11-16,22:31:40.200000,197,36278.124464,12,67046
67319,2021-11-16,22:31:40.400000,197,37720.326555,12,67319
67595,2021-11-16,22:31:40.700000,197,37653.218487,12,67595
67866,2021-11-16,22:31:41,196,37250.570079,12,67866
68137,2021-11-16,22:31:41.200000,196,37955.204793,12,68137
68414,2021-11-16,22:31:41.500000,196,38525.623371,12,68414
68695,2021-11-16,22:31:41.800000,195,38961.825813,12,68695
68966,2021-11-16,22:31:42.100000,195,38928.271779,12,68966
69245,2021-11-16,22:31:42.400000,195,38122.974963,12,69245
69515,2021-11-16,22:31:42.600000,194,37820.988657,12,69515
69789,2021-11-16,22:31:42.900000,194,37183.462011,12,69789
70066,2021-11-16,22:31:43.200000,193,36244.57043,12,70066
70333,2021-11-16,22:31:43.400000,193,34264.882424,12,70333
70602,2021-11-16,22:31:43.700000,192,32016.762146,12,70602
70875,2021-11-16,22:31:44,192,30943.033058,12,70875
71147,2021-11-16,22:31:44.300000,192,28628.426083000002,12,71147
71415,2021-11-16,22:31:44.500000,191,27789.575233,12,71415
71698,2021-11-16,22:31:44.800000,191,24937.482343,12,71698
71973,2021-11-16,22:31:45.100000,190,22991.348371,12,71973
72244,2021-11-16,22:31:45.400000,190,19703.67441,12,72244
72517,2021-11-16,22:31:45.600000,190,18093.080778,12,72517
72793,2021-11-16,22:31:45.900000,190,14133.704766,12,72793
73068,2021-11-16,22:31:46.200000,189,11718.435689,12,73068
73336,2021-11-16,22:31:46.400000,189,9302.545241,12,73336
73614,2021-11-16,22:31:46.700000,189,6853.100759,12,73614
73882,2021-11-16,22:31:47,189,2793.684016,12,73882
74157,2021-11-16,22:31:47.300000,189,40663.760982,12,74157
74431,2021-11-16,22:31:47.500000,189,38818.910483,12,74431
74703,2021-11-16,22:31:47.800000,188,33685.143281,12,74703
74976,2021-11-16,22:31:48.100000,188,31571.239139,12,74976
75245,2021-11-16,22:31:48.400000,188,27075.619954,12,75245
75532,2021-11-16,22:31:48.600000,188,24928.161778,12,75532
75803,2021-11-16,22:31:48.900000,188,22814.879007,12,75803
76076,2021-11-16,22:31:49.200000,188,20097.002253,12,76076
76345,2021-11-16,22:31:49.500000,188,18251.530383,12,76345
76621,2021-11-16,22:31:49.700000,188,13655.249096,12,76621
76934,2021-11-16,22:31:50,188,11004.48041,12,76934
77209,2021-11-16,22:31:50.300000,188,7381.266109,12,77209
77485,2021-11-16,22:31:50.600000,188,5468.686171,12,77485
77753,2021-11-16,22:31:50.900000,188,3052.795723,12,77753
78027,2021-11-16,22:31:51.100000,188,2314.606975,12,78027
78298,2021-11-16,22:31:51.400000,188,938.891581,12,78298
78572,2021-11-16,22:31:51.700000,188,133.594765,12,78572
78842,2021-11-16,22:31:52,188,267.810901,12,78842
79112,2021-11-16,22:31:52.200000,188,200.702833,12,79112
79385,2021-11-16,22:31:52.500000,188,32.932663,12,79385
79666,2021-11-16,22:31:52.800000,188,167.148799,12,79666
79941,2021-11-16,22:31:53,188,167.148799,12,79941
80211,2021-11-16,22:31:53.300000,188,32.932663,12,80211
80475,2021-11-16,22:31:53.600000,188,100.04073100000001,12,80475
80750,2021-11-16,22:31:53.900000,189,100.04073100000001,12,80750
81018,2021-11-16,22:31:54.100000,189,100.04073100000001,12,81018
81288,2021-11-16,22:31:54.400000,189,66.486697,12,81288
81556,2021-11-16,22:31:54.700000,189,167.148799,12,81556
81833,2021-11-16,22:31:54.900000,189,167.148799,12,81833
82113,2021-11-16,22:31:55.200000,189,32.932663,12,82113
82376,2021-11-16,22:31:55.500000,189,200.702833,12,82376
82652,2021-11-16,22:31:55.800000,189,66.486697,12,82652
82915,2021-11-16,22:31:56,189,234.256867,12,82915
83190,2021-11-16,22:31:56.300000,189,66.486697,12,83190
83459,2021-11-16,22:31:56.600000,189,100.04073100000001,12,83459
83734,2021-11-16,22:31:56.800000,189,167.148799,12,83734
84002,2021-11-16,22:31:57.100000,189,301.364935,12,84002
84265,2021-11-16,22:31:57.400000,189,133.594765,12,84265
84541,2021-11-16,22:31:57.700000,189,32.932663,12,84541
84812,2021-11-16,22:31:57.900000,189,200.702833,12,84812
85086,2021-11-16,22:31:58.200000,189,267.810901,12,85086
85366,2021-11-16,22:31:58.500000,189,66.486697,12,85366
85648,2021-11-16,22:31:58.800000,189,167.148799,12,85648
85917,2021-11-16,22:31:59,190,167.148799,12,85917
86193,2021-11-16,22:31:59.300000,190,200.702833,12,86193
86468,2021-11-16,22:31:59.600000,190,133.594765,12,86468
86737,2021-11-16,22:31:59.800000,190,66.486697,12,86737
87011,2021-11-16,22:32:00.100000,190,301.364935,12,87011
87282,2021-11-16,22:32:00.400000,190,133.594765,12,87282
87557,2021-11-16,22:32:00.700000,190,100.04073100000001,12,87557
87831,2021-11-16,22:32:00.900000,190,100.04073100000001,12,87831
88094,2021-11-16,22:32:01.200000,190,32.932663,12,88094
88370,2021-11-16,22:32:01.500000,190,133.594765,12,88370
88644,2021-11-16,22:32:01.800000,190,200.702833,12,88644
88911,2021-11-16,22:32:02,190,267.810901,12,88911
89182,2021-11-16,22:32:02.300000,190,234.256867,12,89182
89445,2021-11-16,22:32:02.600000,190,66.486697,12,89445
89721,2021-11-16,22:32:02.800000,190,267.810901,12,89721
89996,2021-11-16,22:32:03.100000,190,167.148799,12,89996
90277,2021-11-16,22:32:03.400000,190,100.04073100000001,12,90277
90553,2021-11-16,22:32:03.700000,190,133.594765,12,90553
90828,2021-11-16,22:32:03.900000,190,234.256867,12,90828
91097,2021-11-16,22:32:04.200000,190,200.702833,12,91097
91363,2021-11-16,22:32:04.500000,190,133.594765,12,91363
91635,2021-11-16,22:32:04.700000,190,301.364935,12,91635
91911,2021-11-16,22:32:05,191,167.148799,12,91911
92185,2021-11-16,22:32:05.300000,191,200.702833,12,92185
92467,2021-11-16,22:32:05.600000,191,234.256867,12,92467
92740,2021-11-16,22:32:05.800000,191,200.702833,12,92740
93011,2021-11-16,22:32:06.100000,191,234.256867,12,93011
93282,2021-11-16,22:32:06.400000,191,167.148799,12,93282
93569,2021-11-16,22:32:06.700000,191,133.594765,12,93569
93837,2021-11-16,22:32:06.900000,191,133.594765,12,93837
94106,2021-11-16,22:32:07.200000,191,301.364935,12,94106
94375,2021-11-16,22:32:07.500000,191,66.486697,12,94375
94656,2021-11-16,22:32:07.800000,191,66.486697,12,94656
94926,2021-11-16,22:32:08,191,167.148799,12,94926
95207,2021-11-16,22:32:08.300000,191,167.148799,12,95207
95496,2021-11-16,22:32:08.600000,191,100.04073100000001,12,95496
95764,2021-11-16,22:32:08.900000,191,167.148799,12,95764
96041,2021-11-16,22:32:09.100000,192,200.702833,12,96041
96308,2021-11-16,22:32:09.400000,192,32.932663,12,96308
96577,2021-11-16,22:32:09.700000,192,234.256867,12,96577
96852,2021-11-16,22:32:10,192,66.486697,12,96852
97128,2021-11-16,22:32:10.200000,192,66.486697,12,97128
97402,2021-11-16,22:32:10.500000,192,66.486697,12,97402
97666,2021-11-16,22:32:10.800000,192,133.594765,12,97666
97942,2021-11-16,22:32:11,192,267.810901,12,97942
98216,2021-11-16,22:32:11.300000,192,0.0,12,98216
98492,2021-11-16,22:32:11.600000,192,66.486697,12,98492
98781,2021-11-16,22:32:11.900000,192,133.594765,12,98781
99055,2021-11-16,22:32:12.200000,192,0.0,12,99055
99330,2021-11-16,22:32:12.400000,192,234.256867,12,99330
99593,2021-11-16,22:32:12.700000,192,167.148799,12,99593
99861,2021-11-16,22:32:13,192,66.486697,12,99861
100130,2021-11-16,22:32:13.200000,192,133.594765,12,100130
100393,2021-11-16,22:32:13.500000,192,200.702833,12,100393
100670,2021-11-16,22:32:13.800000,192,200.702833,12,100670
100943,2021-11-16,22:32:14,192,100.04073100000001,12,100943
101221,2021-11-16,22:32:14.300000,192,234.256867,12,101221
101494,2021-11-16,22:32:14.600000,192,167.148799,12,101494
101770,2021-11-16,22:32:14.900000,192,32.932663,12,101770
102033,2021-11-16,22:32:15.100000,192,234.256867,12,102033
102302,2021-11-16,22:32:15.400000,192,167.148799,12,102302
102571,2021-11-16,22:32:15.700000,192,66.486697,12,102571
102838,2021-11-16,22:32:15.900000,192,267.810901,12,102838
103104,2021-11-16,22:32:16.200000,192,100.04073100000001,12,103104
103371,2021-11-16,22:32:16.500000,192,66.486697,12,103371
103647,2021-11-16,22:32:16.800000,193,301.364935,12,103647
103911,2021-11-16,22:32:17,193,32.932663,12,103911
104184,2021-11-16,22:32:17.300000,193,66.486697,12,104184
104456,2021-11-16,22:32:17.600000,193,32.932663,12,104456
104748,2021-11-16,22:32:17.900000,193,133.594765,12,104748
105011,2021-11-16,22:32:18.100000,193,66.486697,12,105011
105292,2021-11-16,22:32:18.400000,193,234.256867,12,105292
105568,2021-11-16,22:32:18.700000,193,133.594765,12,105568
105842,2021-11-16,22:32:18.900000,193,167.148799,12,105842
106112,2021-11-16,22:32:19.200000,193,32.932663,12,106112
106375,2021-11-16,22:32:19.500000,193,167.148799,12,106375
106649,2021-11-16,22:32:19.800000,193,100.04073100000001,12,106649
106912,2021-11-16,22:32:20,193,133.594765,12,106912
107188,2021-11-16,22:32:20.300000,193,32.932663,12,107188
107452,2021-11-16,22:32:20.600000,193,167.148799,12,107452
107732,2021-11-16,22:32:20.800000,193,234.256867,12,107732
108002,2021-11-16,22:32:21.100000,193,133.594765,12,108002
108276,2021-11-16,22:32:21.400000,194,167.148799,12,108276
108552,2021-11-16,22:32:21.700000,194,66.486697,12,108552
108819,2021-11-16,22:32:21.900000,194,100.04073100000001,12,108819
109089,2021-11-16,22:32:22.200000,194,133.594765,12,109089
109365,2021-11-16,22:32:22.500000,194,167.148799,12,109365
109646,2021-11-16,22:32:22.800000,194,100.04073100000001,12,109646
109916,2021-11-16,22:32:23,194,267.810901,12,109916
110190,2021-11-16,22:32:23.300000,194,133.594765,12,110190
