,index,acc1,acc2,acc3,acc4,duration,utcdate
0,14876,0;1;1,0;0;0,0;0;0,0;0;0,14876,2021-11-16
1,19578,,,,,19578,2021-11-16
2,19580,0;0;1,0;0;-1,0;0;0,0;0;-1,19580,2021-11-16
3,19847,,,,,19847,2021-11-16
4,19850,0;0;0,1;0;-1,0;1;1,0;0;0,19850,2021-11-16
5,20117,,,,,20117,2021-11-16
6,20119,0;0;0,0;0;-1,0;0;0,0;0;-1,20119,2021-11-16
7,20385,,,,,20385,2021-11-16
8,20387,1;0;-1,0;0;0,0;0;0,0;-1;0,20387,2021-11-16
9,20648,,,,,20648,2021-11-16
10,20651,0;1;-1,0;0;-1,0;0;0,0;0;1,20651,2021-11-16
11,20923,,,,,20923,2021-11-16
12,20925,-1;2;0,0;0;0,0;0;1,0;1;0,20925,2021-11-16
13,21186,,,,,21186,2021-11-16
14,21188,0;1;1,0;0;0,1;0;0,0;0;0,21188,2021-11-16
15,21449,,,,,21449,2021-11-16
16,21457,1;0;0,0;0;0,0;1;-1,0;0;-2,21457,2021-11-16
17,21724,,,,,21724,2021-11-16
18,21726,0;-1;1,1;0;-1,0;0;0,0;0;0,21726,2021-11-16
19,21987,,,,,21987,2021-11-16
20,21989,0;0;1,0;0;0,0;1;0,0;1;0,21989,2021-11-16
21,22254,,,,,22254,2021-11-16
22,22256,0;0;0,0;0;0,0;0;0,0;0;0,22256,2021-11-16
23,22524,,,,,22524,2021-11-16
24,22528,1;-1;-1,0;0;0,0;0;0,0;0;0,22528,2021-11-16
25,22788,,,,,22788,2021-11-16
26,22790,0;0;0,0;0;0,1;0;0,0;0;-1,22790,2021-11-16
27,23063,,,,,23063,2021-11-16
28,23065,0;0;0,0;0;1,0;0;0,0;0;0,23065,2021-11-16
29,23326,,,,,23326,2021-11-16
30,23328,1;0;0,0;0;1,0;0;0,0;0;-1,23328,2021-11-16
31,23589,,,,,23589,2021-11-16
32,23596,1;0;0,0;0;-1,0;0;-2,0;0;1,23596,2021-11-16
33,23864,,,,,23864,2021-11-16
34,23866,0;0;0,0;0;0,0;0;0,0;0;0,23866,2021-11-16
35,24129,,,,,24129,2021-11-16
36,24131,0;0;0,0;0;0,0;1;0,0;0;0,24131,2021-11-16
37,24397,,,,,24397,2021-11-16
38,24400,0;1;0,0;0;0,0;0;0,0;0;0,24400,2021-11-16
39,24667,,,,,24667,2021-11-16
40,24670,-1;0;0,0;2;0,0;0;0,-1;0;0,24670,2021-11-16
41,24937,,,,,24937,2021-11-16
42,24944,1;0;-1,0;0;0,0;0;0,0;2;0,24944,2021-11-16
43,25210,,,,,25210,2021-11-16
44,25213,0;0;1,1;0;0,0;1;0,0;1;0,25213,2021-11-16
45,25474,,,,,25474,2021-11-16
46,25477,-1;0;1,0;0;-1,0;-1;0,1;0;0,25477,2021-11-16
47,25749,,,,,25749,2021-11-16
48,25751,1;0;-1,0;0;-1,0;0;0,0;0;1,25751,2021-11-16
49,26011,,,,,26011,2021-11-16
50,26014,1;0;0,0;0;1,0;0;0,0;0;2,26014,2021-11-16
51,26273,,,,,26273,2021-11-16
52,26280,0;0;0,0;0;0,0;0;0,0;0;0,26280,2021-11-16
53,26543,,,,,26543,2021-11-16
54,26546,0;0;-1,0;0;0,0;-1;1,0;0;0,26546,2021-11-16
55,26806,,,,,26806,2021-11-16
56,26808,0;0;0,0;0;0,0;0;1,0;0;1,26808,2021-11-16
57,27075,,,,,27075,2021-11-16
58,27077,0;0;0,0;1;0,0;0;0,0;0;0,27077,2021-11-16
59,27337,,,,,27337,2021-11-16
60,27340,0;0;-1,1;0;2,0;1;0,0;0;3,27340,2021-11-16
61,27606,,,,,27606,2021-11-16
62,27608,1;0;0,0;0;2,0;0;0,1;1;0,27608,2021-11-16
63,27870,,,,,27870,2021-11-16
64,27872,0;0;0,0;0;0,0;0;-2,0;0;-1,27872,2021-11-16
65,28133,,,,,28133,2021-11-16
66,28135,0;0;0,0;0;-1,1;0;0,0;0;-1,28135,2021-11-16
67,28401,,,,,28401,2021-11-16
68,28404,0;0;-2,0;0;0,0;0;0,0;0;-1,28404,2021-11-16
69,28663,,,,,28663,2021-11-16
70,28666,1;1;0,1;0;0,0;0;0,0;0;0,28666,2021-11-16
71,28931,,,,,28931,2021-11-16
72,28934,0;0;0,0;0;1,0;0;0,1;0;-1,28934,2021-11-16
73,29196,,,,,29196,2021-11-16
74,29198,0;-1;0,0;0;0,0;0;-1,1;0;-1,29198,2021-11-16
75,29459,,,,,29459,2021-11-16
76,29467,0;0;1,0;0;0,1;0;0,0;0;0,29467,2021-11-16
77,29727,,,,,29727,2021-11-16
78,29730,0;0;1,0;0;0,0;0;-1,1;0;1,29730,2021-11-16
79,29990,,,,,29990,2021-11-16
80,29993,0;0;0,0;0;-1,1;0;0,0;0;0,29993,2021-11-16
81,30260,,,,,30260,2021-11-16
82,30262,1;0;-1,0;0;0,0;0;1,0;0;1,30262,2021-11-16
83,30522,,,,,30522,2021-11-16
84,30524,0;1;0,1;0;-1,1;0;0,0;0;0,30524,2021-11-16
85,30784,,,,,30784,2021-11-16
86,30793,0;0;0,0;0;0,0;1;-1,1;0;-1,30793,2021-11-16
87,31053,,,,,31053,2021-11-16
88,31056,0;0;0,1;0;-1,0;0;0,0;0;0,31056,2021-11-16
89,31316,,,,,31316,2021-11-16
90,31320,0;0;0,0;1;0,1;0;0,-1;0;-3,31320,2021-11-16
91,31586,,,,,31586,2021-11-16
92,31588,0;0;-1,0;2;-1,0;1;0,0;0;0,31588,2021-11-16
93,31848,,,,,31848,2021-11-16
94,31851,1;1;0,-1;1;0,0;0;0,0;0;0,31851,2021-11-16
95,32117,,,,,32117,2021-11-16
96,32119,0;1;0,0;0;-1,0;0;0,0;0;-2,32119,2021-11-16
97,32380,,,,,32380,2021-11-16
98,32384,-1;0;0,0;0;1,1;0;1,0;0;0,32384,2021-11-16
99,32643,,,,,32643,2021-11-16
100,32650,0;1;-1,0;0;-2,1;1;-1,0;0;0,32650,2021-11-16
101,32911,,,,,32911,2021-11-16
102,32914,0;0;-1,0;0;0,0;0;0,0;0;0,32914,2021-11-16
103,33174,,,,,33174,2021-11-16
104,33177,0;0;0,1;0;0,0;0;1,0;0;0,33177,2021-11-16
105,33443,,,,,33443,2021-11-16
106,33445,0;0;0,0;0;1,0;0;0,0;0;0,33445,2021-11-16
107,33707,,,,,33707,2021-11-16
108,33709,0;0;0,0;-1;-1,0;0;0,0;0;0,33709,2021-11-16
109,33970,,,,,33970,2021-11-16
110,33977,0;0;0,0;0;-1,0;0;0,0;0;1,33977,2021-11-16
111,34238,,,,,34238,2021-11-16
112,34241,0;0;0,0;0;0,0;0;0,0;0;0,34241,2021-11-16
113,34501,,,,,34501,2021-11-16
114,34504,0;-1;0,0;0;0,0;0;0,0;0;0,34504,2021-11-16
115,41073,,,,,41073,2021-11-16
116,41075,0;0;0,0;0;0,0;0;0,0;2;1,41075,2021-11-16
117,41340,,,,,41340,2021-11-16
118,41344,0;0;0,0;0;0,1;0;0,0;0;0,41344,2021-11-16
119,41610,,,,,41610,2021-11-16
120,41617,0;0;0,0;0;1,0;0;-1,0;0;0,41617,2021-11-16
121,41885,,,,,41885,2021-11-16
122,41888,0;0;0,0;0;0,0;0;0,0;1;0,41888,2021-11-16
123,42148,,,,,42148,2021-11-16
124,42151,0;0;0,0;0;0,1;0;0,0;0;-1,42151,2021-11-16
125,42430,,,,,42430,2021-11-16
126,42432,0;-1;0,0;0;0,0;0;-1,0;1;0,42432,2021-11-16
127,42714,,,,,42714,2021-11-16
128,42717,0;0;-1,0;0;-1,0;0;0,0;0;1,42717,2021-11-16
129,42987,,,,,42987,2021-11-16
130,42994,1;-1;0,0;0;0,-1;0;-1,0;0;0,42994,2021-11-16
131,43262,,,,,43262,2021-11-16
132,43266,0;-1;1,1;0;0,1;0;0,0;0;0,43266,2021-11-16
133,43531,,,,,43531,2021-11-16
134,43533,0;-1;0,0;0;1,1;1;0,1;0;0,43533,2021-11-16
135,43800,,,,,43800,2021-11-16
136,43802,1;0;0,1;0;0,0;0;-1,0;0;0,43802,2021-11-16
137,44062,,,,,44062,2021-11-16
138,44065,0;0;0,0;0;0,2;0;0,1;0;-1,44065,2021-11-16
139,44325,,,,,44325,2021-11-16
140,44333,0;0;0,1;0;0,0;-1;0,0;0;0,44333,2021-11-16
141,44601,,,,,44601,2021-11-16
142,44603,1;0;0,1;0;0,0;0;0,0;0;0,44603,2021-11-16
143,44864,,,,,44864,2021-11-16
144,44866,0;0;0,0;0;0,0;0;-1,0;0;0,44866,2021-11-16
145,45135,,,,,45135,2021-11-16
146,45138,1;0;-1,0;0;-1,0;0;0,0;0;1,45138,2021-11-16
147,45403,,,,,45403,2021-11-16
148,45406,0;-1;0,0;-1;0,0;0;0,0;0;0,45406,2021-11-16
149,45709,,,,,45709,2021-11-16
150,45712,0;0;-1,1;0;0,1;0;2,0;0;0,45712,2021-11-16
151,45976,,,,,45976,2021-11-16
152,45979,0;0;0,0;0;0,0;0;2,0;0;-1,45979,2021-11-16
153,46245,,,,,46245,2021-11-16
154,46254,0;0;2,0;0;1,0;0;0,0;0;0,46254,2021-11-16
155,46515,,,,,46515,2021-11-16
156,46517,1;0;0,1;0;0,0;0;-1,0;0;1,46517,2021-11-16
157,46778,,,,,46778,2021-11-16
158,46780,0;0;0,1;0;0,0;0;-1,0;0;0,46780,2021-11-16
159,47053,,,,,47053,2021-11-16
160,47056,0;0;-1,0;0;-1,0;0;0,0;0;0,47056,2021-11-16
161,47329,,,,,47329,2021-11-16
162,47331,0;0;0,0;0;0,0;0;1,0;0;0,47331,2021-11-16
163,47597,,,,,47597,2021-11-16
164,47606,0;0;1,0;0;0,1;0;-1,-1;0;1,47606,2021-11-16
165,47866,,,,,47866,2021-11-16
166,47869,1;0;0,0;0;0,-1;2;0,0;0;0,47869,2021-11-16
167,48130,,,,,48130,2021-11-16
168,48133,-1;0;0,0;0;0,0;0;-1,1;0;0,48133,2021-11-16
169,48414,,,,,48414,2021-11-16
170,48417,0;0;0,0;0;-1,1;0;0,0;1;0,48417,2021-11-16
171,48679,,,,,48679,2021-11-16
172,48683,1;0;1,0;0;1,0;0;0,1;0;0,48683,2021-11-16
173,48944,,,,,48944,2021-11-16
174,48952,0;0;0,1;0;0,1;-1;0,1;0;0,48952,2021-11-16
175,49217,,,,,49217,2021-11-16
176,49220,0;0;0,0;0;0,0;1;0,0;0;0,49220,2021-11-16
177,49487,,,,,49487,2021-11-16
178,49490,0;0;0,-1;-1;0,0;0;0,0;0;0,49490,2021-11-16
179,49768,,,,,49768,2021-11-16
180,49771,0;0;0,0;0;0,0;0;1,0;-1;0,49771,2021-11-16
181,50043,,,,,50043,2021-11-16
182,50046,0;0;-1,0;0;0,1;0;0,-1;-1;0,50046,2021-11-16
183,50312,,,,,50312,2021-11-16
184,50315,0;0;0,0;0;0,0;0;0,0;0;0,50315,2021-11-16
185,50582,,,,,50582,2021-11-16
186,50585,0;0;0,0;0;0,1;-1;-1,0;-1;1,50585,2021-11-16
187,50850,,,,,50850,2021-11-16
188,50857,0;0;1,0;0;0,-1;-1;0,0;1;0,50857,2021-11-16
189,51127,,,,,51127,2021-11-16
190,51129,0;0;1,0;0;-1,0;0;0,0;0;0,51129,2021-11-16
191,51402,,,,,51402,2021-11-16
192,51405,0;0;0,0;0;0,0;-1;0,-1;0;0,51405,2021-11-16
193,51677,,,,,51677,2021-11-16
194,51679,1;0;0,0;0;0,0;0;0,0;0;0,51679,2021-11-16
195,51945,,,,,51945,2021-11-16
196,51948,0;0;0,0;0;0,0;0;0,-1;0;0,51948,2021-11-16
197,52208,,,,,52208,2021-11-16
198,52215,0;0;0,0;0;0,0;0;0,0;0;0,52215,2021-11-16
