,index,acc1,acc2,acc3,acc4,duration
0,8630,0;0;0,0;1;0,0;0;1,0;0;0,8630
1,9421,,,,,9421
2,9424,0;0;0,0;1;0,0;0;0,0;0;0,9424
3,9684,,,,,9684
4,9687,1;0;-1,0;0;0,0;-1;-1,0;0;0,9687
5,9971,,,,,9971
6,9973,1;0;0,-1;0;-2,0;0;-1,0;0;0,9973
7,10234,,,,,10234
8,10237,0;1;-1,0;0;0,1;0;0,1;0;0,10237
9,10499,,,,,10499
10,10501,0;-1;1,0;0;0,0;0;0,0;0;0,10501
11,10772,,,,,10772
12,10775,0;0;-1,0;0;1,1;0;-1,0;0;0,10775
13,11048,,,,,11048
14,11052,0;0;0,0;1;0,0;0;0,0;0;-1,11052
15,11323,,,,,11323
16,11326,1;0;0,0;-1;-1,-1;-1;0,0;0;0,11326
17,11592,,,,,11592
18,11595,0;1;0,0;0;0,0;0;0,1;0;1,11595
19,11862,,,,,11862
20,11870,0;0;1,0;0;0,0;0;-1,0;0;0,11870
21,12143,,,,,12143
22,12146,0;-1;0,0;0;0,0;-2;-1,0;0;0,12146
23,12411,,,,,12411
24,12414,0;-1;0,1;-1;0,0;0;0,0;-1;0,12414
25,12675,,,,,12675
26,12678,0;0;0,0;0;1,0;0;0,0;0;0,12678
27,12943,,,,,12943
28,12946,0;0;0,1;0;0,0;0;0,0;0;0,12946
29,13212,,,,,13212
30,13220,0;0;0,0;0;1,0;0;0,0;0;-1,13220
31,13490,,,,,13490
32,13492,0;0;0,0;0;1,1;0;0,-1;0;0,13492
33,13759,,,,,13759
34,13762,0;0;1,1;0;0,0;0;0,0;0;0,13762
35,14042,,,,,14042
36,14044,0;0;0,0;0;0,1;0;0,0;0;0,14044
37,14308,,,,,14308
38,14311,0;1;-1,0;0;0,0;0;0,0;0;0,14311
39,14585,,,,,14585
40,14587,0;-1;-1,0;0;0,0;0;0,0;-1;0,14587
41,14852,,,,,14852
42,14854,0;0;-1,0;0;-1,0;0;1,0;-1;0,14854
43,15114,,,,,15114
44,15122,0;0;0,0;0;0,0;0;0,0;-1;1,15122
45,15383,,,,,15383
46,15386,0;0;0,0;0;0,0;0;0,0;-1;0,15386
47,15652,,,,,15652
48,15654,0;0;0,0;0;0,0;0;-1,0;0;0,15654
49,15935,,,,,15935
50,15938,0;-1;0,0;0;0,0;0;0,0;0;0,15938
51,16210,,,,,16210
52,16212,0;1;0,0;0;1,1;0;0,0;0;1,16212
53,16480,,,,,16480
54,16487,0;0;1,1;0;-1,-1;0;-1,0;0;0,16487
55,16753,,,,,16753
56,16756,0;0;0,0;0;0,-1;0;0,0;0;-1,16756
57,17018,,,,,17018
58,17020,0;0;1,0;0;0,0;0;2,0;0;0,17020
59,17304,,,,,17304
60,17307,0;0;-1,1;-1;1,0;0;0,0;0;0,17307
61,17573,,,,,17573
62,17575,0;0;0,0;0;1,0;0;-1,0;0;0,17575
63,17853,,,,,17853
64,17855,0;0;0,0;-1;0,0;0;0,0;0;0,17855
65,18118,,,,,18118
66,18121,0;0;0,-1;0;0,0;0;-1,0;0;0,18121
67,18393,,,,,18393
68,18401,0;0;1,1;0;-1,0;0;-1,0;0;0,18401
69,18668,,,,,18668
70,18671,0;0;0,0;0;0,0;0;0,0;0;0,18671
71,18945,,,,,18945
72,18947,0;0;0,-1;0;0,0;-1;0,-1;0;0,18947
73,19224,,,,,19224
74,19227,0;0;0,0;0;0,0;1;0,0;0;-1,19227
75,19494,,,,,19494
76,19496,0;0;0,0;0;0,0;0;0,0;0;0,19496
77,19769,,,,,19769
78,19777,0;-1;0,0;0;-1,0;0;-1,0;0;0,19777
79,20044,,,,,20044
80,20046,0;0;0,0;0;-1,0;0;0,1;0;0,20046
81,20307,,,,,20307
82,20310,1;0;-1,0;-1;0,0;1;1,0;0;0,20310
83,20579,,,,,20579
84,20582,0;0;0,1;0;0,0;0;1,0;0;0,20582
85,20845,,,,,20845
86,20848,1;0;0,0;0;0,1;0;0,0;0;0,20848
87,21108,,,,,21108
88,21116,0;-1;0,1;0;0,0;0;0,0;0;2,21116
89,21377,,,,,21377
90,21380,1;0;-1,-1;0;0,0;0;0,0;0;-1,21380
91,21639,,,,,21639
92,21642,0;0;0,-1;-1;0,0;0;0,0;0;0,21642
93,21909,,,,,21909
94,21912,0;0;0,0;0;0,1;1;0,0;0;0,21912
95,22177,,,,,22177
96,22179,0;0;0,1;0;0,1;2;3,0;1;1,22179
97,22446,,,,,22446
98,22449,0;0;0,0;0;1,0;0;0,-1;2;-2,22449
