,index,acc1,acc2,acc3,acc4,duration,trip_id,utcdate
0,30017,0;0;0,-1;1;-2,1;1;-2,0;2;0,30017,3,2021-10-25
1,30297,,,,,30297,3,2021-10-25
2,30300,0;1;0,2;-1;0,1;1;0,1;1;0,30300,3,2021-10-25
3,30574,,,,,30574,3,2021-10-25
4,30576,0;1;-2,-2;0;1,0;1;0,0;1;1,30576,3,2021-10-25
5,30841,,,,,30841,3,2021-10-25
6,30843,1;0;1,0;0;0,0;0;0,2;0;2,30843,3,2021-10-25
7,31110,,,,,31110,3,2021-10-25
8,31112,2;2;2,0;2;0,0;0;0,1;2;0,31112,3,2021-10-25
9,31374,,,,,31374,3,2021-10-25
10,31376,0;1;0,0;1;0,0;2;0,0;0;1,31376,3,2021-10-25
11,31643,,,,,31643,3,2021-10-25
12,31645,0;1;0,0;0;-1,0;1;-1,1;1;0,31645,3,2021-10-25
13,31910,,,,,31910,3,2021-10-25
14,31912,1;1;1,3;0;2,0;2;1,1;-2;0,31912,3,2021-10-25
15,32174,,,,,32174,3,2021-10-25
16,32182,1;0;1,0;1;1,0;0;0,0;0;0,32182,3,2021-10-25
17,32449,,,,,32449,3,2021-10-25
18,32451,0;0;1,0;2;0,1;0;-1,0;1;0,32451,3,2021-10-25
19,32711,,,,,32711,3,2021-10-25
20,32714,1;1;1,0;0;0,1;2;0,1;0;2,32714,3,2021-10-25
21,32987,,,,,32987,3,2021-10-25
22,32989,0;0;0,1;2;1,0;0;0,0;2;-1,32989,3,2021-10-25
23,33250,,,,,33250,3,2021-10-25
24,33252,0;0;1,1;1;-2,-1;1;0,1;0;0,33252,3,2021-10-25
25,33516,,,,,33516,3,2021-10-25
26,33518,1;0;0,0;0;0,1;0;-1,0;0;1,33518,3,2021-10-25
27,33787,,,,,33787,3,2021-10-25
28,33789,0;1;2,1;1;1,0;2;0,0;2;1,33789,3,2021-10-25
29,34051,,,,,34051,3,2021-10-25
30,34053,1;2;-1,0;0;0,0;1;1,1;0;0,34053,3,2021-10-25
31,34316,,,,,34316,3,2021-10-25
32,34322,0;1;2,1;2;2,1;0;3,2;0;0,34322,3,2021-10-25
33,34587,,,,,34587,3,2021-10-25
34,34590,0;1;0,0;2;1,2;0;0,1;1;0,34590,3,2021-10-25
35,34854,,,,,34854,3,2021-10-25
36,34856,0;0;0,0;1;-3,0;1;1,0;0;0,34856,3,2021-10-25
37,35136,,,,,35136,3,2021-10-25
38,35138,1;1;0,1;2;2,0;0;2,0;0;0,35138,3,2021-10-25
39,35403,,,,,35403,3,2021-10-25
40,35405,0;2;0,0;1;3,0;0;1,-1;0;-1,35405,3,2021-10-25
41,35664,,,,,35664,3,2021-10-25
42,35672,0;1;1,-1;1;0,2;2;1,0;0;0,35672,3,2021-10-25
43,35937,,,,,35937,3,2021-10-25
44,35939,0;1;1,1;0;0,0;0;2,2;0;0,35939,3,2021-10-25
45,36204,,,,,36204,3,2021-10-25
46,36206,0;0;0,1;0;0,-1;2;1,1;1;1,36206,3,2021-10-25
47,36470,,,,,36470,3,2021-10-25
48,36472,0;0;0,0;0;-1,1;1;0,0;0;1,36472,3,2021-10-25
49,36741,,,,,36741,3,2021-10-25
50,36743,0;2;0,0;2;1,-2;3;1,3;2;-1,36743,3,2021-10-25
51,37011,,,,,37011,3,2021-10-25
52,37013,3;1;2,1;0;0,1;2;-4,1;1;0,37013,3,2021-10-25
53,37288,,,,,37288,3,2021-10-25
54,37291,0;1;1,-2;-1;3,-1;1;3,0;1;0,37291,3,2021-10-25
55,37554,,,,,37554,3,2021-10-25
56,37556,0;0;0,1;2;-1,-1;1;-1,0;3;1,37556,3,2021-10-25
57,37828,,,,,37828,3,2021-10-25
58,37836,0;0;0,1;0;0,0;0;2,0;0;0,37836,3,2021-10-25
59,38105,,,,,38105,3,2021-10-25
60,38107,1;2;2,2;1;-1,1;0;1,0;1;0,38107,3,2021-10-25
61,38367,,,,,38367,3,2021-10-25
62,38369,0;2;1,1;2;1,0;1;0,0;2;0,38369,3,2021-10-25
63,38636,,,,,38636,3,2021-10-25
64,38639,1;0;-1,-1;3;1,0;1;0,1;2;-1,38639,3,2021-10-25
65,38904,,,,,38904,3,2021-10-25
66,38906,0;2;0,0;0;0,0;0;-1,0;3;-1,38906,3,2021-10-25
67,39168,,,,,39168,3,2021-10-25
68,39170,2;0;-1,0;0;0,0;0;0,0;2;0,39170,3,2021-10-25
69,39442,,,,,39442,3,2021-10-25
70,39445,1;1;0,1;2;1,2;0;0,0;0;-1,39445,3,2021-10-25
71,39705,,,,,39705,3,2021-10-25
72,39707,0;0;1,1;0;0,1;0;0,0;1;2,39707,3,2021-10-25
73,39968,,,,,39968,3,2021-10-25
74,39975,-1;1;-1,1;2;0,-1;2;3,0;0;1,39975,3,2021-10-25
75,40244,,,,,40244,3,2021-10-25
76,40246,1;-1;-1,0;2;0,0;2;1,0;0;0,40246,3,2021-10-25
77,40506,,,,,40506,3,2021-10-25
78,40509,-1;2;0,2;0;1,0;0;0,0;1;1,40509,3,2021-10-25
79,40782,,,,,40782,3,2021-10-25
80,40784,0;2;2,0;0;0,0;1;-2,1;0;-1,40784,3,2021-10-25
81,41044,,,,,41044,3,2021-10-25
82,41047,1;1;-1,0;1;-1,-1;0;-1,0;0;-1,41047,3,2021-10-25
83,41309,,,,,41309,3,2021-10-25
84,41315,1;0;0,1;0;3,1;1;0,0;0;0,41315,3,2021-10-25
85,41582,,,,,41582,3,2021-10-25
