,index,utcdate,utctime,alt,speed_mph,n_sats,duration,trip_id
0,30297,2021-10-25,20:42:16.500000,0,0.0,0,30297,3
1,30574,2021-10-25,20:42:16.700000,0,0.0,0,30574,3
2,30841,2021-10-25,20:42:17,0,0.0,0,30841,3
3,31110,2021-10-25,20:42:17.300000,0,0.0,0,31110,3
4,31374,2021-10-25,20:42:17.500000,0,0.0,0,31374,3
5,31643,2021-10-25,20:42:17.800000,0,0.0,0,31643,3
6,31910,2021-10-25,20:42:18.100000,0,0.0,0,31910,3
7,32174,2021-10-25,20:42:18.300000,0,0.0,0,32174,3
8,32449,2021-10-25,20:42:18.600000,0,0.0,0,32449,3
9,32711,2021-10-25,20:42:18.900000,0,0.0,0,32711,3
10,32987,2021-10-25,20:42:19.200000,0,0.0,0,32987,3
11,33250,2021-10-25,20:42:19.400000,0,0.0,0,33250,3
12,33516,2021-10-25,20:42:19.700000,0,0.0,0,33516,3
13,33787,2021-10-25,20:42:20,0,0.0,0,33787,3
14,34051,2021-10-25,20:42:20.200000,0,0.0,0,34051,3
15,34316,2021-10-25,20:42:20.500000,0,0.0,0,34316,3
16,34587,2021-10-25,20:42:20.800000,0,0.0,0,34587,3
17,34854,2021-10-25,20:42:21,0,0.0,0,34854,3
18,35136,2021-10-25,20:42:21.300000,0,0.0,0,35136,3
19,35403,2021-10-25,20:42:21.600000,0,0.0,0,35403,3
20,35664,2021-10-25,20:42:21.800000,0,0.0,0,35664,3
21,35937,2021-10-25,20:42:22.100000,0,0.0,0,35937,3
22,36204,2021-10-25,20:42:22.400000,0,0.0,0,36204,3
23,36470,2021-10-25,20:42:22.600000,0,0.0,0,36470,3
24,36741,2021-10-25,20:42:22.900000,0,0.0,0,36741,3
25,37011,2021-10-25,20:42:23.200000,0,0.0,0,37011,3
26,37288,2021-10-25,20:42:23.500000,0,0.0,0,37288,3
27,37554,2021-10-25,20:42:23.700000,0,0.0,0,37554,3
28,37828,2021-10-25,20:42:24,0,0.0,0,37828,3
29,38105,2021-10-25,20:42:24.300000,0,0.0,0,38105,3
30,38367,2021-10-25,20:42:24.500000,0,0.0,0,38367,3
31,38636,2021-10-25,20:42:24.800000,0,0.0,0,38636,3
32,38904,2021-10-25,20:42:25.100000,0,0.0,0,38904,3
33,39168,2021-10-25,20:42:25.300000,0,0.0,0,39168,3
34,39442,2021-10-25,20:42:25.600000,0,0.0,0,39442,3
35,39705,2021-10-25,20:42:25.900000,0,0.0,0,39705,3
36,39968,2021-10-25,20:42:26.100000,0,0.0,0,39968,3
37,40244,2021-10-25,20:42:26.400000,0,0.0,0,40244,3
38,40506,2021-10-25,20:42:26.700000,0,0.0,0,40506,3
39,40782,2021-10-25,20:42:26.900000,0,0.0,0,40782,3
40,41044,2021-10-25,20:42:27.200000,0,0.0,0,41044,3
41,41309,2021-10-25,20:42:27.500000,0,0.0,0,41309,3
42,41582,2021-10-25,20:42:27.700000,0,0.0,0,41582,3
43,41845,2021-10-25,20:42:28,0,0.0,0,41845,3
44,42114,2021-10-25,20:42:28.300000,0,0.0,0,42114,3
45,42383,2021-10-25,20:42:28.500000,0,0.0,0,42383,3
46,42646,2021-10-25,20:42:28.800000,0,0.0,0,42646,3
47,42923,2021-10-25,20:42:29.100000,0,0.0,0,42923,3
48,43185,2021-10-25,20:42:29.400000,0,0.0,0,43185,3
49,43447,2021-10-25,20:42:29.600000,0,0.0,0,43447,3
50,43722,2021-10-25,20:42:29.900000,0,0.0,0,43722,3
51,43985,2021-10-25,20:42:30.200000,0,0.0,0,43985,3
52,44256,2021-10-25,20:42:30.400000,0,0.0,0,44256,3
53,44523,2021-10-25,20:42:30.700000,0,0.0,0,44523,3
54,44785,2021-10-25,20:42:31,0,0.0,0,44785,3
55,45065,2021-10-25,20:42:31.200000,241,5703.564409,4,45065,3
56,45333,2021-10-25,20:42:31.500000,241,6307.537021,4,45333,3
57,45601,2021-10-25,20:42:31.700000,242,4629.8353210000005,4,45601,3
58,45871,2021-10-25,20:42:32,243,3556.106233,4,45871,3
59,46140,2021-10-25,20:42:32.300000,242,4394.957083,4,46140,3
60,46417,2021-10-25,20:42:32.600000,241,5166.6998650000005,4,46417,3
61,46691,2021-10-25,20:42:32.800000,234,6676.631395,4,46691,3
62,46965,2021-10-25,20:42:33.100000,224,7582.590313,4,46965,3
63,47241,2021-10-25,20:42:33.400000,223,5837.780545,4,47241,3
64,47515,2021-10-25,20:42:33.700000,221,6542.415259,4,47515,3
65,47785,2021-10-25,20:42:33.900000,220,7381.266109,4,47785,3
66,48056,2021-10-25,20:42:34.200000,215,6341.091055,4,48056,3
67,48329,2021-10-25,20:42:34.500000,214,6072.658783,4,48329,3
68,48605,2021-10-25,20:42:34.800000,212,6072.658783,4,48605,3
69,48892,2021-10-25,20:42:35,215,5435.1321370000005,4,48892,3
70,49168,2021-10-25,20:42:35.300000,217,7045.725769,4,49168,3
71,49446,2021-10-25,20:42:35.600000,219,7112.833837,4,49446,3
72,49712,2021-10-25,20:42:35.900000,222,6743.739463,4,49712,3
73,49986,2021-10-25,20:42:36.100000,226,6978.617701,4,49986,3
74,50256,2021-10-25,20:42:36.400000,229,5971.996681,4,50256,3
75,50527,2021-10-25,20:42:36.700000,230,6542.415259,4,50527,3
76,50802,2021-10-25,20:42:37,230,5737.118443,4,50802,3
77,51069,2021-10-25,20:42:37.200000,233,5904.888613,4,51069,3
78,51350,2021-10-25,20:42:37.500000,234,5703.564409,4,51350,3
79,51617,2021-10-25,20:42:37.800000,234,5737.118443,4,51617,3
80,51885,2021-10-25,20:42:38,234,7045.725769,4,51885,3
81,52158,2021-10-25,20:42:38.300000,234,8118.833486,4,52158,3
82,52435,2021-10-25,20:42:38.600000,234,7883.955248,4,52435,3
83,52708,2021-10-25,20:42:38.900000,234,8353.711724,4,52708,3
84,52984,2021-10-25,20:42:39.100000,234,8286.603656,4,52984,3
85,53260,2021-10-25,20:42:39.400000,234,6408.199123,4,53260,3
86,53535,2021-10-25,20:42:39.700000,234,4562.727253,4,53535,3
87,53809,2021-10-25,20:42:40,234,2213.944873,4,53809,3
88,54085,2021-10-25,20:42:40.200000,233,1240.877887,4,54085,3
89,54355,2021-10-25,20:42:40.500000,231,368.473003,4,54355,3
90,54641,2021-10-25,20:42:40.800000,230,100.04073100000001,4,54641,3
91,54909,2021-10-25,20:42:41.100000,229,167.148799,4,54909,3
92,55179,2021-10-25,20:42:41.300000,228,100.04073100000001,4,55179,3
93,55448,2021-10-25,20:42:41.600000,228,1073.107717,4,55448,3
94,55715,2021-10-25,20:42:41.900000,228,2482.377145,4,55715,3
95,55988,2021-10-25,20:42:42.100000,228,3723.876403,4,55988,3
96,56262,2021-10-25,20:42:42.400000,228,4596.281287,4,56262,3
97,56538,2021-10-25,20:42:42.700000,228,5602.902307,4,56538,3
98,56810,2021-10-25,20:42:43,228,7381.266109,4,56810,3
99,57088,2021-10-25,20:42:43.200000,228,9024.792404,4,57088,3
100,57351,2021-10-25,20:42:43.500000,228,9729.427118,4,57351,3
101,57619,2021-10-25,20:42:43.800000,228,10870.264274000001,4,57619,3
102,57888,2021-10-25,20:42:44,228,11977.547396,4,57888,3
103,58170,2021-10-25,20:42:44.300000,228,14896.748354,4,58170,3
104,58439,2021-10-25,20:42:44.600000,229,16238.288343,4,58439,3
105,58723,2021-10-25,20:42:44.900000,229,17580.449703,4,58723,3
106,58989,2021-10-25,20:42:45.100000,229,17882.436009,4,58989,3
107,59266,2021-10-25,20:42:45.400000,230,18285.084417000002,4,59266,3
108,59538,2021-10-25,20:42:45.700000,230,17479.787601,4,59538,3
109,59817,2021-10-25,20:42:46,230,17211.355329,4,59817,3
110,60091,2021-10-25,20:42:46.200000,230,16439.612547,4,60091,3
111,60366,2021-10-25,20:42:46.500000,230,15433.612898,4,60366,3
112,60647,2021-10-25,20:42:46.800000,230,16338.950445,4,60647,3
113,60924,2021-10-25,20:42:47.100000,230,16708.044819,4,60924,3
114,61198,2021-10-25,20:42:47.400000,230,16842.260955,4,61198,3
115,61467,2021-10-25,20:42:47.600000,230,16271.842377,4,61467,3
116,61744,2021-10-25,20:42:47.900000,229,15198.73466,4,61744,3
117,62025,2021-10-25,20:42:48.200000,229,14158.559606,4,62025,3
118,62294,2021-10-25,20:42:48.400000,227,12782.844212,4,62294,3
119,62568,2021-10-25,20:42:48.700000,226,11407.128818,4,62568,3
120,62844,2021-10-25,20:42:49,227,10668.94007,4,62844,3
121,63119,2021-10-25,20:42:49.300000,226,9159.00854,4,63119,3
122,63395,2021-10-25,20:42:49.500000,226,7850.401214,4,63395,3
123,63666,2021-10-25,20:42:49.800000,225,7549.036279,4,63666,3
124,63956,2021-10-25,20:42:50.100000,224,4998.929695,4,63956,3
125,64237,2021-10-25,20:42:50.400000,223,5368.024069,4,64237,3
126,64508,2021-10-25,20:42:50.700000,223,5200.253899,4,64508,3
127,64784,2021-10-25,20:42:50.900000,223,5468.686171,4,64784,3
128,65058,2021-10-25,20:42:51.200000,223,6173.320885,4,65058,3
129,65327,2021-10-25,20:42:51.500000,223,9091.900472,4,65327,3
130,65600,2021-10-25,20:42:51.800000,223,9460.994846,4,65600,3
131,65867,2021-10-25,20:42:52,222,11239.358648,4,65867,3
132,66136,2021-10-25,20:42:52.300000,222,11675.56109,4,66136,3
133,66410,2021-10-25,20:42:52.600000,222,12984.168416,4,66410,3
134,66684,2021-10-25,20:42:52.800000,222,12480.857906,4,66684,3
135,66967,2021-10-25,20:42:53.100000,221,12313.087736,4,66967,3
136,67241,2021-10-25,20:42:53.400000,222,12078.209498,4,67241,3
137,67524,2021-10-25,20:42:53.700000,221,12816.398246,4,67524,3
138,67794,2021-10-25,20:42:54,221,16842.260955,4,67794,3
139,68072,2021-10-25,20:42:54.200000,220,17546.895669,4,68072,3
140,68337,2021-10-25,20:42:54.500000,220,19224.597369,4,68337,3
141,68612,2021-10-25,20:42:54.800000,220,20029.894185,4,68612,3
142,68887,2021-10-25,20:42:55,219,20499.650661,4,68887,3
143,69165,2021-10-25,20:42:55.300000,219,22043.136225000002,4,69165,3
144,69445,2021-10-25,20:42:55.600000,219,22714.216905,4,69445,3
145,69718,2021-10-25,20:42:55.900000,218,25733.458594,4,69718,3
146,69997,2021-10-25,20:42:56.200000,218,27511.822396,4,69997,3
147,70265,2021-10-25,20:42:56.400000,218,28350.673246000002,4,70265,3
148,70539,2021-10-25,20:42:56.700000,218,24559.067404,4,70539,3
149,70808,2021-10-25,20:42:57,218,28250.011144,4,70808,3
150,71076,2021-10-25,20:42:57.200000,218,28384.22728,4,71076,3
151,71352,2021-10-25,20:42:57.500000,218,28115.795008,4,71352,3
152,71623,2021-10-25,20:42:57.800000,218,29323.740232,4,71623,3
153,71909,2021-10-25,20:42:58.100000,218,31168.590731,4,71909,3
154,72177,2021-10-25,20:42:58.300000,218,31839.671411,4,72177,3
155,72455,2021-10-25,20:42:58.600000,218,31369.914935,4,72455,3
156,72725,2021-10-25,20:42:58.900000,219,32946.954533000004,4,72725,3
157,72997,2021-10-25,20:42:59.200000,218,32879.846465,4,72997,3
158,73267,2021-10-25,20:42:59.400000,218,33181.832771,4,73267,3
159,73541,2021-10-25,20:42:59.700000,219,33752.251349,4,73541,3
160,73828,2021-10-25,20:43:00,219,34356.223961,4,73828,3
161,74094,2021-10-25,20:43:00.300000,219,33752.251349,4,74094,3
162,74368,2021-10-25,20:43:00.500000,220,32242.319819,4,74368,3
163,74643,2021-10-25,20:43:00.800000,220,30196.145116,4,74643,3
164,74931,2021-10-25,20:43:01.100000,221,31739.009309,4,74931,3
165,75205,2021-10-25,20:43:01.400000,221,32779.184363,4,75205,3
166,75486,2021-10-25,20:43:01.600000,221,32376.535955,4,75486,3
167,75756,2021-10-25,20:43:01.900000,221,32443.644023,4,75756,3
168,76027,2021-10-25,20:43:02.200000,221,32510.752091000002,4,76027,3
169,76307,2021-10-25,20:43:02.500000,220,31235.698799,4,76307,3
170,76582,2021-10-25,20:43:02.700000,219,30028.374946,4,76582,3
171,76858,2021-10-25,20:43:03,218,29155.970062,4,76858,3
172,77127,2021-10-25,20:43:02.300000,218,28518.443416000002,5,77127,3
173,77404,2021-10-25,20:43:02.600000,218,25666.350526000002,5,77404,3
174,77670,2021-10-25,20:43:02.800000,218,23787.324622,5,77670,3
