,index,acc1,acc2,acc3,acc4,duration,trip_id,utcdate
0,50804,0;1;1,0;0;-2,0;0;-2,-1;2;0,50804,31,2021-11-28
1,55451,,,,,55451,31,2021-11-28
2,55454,1;-1;3,0;0;0,0;0;2,2;0;1,55454,31,2021-11-28
3,55714,,,,,55714,31,2021-11-28
4,55716,-1;0;0,0;0;-1,0;0;0,1;1;-1,55716,31,2021-11-28
5,55986,,,,,55986,31,2021-11-28
6,55988,0;0;1,0;0;0,0;-2;2,1;0;4,55988,31,2021-11-28
7,56253,,,,,56253,31,2021-11-28
8,56255,1;0;-1,1;2;0,0;1;0,-1;2;0,56255,31,2021-11-28
9,56515,,,,,56515,31,2021-11-28
10,56518,-1;-1;0,0;0;1,1;-1;1,1;-1;1,56518,31,2021-11-28
11,56791,,,,,56791,31,2021-11-28
12,56793,0;0;1,1;1;-1,-1;0;0,0;0;0,56793,31,2021-11-28
13,57065,,,,,57065,31,2021-11-28
14,57068,1;-1;0,0;0;0,-1;-1;-2,-1;0;0,57068,31,2021-11-28
15,57328,,,,,57328,31,2021-11-28
16,57336,1;1;0,-1;0;0,1;-2;0,0;0;0,57336,31,2021-11-28
17,57601,,,,,57601,31,2021-11-28
18,57603,1;0;0,-1;0;1,0;1;0,0;0;0,57603,31,2021-11-28
19,57869,,,,,57869,31,2021-11-28
20,57871,0;-1;0,0;2;2,0;0;1,1;-1;1,57871,31,2021-11-28
21,58135,,,,,58135,31,2021-11-28
22,58138,0;0;0,0;0;1,0;0;-1,1;0;1,58138,31,2021-11-28
23,58404,,,,,58404,31,2021-11-28
24,58406,0;1;0,0;2;1,0;0;0,-1;0;0,58406,31,2021-11-28
25,58669,,,,,58669,31,2021-11-28
26,58677,0;0;0,0;0;1,0;-1;0,0;0;0,58677,31,2021-11-28
27,58942,,,,,58942,31,2021-11-28
28,58945,1;0;-1,0;-1;0,-1;0;-1,0;-1;0,58945,31,2021-11-28
29,59205,,,,,59205,31,2021-11-28
30,59207,0;0;0,0;0;1,1;-1;0,0;1;1,59207,31,2021-11-28
31,59472,,,,,59472,31,2021-11-28
32,59475,0;0;-1,0;0;-2,1;0;-1,0;1;0,59475,31,2021-11-28
33,59741,,,,,59741,31,2021-11-28
34,59743,0;1;0,0;0;-3,0;1;0,1;1;0,59743,31,2021-11-28
35,60007,,,,,60007,31,2021-11-28
