,index,acc1,acc2,acc3,acc4,duration
0,49828,0;0;0,0;0;1,0;0;0,0;0;0,49828
1,50622,,,,,50622
2,50625,1;0;2,0;0;2,1;0;-1,0;0;-2,50625
3,50886,,,,,50886
4,50888,0;0;2,0;0;-2,0;0;0,0;0;0,50888
5,51154,,,,,51154
6,51156,1;0;1,0;0;2,0;-2;0,0;-1;0,51156
7,51418,,,,,51418
8,51420,0;0;0,0;-1;0,-1;0;0,0;0;0,51420
9,51680,,,,,51680
10,51683,0;-1;0,0;-1;-2,0;0;-2,0;0;0,51683
11,51949,,,,,51949
12,51951,0;0;0,1;0;0,0;0;0,0;0;0,51951
13,52211,,,,,52211
14,52213,0;0;-2,0;0;-1,0;1;-1,0;0;-1,52213
15,52474,,,,,52474
16,52481,0;0;-1,0;0;0,0;0;0,2;0;0,52481
17,52746,,,,,52746
18,52749,0;-1;0,0;0;-1,-1;0;-1,0;0;1,52749
19,53012,,,,,53012
20,53014,0;0;0,0;0;-2,0;0;0,1;0;0,53014
21,53282,,,,,53282
22,53284,0;1;-3,0;0;0,0;0;0,0;0;-2,53284
23,53551,,,,,53551
24,53553,0;0;-1,0;0;0,0;0;-2,0;0;-2,53553
25,53813,,,,,53813
26,53820,1;0;0,0;0;0,-1;0;-1,2;0;-1,53820
27,54086,,,,,54086
28,54088,1;0;-2,0;-1;0,0;1;0,1;0;2,54088
29,54351,,,,,54351
30,54353,1;0;-1,0;0;-1,0;0;0,0;0;-2,54353
31,54620,,,,,54620
32,54622,1;1;1,0;1;-1,2;0;0,0;-1;0,54622
33,54889,,,,,54889
34,54891,0;1;1,1;-1;2,0;0;-2,0;0;0,54891
35,55152,,,,,55152
36,55154,0;0;2,-1;0;0,0;0;1,0;-1;0,55154
37,55415,,,,,55415
38,55417,1;0;0,0;0;0,0;0;0,1;0;0,55417
39,55677,,,,,55677
40,55680,0;0;0,0;0;0,0;0;-1,0;0;0,55680
41,55941,,,,,55941
42,55949,0;0;0,0;0;2,0;0;0,0;1;1,55949
43,56215,,,,,56215
44,56217,2;-1;1,0;0;0,0;0;0,1;1;0,56217
45,56478,,,,,56478
46,56480,0;0;-1,0;-1;0,0;0;0,0;0;0,56480
47,56745,,,,,56745
48,56748,1;0;0,0;0;-2,0;0;-3,0;0;-1,56748
49,57016,,,,,57016
50,57018,0;-1;0,0;0;0,0;0;0,0;-1;0,57018
51,57279,,,,,57279
52,57281,0;0;0,1;0;0,0;-1;0,1;0;-1,57281
53,57548,,,,,57548
54,57550,1;0;-1,-1;0;0,0;1;0,0;0;-2,57550
55,57811,,,,,57811
56,57814,1;0;-2,0;0;-1,0;0;2,-1;0;-2,57814
57,58080,,,,,58080
58,58087,0;0;0,0;0;0,0;0;0,0;0;0,58087
59,58356,,,,,58356
60,58358,0;0;1,1;0;1,0;0;0,0;0;0,58358
61,58618,,,,,58618
62,58620,1;0;3,1;0;0,0;0;-2,0;1;0,58620
63,58888,,,,,58888
64,58890,1;0;3,2;0;1,0;0;0,-1;0;-1,58890
65,59150,,,,,59150
66,59152,1;-1;1,0;0;0,0;0;-1,1;0;0,59152
67,59412,,,,,59412
68,59419,0;0;3,0;0;-1,2;0;-2,0;0;-1,59419
69,59681,,,,,59681
70,59683,1;0;3,0;1;1,0;0;2,0;0;-1,59683
71,59957,,,,,59957
72,59959,-1;0;0,0;0;0,0;0;1,0;0;0,59959
73,60226,,,,,60226
74,60228,-1;0;0,0;1;-1,0;0;1,0;0;1,60228
75,60495,,,,,60495
76,60497,0;1;-1,-2;1;-1,0;0;2,0;-1;1,60497
77,60758,,,,,60758
78,60761,0;0;0,-1;0;-2,1;0;0,0;0;0,60761
79,61034,,,,,61034
80,61036,0;1;-1,0;0;1,1;0;2,-1;0;0,61036
81,61302,,,,,61302
82,61304,0;0;0,0;0;0,-1;0;0,0;0;-3,61304
83,61566,,,,,61566
84,61575,1;-1;0,0;0;0,0;0;1,-1;0;0,61575
85,61843,,,,,61843
86,61845,0;0;1,0;0;2,0;0;0,1;0;0,61845
87,62117,,,,,62117
88,62120,-1;-1;-2,0;0;0,0;0;-1,1;1;1,62120
89,62387,,,,,62387
90,62390,0;1;0,0;0;-2,0;0;1,0;-1;1,62390
91,62659,,,,,62659
92,62661,1;0;1,-2;0;-4,1;0;0,0;0;2,62661
93,62923,,,,,62923
94,62932,0;-1;0,1;1;1,0;0;0,0;0;-3,62932
95,63200,,,,,63200
96,63203,0;0;0,0;0;1,0;0;-1,0;0;-1,63203
97,63474,,,,,63474
98,63482,0;0;1,0;0;0,0;0;2,0;-1;0,63482
99,63750,,,,,63750
100,63753,0;0;-1,0;1;2,0;0;1,0;0;-1,63753
101,64013,,,,,64013
102,64015,1;1;0,1;0;1,0;0;0,0;0;0,64015
103,64282,,,,,64282
