,index,rpm,speed,throt_pos,engine_load,bat_volt,duration
0,31605,2095.0,22.990727,30,46,14.5,31605
1,36230,1778.0,23.612098,30,56,14.44,36230
2,36505,1526.0,23.612098,30,56,14.48,36505
3,36780,1530.0,23.612098,30,55,14.44,36780
4,37049,1511.0,23.612098,30,55,14.42,37049
5,37326,1506.0,23.612098,30,54,14.39,37326
6,37593,1502.0,23.612098,30,55,14.38,37593
7,37872,1505.0,24.233469,30,56,14.38,37872
8,38145,1509.0,23.612098,30,55,14.45,38145
9,38433,1508.0,24.233469,30,55,14.41,38433
10,38707,1508.0,24.233469,30,55,14.39,38707
11,38982,1513.0,24.233469,30,55,14.38,38982
12,39265,1513.0,24.233469,30,55,14.39,39265
13,39532,1524.0,24.85484,30,51,14.4,39532
14,39816,1528.0,24.85484,30,52,14.37,39816
15,40085,1530.0,24.85484,30,52,14.41,40085
16,40377,1542.0,24.85484,30,51,14.38,40377
17,40645,1552.0,24.85484,30,52,14.25,40645
18,40928,1558.0,24.85484,30,55,14.36,40928
19,41197,1572.0,25.476211,30,54,14.34,41197
20,41470,1569.0,25.476211,30,54,14.31,41470
21,41737,1584.0,25.476211,30,54,14.35,41737
22,42009,1589.0,25.476211,30,53,14.32,42009
23,42291,1600.0,25.476211,30,53,14.33,42291
24,42561,1613.0,26.097582,30,53,14.33,42561
25,42835,1619.0,26.097582,30,52,14.34,42835
26,43111,1628.0,26.097582,30,51,14.4,43111
27,43383,1632.0,26.097582,30,51,14.42,43383
28,43649,1644.0,26.097582,31,54,14.33,43649
29,43930,1651.0,26.097582,22,29,14.41,43930
30,44199,1651.0,26.718953,53,100,14.38,44199
31,44469,2475.0,26.718953,68,100,14.34,44469
32,44744,3608.0,27.340324,83,100,14.32,44744
33,45012,3806.0,27.961695,83,100,14.4,45012
34,45289,4006.0,29.825808000000002,83,100,14.32,45289
35,45564,4217.0,31.068550000000002,44,72,14.36,45564
36,45838,4209.0,32.311292,35,38,14.42,45838
37,46107,4179.0,32.311292,31,19,14.34,46107
38,46390,3785.0,32.932663,27,16,14.33,46390
39,46664,3210.0,32.932663,22,13,14.44,46664
40,46939,2607.0,32.311292,20,12,14.31,46939
41,47215,2506.0,32.932663,27,25,14.34,47215
42,47485,2619.0,32.311292,29,26,14.39,47485
43,47762,2730.0,32.932663,30,33,14.37,47762
44,48028,2686.0,32.311292,31,32,14.31,48028
45,48303,2707.0,31.689921000000002,31,34,14.29,48303
46,48572,2529.0,31.689921000000002,33,58,14.29,48572
47,48846,2163.0,32.311292,33,57,14.34,48846
48,49117,2196.0,32.311292,33,55,14.33,49117
49,49385,2199.0,32.311292,33,57,14.29,49385
50,49654,2052.0,32.311292,34,81,14.36,49654
51,49931,1772.0,32.311292,34,63,14.29,49931
52,50205,1715.0,32.932663,34,72,14.31,50205
53,50481,1611.0,32.932663,36,79,14.29,50481
54,50749,1509.0,32.932663,45,97,14.33,50749
55,51018,1561.0,32.932663,49,100,14.25,51018
56,51300,1638.0,33.554034,50,100,14.25,51300
57,51569,1779.0,33.554034,54,100,14.25,51569
58,51850,2323.0,33.554034,39,98,14.31,51850
59,52119,2241.0,34.175405,40,98,14.28,52119
60,52401,2235.0,34.175405,40,98,14.25,52401
61,52670,2193.0,34.175405,40,99,14.25,52670
62,52945,2179.0,34.796776,41,100,14.25,52945
63,53220,2165.0,34.796776,41,100,14.27,53220
64,53490,2174.0,35.418147,41,99,14.27,53490
65,53764,2179.0,35.418147,41,100,14.32,53764
66,54027,2192.0,35.418147,41,100,14.32,54027
67,54302,2205.0,35.418147,41,98,14.25,54302
68,54573,2216.0,36.039518,41,99,14.28,54573
69,54847,2209.0,36.039518,41,98,14.25,54847
70,55126,2208.0,36.039518,41,97,14.23,55126
71,55392,2203.0,36.039518,40,96,14.27,55392
72,55677,2201.0,35.418147,40,95,14.25,55677
73,55949,2219.0,35.418147,40,94,14.28,55949
74,56229,2204.0,35.418147,40,93,14.29,56229
75,56499,2213.0,35.418147,39,94,14.31,56499
76,56775,2201.0,35.418147,39,92,14.25,56775
77,57044,2199.0,35.418147,39,93,14.25,57044
78,57315,2206.0,35.418147,39,93,14.36,57315
79,57588,2197.0,35.418147,39,92,14.31,57588
80,57857,2207.0,35.418147,39,92,14.21,57857
81,58131,2205.0,35.418147,39,93,14.21,58131
82,58396,2196.0,35.418147,39,93,14.19,58396
83,58669,2220.0,36.039518,39,92,14.21,58669
84,58939,2207.0,35.418147,39,93,14.25,58939
85,59233,2191.0,35.418147,39,93,14.25,59233
86,59508,2208.0,35.418147,39,93,14.25,59508
87,59786,2212.0,35.418147,39,93,14.17,59786
88,60054,2207.0,35.418147,39,92,14.28,60054
89,60328,2207.0,35.418147,39,93,14.23,60328
90,60609,2215.0,35.418147,39,93,14.28,60609
91,60887,2219.0,36.039518,39,92,14.2,60887
92,61159,2215.0,35.418147,39,92,14.25,61159
93,61429,2231.0,36.039518,39,92,14.17,61429
94,61704,2234.0,36.039518,39,92,14.25,61704
95,61987,2227.0,36.039518,39,92,14.24,61987
96,62255,2243.0,36.039518,36,69,14.31,62255
97,62530,2208.0,36.039518,37,76,14.29,62530
98,62806,2200.0,36.039518,35,64,14.29,62806
99,63085,2201.0,35.418147,35,64,14.29,63085
100,63349,2195.0,35.418147,35,65,14.32,63349
101,63624,2199.0,35.418147,35,66,14.25,63624
102,63888,2201.0,35.418147,35,65,14.29,63888
