,index,acc1,acc2,acc3,acc4,duration,utcdate
0,31605,-1;-22;0,15;-20;3,11;-22;6,20;-15;17,31605,2021-11-17
1,36227,,,,,36227,2021-11-17
2,36230,8;-28;-10,23;-35;13,3;-35;11,3;-32;19,36230,2021-11-17
3,36502,,,,,36502,2021-11-17
4,36505,4;-22;-4,1;-34;9,6;-34;3,12;-23;0,36505,2021-11-17
5,36777,,,,,36777,2021-11-17
6,36780,9;-30;9,8;-31;1,14;-33;9,12;-29;4,36780,2021-11-17
7,37046,,,,,37046,2021-11-17
8,37049,2;-27;6,12;-28;4,10;-27;0,8;-39;7,37049,2021-11-17
9,37324,,,,,37324,2021-11-17
10,37326,4;-25;2,5;-27;8,9;-33;4,8;-30;9,37326,2021-11-17
11,37590,,,,,37590,2021-11-17
12,37593,15;-33;5,10;-29;0,6;-27;7,7;-35;12,37593,2021-11-17
13,37865,,,,,37865,2021-11-17
14,37872,19;-22;6,8;-26;1,2;-39;7,13;-25;11,37872,2021-11-17
15,38142,,,,,38142,2021-11-17
16,38145,9;-35;14,18;-37;-5,10;-34;14,5;-28;-2,38145,2021-11-17
17,38425,,,,,38425,2021-11-17
18,38433,4;-40;8,8;-29;10,11;-42;-5,16;-29;3,38433,2021-11-17
19,38704,,,,,38704,2021-11-17
20,38707,5;-30;7,12;-24;5,10;-36;3,13;-31;-3,38707,2021-11-17
21,38979,,,,,38979,2021-11-17
22,38982,7;-30;0,4;-36;3,13;-29;20,2;-17;10,38982,2021-11-17
23,39262,,,,,39262,2021-11-17
24,39265,17;-39;-1,10;-33;11,8;-30;8,6;-30;-7,39265,2021-11-17
25,39529,,,,,39529,2021-11-17
26,39532,15;-19;-7,12;-21;5,4;-29;-4,16;-11;17,39532,2021-11-17
27,39813,,,,,39813,2021-11-17
28,39816,11;-36;4,19;-31;0,5;-41;-6,8;-32;7,39816,2021-11-17
29,40082,,,,,40082,2021-11-17
30,40085,8;-26;5,17;-20;1,8;-20;-5,16;-21;15,40085,2021-11-17
31,40374,,,,,40374,2021-11-17
32,40377,5;-17;0,10;-19;-8,0;-22;13,11;-21;-1,40377,2021-11-17
33,40643,,,,,40643,2021-11-17
34,40645,9;-11;-15,12;-22;-17,13;-26;-10,11;-24;14,40645,2021-11-17
