,acc1,acc2,acc3,acc4,duration
44743,15;15;0,-1;-28;1,1;-10;8,-2;0;10,44743
49395,,,,,49395
49397,-7;0;0,4;-12;-6,-2;-10;4,7;-3;3,49397
49666,,,,,49666
49669,0;-8;11,4;-10;-6,6;-15;3,10;-15;-3,49669
49940,,,,,49940
49942,0;-2;8,11;-15;-8,6;-12;6,9;0;-7,49942
50207,,,,,50207
50209,2;0;5,10;-4;-3,12;0;-2,6;0;-6,50209
50470,,,,,50470
50478,5;-11;-10,4;-8;0,8;-16;2,9;1;0,50478
50745,,,,,50745
50747,15;-3;1,13;7;5,11;0;7,9;-8;-7,50747
51008,,,,,51008
51010,11;-7;5,9;-3;2,17;4;0,19;-8;-5,51010
51275,,,,,51275
51277,16;-20;7,16;-23;-5,24;-5;4,3;1;13,51277
51546,,,,,51546
51548,14;3;17,22;3;3,4;-13;2,7;2;7,51548
51809,,,,,51809
51834,19;16;14,3;-2;14,4;-1;7,11;-3;1,51834
52096,,,,,52096
52099,11;-1;3,4;0;4,2;-4;5,12;11;5,52099
52359,,,,,52359
52361,6;0;1,9;2;14,18;-11;0,12;-2;16,52361
52627,,,,,52627
52629,7;-2;11,4;6;16,9;0;13,6;-11;9,52629
52891,,,,,52891
52893,17;0;7,6;-2;2,20;0;-4,15;-5;0,52893
53159,,,,,53159
53163,17;-8;-2,14;2;6,20;0;0,17;-3;0,53163
53429,,,,,53429
53431,9;0;6,14;-10;2,14;0;2,13;-8;5,53431
53692,,,,,53692
53694,13;0;4,22;-3;3,19;5;5,17;-3;-2,53694
53961,,,,,53961
53963,6;-7;0,17;6;2,17;-2;7,16;-5;6,53963
54228,,,,,54228
54232,15;4;4,17;2;1,18;3;4,17;4;0,54232
54495,,,,,54495
54497,23;0;0,13;-2;4,22;-5;2,20;0;2,54497
54775,,,,,54775
54777,17;0;0,21;4;-1,17;6;9,14;5;8,54777
55036,,,,,55036
55040,18;-2;8,18;5;6,18;2;0,17;-1;2,55040
55304,,,,,55304
55306,17;-1;7,20;-4;6,18;-3;13,15;-8;12,55306
55575,,,,,55575
55577,23;3;0,14;-8;1,12;2;2,16;-5;3,55577
55847,,,,,55847
55851,16;-2;-1,15;-7;8,16;-4;8,12;-5;5,55851
56125,,,,,56125
56127,20;0;-1,16;2;3,15;-6;0,16;-1;-2,56127
56388,,,,,56388
56390,15;-2;1,13;-2;3,10;1;1,6;0;5,56390
56651,,,,,56651
56657,12;-3;0,14;2;2,11;-2;0,7;1;3,56657
56926,,,,,56926
56928,10;4;2,7;2;10,13;6;0,10;-4;-1,56928
57189,,,,,57189
57191,12;3;0,9;0;6,9;0;1,11;0;-4,57191
57464,,,,,57464
57467,7;6;6,11;3;3,10;0;-2,7;1;3,57467
57726,,,,,57726
57729,9;-9;-1,11;0;4,9;6;-1,7;1;-3,57729
57990,,,,,57990
57997,12;2;-2,11;-1;0,8;2;1,8;4;3,57997
58266,,,,,58266
58268,2;6;4,4;2;-1,7;0;0,21;7;2,58268
58535,,,,,58535
58537,12;-4;-1,11;2;0,12;-7;9,7;3;2,58537
58805,,,,,58805
58807,14;-12;-7,8;-10;-6,8;0;0,5;-2;1,58807
59066,,,,,59066
