,index,utcdate,utctime,alt,speed_mph,n_sats,duration,trip_id
0,19475,2021-11-17,22:40:50.800000,0,0.0,0,19475,21
1,19738,2021-11-17,22:40:51.100000,0,0.0,0,19738,21
2,20008,2021-11-17,22:40:51.400000,0,0.0,0,20008,21
3,20276,2021-11-17,22:40:51.600000,0,0.0,0,20276,21
4,20539,2021-11-17,22:40:51.900000,0,0.0,0,20539,21
5,20814,2021-11-17,22:40:52.200000,0,0.0,0,20814,21
6,21076,2021-11-17,22:40:52.400000,0,0.0,0,21076,21
7,21340,2021-11-17,22:40:52.700000,0,0.0,0,21340,21
8,21615,2021-11-17,22:40:53,0,0.0,0,21615,21
9,21878,2021-11-17,22:40:53.200000,0,0.0,0,21878,21
10,22153,2021-11-17,22:40:53.500000,0,0.0,0,22153,21
11,22416,2021-11-17,22:40:53.800000,0,0.0,0,22416,21
12,22679,2021-11-17,22:40:54,0,0.0,0,22679,21
13,22953,2021-11-17,22:40:54.300000,0,0.0,0,22953,21
14,23217,2021-11-17,22:40:54.600000,0,0.0,0,23217,21
15,23485,2021-11-17,22:40:54.900000,0,0.0,0,23485,21
16,23755,2021-11-17,22:40:55.100000,0,0.0,0,23755,21
17,24016,2021-11-17,22:40:55.400000,0,0.0,0,24016,21
18,24293,2021-11-17,22:40:55.700000,0,0.0,0,24293,21
19,24556,2021-11-17,22:40:55.900000,0,0.0,0,24556,21
20,24818,2021-11-17,22:40:56.200000,0,0.0,0,24818,21
21,25094,2021-11-17,22:40:56.500000,0,0.0,0,25094,21
22,25356,2021-11-17,22:40:56.700000,0,0.0,0,25356,21
23,25627,2021-11-17,22:40:57,0,0.0,0,25627,21
24,25894,2021-11-17,22:40:57.300000,0,0.0,0,25894,21
25,26157,2021-11-17,22:40:57.500000,0,0.0,0,26157,21
26,26427,2021-11-17,22:40:57.800000,0,0.0,0,26427,21
27,26695,2021-11-17,22:40:58.100000,0,0.0,0,26695,21
28,26962,2021-11-17,22:40:58.300000,0,0.0,0,26962,21
29,27234,2021-11-17,22:40:58.600000,0,0.0,0,27234,21
30,27496,2021-11-17,22:40:58.900000,0,0.0,0,27496,21
31,27764,2021-11-17,22:40:59.100000,0,0.0,0,27764,21
32,28029,2021-11-17,22:40:59.400000,0,0.0,0,28029,21
33,28297,2021-11-17,22:40:59.700000,0,0.0,0,28297,21
34,28605,2021-11-17,22:41:00,0,0.0,0,28605,21
35,28872,2021-11-17,22:41:00.200000,0,0.0,0,28872,21
36,29144,2021-11-17,22:41:00.500000,0,0.0,0,29144,21
37,29411,2021-11-17,22:41:00.800000,0,0.0,0,29411,21
38,29679,2021-11-17,22:41:01,0,0.0,0,29679,21
39,29957,2021-11-17,22:41:01.300000,270,435.581071,5,29957,21
40,30225,2021-11-17,22:41:01.600000,271,267.810901,5,30225,21
41,30494,2021-11-17,22:41:01.800000,271,100.04073100000001,5,30494,21
42,30765,2021-11-17,22:41:02.100000,271,32.932663,5,30765,21
43,31038,2021-11-17,22:41:02.400000,271,66.486697,5,31038,21
44,31314,2021-11-17,22:41:02.700000,271,200.702833,5,31314,21
45,31590,2021-11-17,22:41:02.900000,271,167.148799,5,31590,21
46,31864,2021-11-17,22:41:03.200000,271,66.486697,5,31864,21
47,32128,2021-11-17,22:41:03.500000,271,32.932663,5,32128,21
48,32409,2021-11-17,22:41:03.800000,271,66.486697,5,32409,21
49,32691,2021-11-17,22:41:04,271,100.04073100000001,5,32691,21
50,32960,2021-11-17,22:41:04.300000,271,133.594765,5,32960,21
51,33240,2021-11-17,22:41:04.600000,272,267.810901,5,33240,21
52,33505,2021-11-17,22:41:04.900000,272,133.594765,5,33505,21
53,33779,2021-11-17,22:41:05.100000,272,32.932663,5,33779,21
54,34055,2021-11-17,22:41:05.400000,272,100.04073100000001,5,34055,21
55,34317,2021-11-17,22:41:05.700000,272,167.148799,5,34317,21
56,34592,2021-11-17,22:41:05.900000,272,167.148799,5,34592,21
57,34855,2021-11-17,22:41:06.200000,272,133.594765,5,34855,21
58,35130,2021-11-17,22:41:06.500000,272,167.148799,5,35130,21
59,35393,2021-11-17,22:41:06.700000,272,66.486697,5,35393,21
60,35665,2021-11-17,22:41:07,272,32.932663,5,35665,21
61,35932,2021-11-17,22:41:07.300000,272,100.04073100000001,5,35932,21
62,36194,2021-11-17,22:41:07.500000,272,200.702833,5,36194,21
63,36469,2021-11-17,22:41:07.800000,272,167.148799,5,36469,21
64,36741,2021-11-17,22:41:08.100000,273,368.473003,5,36741,21
65,37015,2021-11-17,22:41:08.400000,273,66.486697,5,37015,21
66,37291,2021-11-17,22:41:08.600000,273,200.702833,5,37291,21
67,37563,2021-11-17,22:41:08.900000,273,234.256867,5,37563,21
68,37826,2021-11-17,22:41:09.200000,273,167.148799,5,37826,21
69,38095,2021-11-17,22:41:09.400000,273,200.702833,5,38095,21
70,38371,2021-11-17,22:41:09.700000,273,200.702833,5,38371,21
71,38636,2021-11-17,22:41:10,273,133.594765,5,38636,21
72,38909,2021-11-17,22:41:10.300000,273,234.256867,5,38909,21
73,39188,2021-11-17,22:41:10.500000,273,402.027037,5,39188,21
74,39459,2021-11-17,22:41:10.800000,273,133.594765,5,39459,21
75,39735,2021-11-17,22:41:10.100000,273,301.364935,9,39735,21
76,39997,2021-11-17,22:41:10.300000,273,469.135105,9,39997,21
77,40273,2021-11-17,22:41:10.600000,273,267.810901,9,40273,21
78,40536,2021-11-17,22:41:10.900000,273,167.148799,9,40536,21
79,40804,2021-11-17,22:41:11.200000,273,133.594765,9,40804,21
80,41074,2021-11-17,22:41:11.400000,273,133.594765,9,41074,21
81,41346,2021-11-17,22:41:11.700000,273,334.918969,9,41346,21
82,41618,2021-11-17,22:41:12,273,167.148799,9,41618,21
83,41894,2021-11-17,22:41:12.200000,273,32.932663,9,41894,21
84,42169,2021-11-17,22:41:12.500000,273,100.04073100000001,9,42169,21
85,42438,2021-11-17,22:41:12.800000,273,301.364935,9,42438,21
86,42711,2021-11-17,22:41:13.100000,273,100.04073100000001,9,42711,21
87,42982,2021-11-17,22:41:13.300000,273,133.594765,9,42982,21
88,43251,2021-11-17,22:41:13.600000,273,267.810901,9,43251,21
89,43526,2021-11-17,22:41:13.900000,273,334.918969,9,43526,21
90,43789,2021-11-17,22:41:14.100000,273,32.932663,9,43789,21
91,44070,2021-11-17,22:41:14.400000,273,32.932663,9,44070,21
92,44340,2021-11-17,22:41:14.700000,273,133.594765,9,44340,21
93,44615,2021-11-17,22:41:15,273,133.594765,9,44615,21
94,44890,2021-11-17,22:41:15.200000,273,200.702833,9,44890,21
95,45153,2021-11-17,22:41:15.500000,273,66.486697,9,45153,21
96,45424,2021-11-17,22:41:15.800000,273,66.486697,9,45424,21
97,45690,2021-11-17,22:41:16,273,167.148799,9,45690,21
98,45960,2021-11-17,22:41:16.300000,273,301.364935,9,45960,21
99,46229,2021-11-17,22:41:16.600000,273,100.04073100000001,9,46229,21
100,46499,2021-11-17,22:41:16.800000,273,133.594765,9,46499,21
101,46767,2021-11-17,22:41:17.100000,273,100.04073100000001,9,46767,21
102,47030,2021-11-17,22:41:17.400000,273,133.594765,9,47030,21
103,47305,2021-11-17,22:41:17.700000,273,100.04073100000001,9,47305,21
104,47567,2021-11-17,22:41:17.900000,273,368.473003,9,47567,21
105,47842,2021-11-17,22:41:18.200000,274,200.702833,10,47842,21
106,48106,2021-11-17,22:41:18.500000,274,32.932663,10,48106,21
107,48369,2021-11-17,22:41:18.700000,274,32.932663,10,48369,21
108,48665,2021-11-17,22:41:19,274,234.256867,10,48665,21
109,48931,2021-11-17,22:41:19.300000,274,66.486697,10,48931,21
110,49207,2021-11-17,22:41:19.600000,274,66.486697,10,49207,21
111,49487,2021-11-17,22:41:19.800000,274,133.594765,10,49487,21
