,index,acc1,acc2,acc3,acc4,duration
0,31644,-8;-8;0,8;12;9,16;-5;4,6;-17;11,31644
1,36268,,,,,36268
2,36271,11;-12;8,30;-7;12,21;-25;25,-9;3;-13,36271
3,36542,,,,,36542
4,36545,47;50;44,12;-4;21,-7;-11;-10,19;6;2,36545
5,36817,,,,,36817
6,36819,21;-10;7,24;16;-9,6;29;3,12;-17;18,36819
7,37090,,,,,37090
8,37093,19;-8;9,22;-22;5,24;4;4,5;-9;1,37093
9,37362,,,,,37362
10,37364,1;-9;-3,1;-5;-4,11;9;-9,5;-3;0,37364
11,37632,,,,,37632
12,37634,7;-12;0,-5;3;-17,12;0;-4,24;-4;0,37634
13,37906,,,,,37906
14,37913,16;0;8,5;-36;26,3;-10;0,9;4;0,37913
15,38195,,,,,38195
16,38198,16;-5;19,1;-24;9,8;-16;8,18;-17;0,38198
17,38469,,,,,38469
18,38477,10;7;-2,7;-9;-2,-11;-23;4,-9;-23;-11,38477
19,38745,,,,,38745
20,38748,2;0;-17,15;-16;-28,-9;-24;-11,0;9;3,38748
21,39016,,,,,39016
22,39019,-5;-30;-23,0;-37;11,3;-7;8,17;-21;-13,39019
23,39290,,,,,39290
24,39292,31;9;-10,-3;-19;21,0;-13;-4,11;1;7,39292
25,39558,,,,,39558
26,39561,13;-11;10,7;-11;13,3;-18;5,8;-7;13,39561
27,39833,,,,,39833
28,39836,6;-12;3,12;-13;-1,12;-5;-13,3;-13;-3,39836
29,40108,,,,,40108
30,40111,0;-7;2,11;0;-2,13;-9;4,12;4;6,40111
31,40377,,,,,40377
32,40384,8;0;8,9;-2;11,10;-2;12,8;-8;-24,40384
33,40646,,,,,40646
34,40648,4;-7;9,3;-11;8,11;-15;5,0;-17;9,40648
35,40909,,,,,40909
36,40918,2;-22;2,4;-24;-4,10;-20;-5,6;-11;5,40918
37,41186,,,,,41186
38,41189,-2;-9;-5,9;-18;-14,11;-19;-19,5;-23;-10,41189
39,41457,,,,,41457
40,41459,-1;-29;-7,4;-10;7,4;-4;11,5;-12;20,41459
41,41729,,,,,41729
42,41732,-3;-1;23,0;-17;17,0;-6;17,6;-6;10,41732
43,41998,,,,,41998
44,42001,2;-6;9,6;-14;6,7;-13;5,8;-15;3,42001
45,42275,,,,,42275
46,42277,4;-18;3,3;-14;0,7;0;0,14;-14;1,42277
47,42548,,,,,42548
48,42551,9;-12;-2,7;-15;0,6;1;2,5;-4;-6,42551
49,42825,,,,,42825
50,42832,15;-14;-17,7;-6;-1,10;11;-11,5;7;-13,42832
51,43099,,,,,43099
52,43102,5;-8;5,23;1;-3,8;3;1,9;0;5,43102
53,43369,,,,,43369
54,43377,7;1;-1,11;8;1,4;0;0,10;6;0,43377
55,43644,,,,,43644
56,43648,7;4;1,11;0;0,6;2;8,16;14;6,43648
57,43912,,,,,43912
58,43915,14;0;7,13;8;2,17;6;5,7;3;1,43915
59,44196,,,,,44196
60,44199,15;9;-2,13;3;1,8;-3;3,7;8;12,44199
61,44475,,,,,44475
62,44478,11;0;15,11;13;13,16;9;11,12;4;3,44478
63,44755,,,,,44755
64,44759,17;6;1,10;4;2,18;8;6,23;6;3,44759
65,45026,,,,,45026
66,45029,18;3;3,24;8;4,19;8;0,20;7;3,45029
67,45298,,,,,45298
68,45305,16;10;6,20;3;7,3;4;4,16;4;13,45305
69,45571,,,,,45571
70,45574,26;10;0,22;13;0,18;14;10,21;8;11,45574
71,45839,,,,,45839
72,45842,23;16;2,29;15;-16,8;8;27,23;10;12,45842
73,46114,,,,,46114
74,46117,16;17;10,32;19;3,21;7;8,17;13;4,46117
75,46386,,,,,46386
76,46389,18;21;9,13;6;8,27;20;17,16;12;6,46389
