,index,acc1,acc2,acc3,acc4,duration
0,58920,20;-6;0,20;-6;3,21;-7;2,25;-8;8,58920
1,63551,,,,,63551
2,63553,18;-10;4,20;-6;8,24;-18;-4,24;-5;0,63553
3,63818,,,,,63818
4,63821,31;-8;-1,22;-8;6,30;-8;2,28;-13;-5,63821
5,64090,,,,,64090
6,64092,27;-12;-2,28;-15;7,24;-16;0,24;-15;4,64092
7,64362,,,,,64362
8,64364,29;-15;-2,24;-17;0,30;-22;3,26;-8;5,64364
9,64624,,,,,64624
10,64632,24;-2;-2,31;-7;0,21;-6;0,26;-2;0,64632
11,64900,,,,,64900
12,64902,13;-3;4,30;-26;-5,35;-11;-15,26;9;-13,64902
13,65163,,,,,65163
14,65165,31;-6;7,17;-53;7,18;24;-5,36;-13;-26,65165
15,65432,,,,,65432
16,65434,13;-37;2,22;-16;-6,26;-23;9,10;-7;-11,65434
17,65700,,,,,65700
18,65702,15;-14;-4,14;-4;0,25;-30;-6,28;-28;0,65702
19,65964,,,,,65964
20,65972,10;-18;15,19;18;1,15;10;-9,21;-29;-5,65972
21,66239,,,,,66239
22,66241,12;-20;-2,10;6;0,26;-8;-11,30;-14;-29,66241
23,66502,,,,,66502
24,66504,22;-12;-1,25;-9;10,13;3;12,28;-12;-6,66504
25,66770,,,,,66770
26,66772,25;-6;-2,25;-10;5,26;-19;0,31;-2;4,66772
27,67040,,,,,67040
28,67042,16;-2;0,29;-11;-2,16;-10;9,23;-5;3,67042
29,67303,,,,,67303
30,67310,26;-10;2,21;-4;16,23;-5;14,34;-11;12,67310
31,67577,,,,,67577
32,67579,23;-3;-1,28;-10;6,34;-8;9,27;-1;8,67579
33,67841,,,,,67841
34,67843,26;-5;7,37;-5;15,30;-8;25,19;-2;28,67843
35,68116,,,,,68116
36,68118,24;-14;2,27;-12;13,27;-1;11,31;-3;4,68118
37,68378,,,,,68378
38,68381,22;5;3,26;0;7,27;-2;19,26;10;20,68381
39,68646,,,,,68646
40,68648,22;6;14,23;8;11,25;3;6,29;-6;4,68648
41,68918,,,,,68918
42,68920,25;-18;15,28;-8;8,19;2;0,17;24;13,68920
43,69180,,,,,69180
44,69182,25;-18;24,13;-5;19,23;-21;-9,17;-17;6,69182
45,69451,,,,,69451
46,69453,23;-2;11,20;-13;12,18;-1;11,23;-15;2,69453
47,69718,,,,,69718
48,69720,27;-22;0,20;-11;7,20;-7;15,11;-6;9,69720
49,69985,,,,,69985
50,69988,17;-9;9,18;-8;4,17;-1;1,22;-2;6,69988
51,70254,,,,,70254
52,70257,21;0;7,23;-6;5,29;-4;4,18;-11;13,70257
53,70517,,,,,70517
54,70519,22;0;0,15;0;5,24;-3;-1,20;0;11,70519
55,70791,,,,,70791
56,70793,19;-3;-8,18;-15;2,18;-7;0,17;-8;11,70793
57,71056,,,,,71056
58,71058,15;-7;3,23;-14;-4,14;-1;6,20;4;-7,71058
59,71460,,,,,71460
60,71463,21;0;-1,22;0;-7,27;-4;-2,21;-4;0,71463
61,71732,,,,,71732
62,71734,25;-2;-1,25;-8;0,23;-1;-1,27;-4;-1,71734
63,71995,,,,,71995
64,71997,27;-3;-3,24;1;6,24;0;1,24;-6;0,71997
65,72264,,,,,72264
66,72266,22;-6;1,28;-5;9,23;-6;7,22;2;6,72266
67,72532,,,,,72532
68,72535,25;-3;0,28;-13;-6,23;-5;2,24;-7;3,72535
69,72801,,,,,72801
70,72804,25;-10;4,23;-7;2,22;-9;0,26;-6;7,72804
71,73068,,,,,73068
72,73070,23;-2;11,28;0;5,22;-1;6,28;-1;0,73070
73,73346,,,,,73346
74,73348,34;-4;0,24;-1;2,27;-3;7,28;-22;7,73348
75,73620,,,,,73620
76,73623,18;0;-15,24;-4;8,31;-4;15,12;-10;18,73623
77,73883,,,,,73883
78,73885,32;0;13,27;-13;14,24;-20;11,30;-6;0,73885
79,74156,,,,,74156
80,74158,32;-11;7,29;-5;12,25;-12;15,31;-8;9,74158
81,74422,,,,,74422
82,74424,26;7;19,22;-12;6,25;-8;4,29;-5;10,74424
83,74684,,,,,74684
84,74687,28;-7;-3,23;-8;6,25;-2;6,19;-10;0,74687
85,74953,,,,,74953
86,74955,25;-8;0,33;-6;6,20;-8;3,26;-11;-3,74955
87,75223,,,,,75223
88,75225,18;-7;-5,21;-9;-6,23;-6;4,20;-10;2,75225
89,75491,,,,,75491
90,75493,21;-5;2,21;-1;4,23;-1;-8,21;0;-2,75493
91,75760,,,,,75760
92,75762,18;0;4,17;-2;-1,17;1;4,23;-2;-1,75762
93,76023,,,,,76023
94,76025,19;-5;3,14;0;4,17;6;8,17;-15;2,76025
95,76299,,,,,76299
96,76301,18;0;8,22;0;0,23;-6;-10,21;-9;1,76301
97,76561,,,,,76561
98,76563,17;-2;2,19;-3;-2,17;-1;6,16;-8;2,76563
99,76830,,,,,76830
100,76832,21;-3;1,20;-5;12,17;-1;15,28;4;0,76832
101,77093,,,,,77093
102,77095,18;-9;13,20;-9;0,14;-10;2,16;0;8,77095
103,77363,,,,,77363
104,77365,23;-9;7,23;-3;-1,22;-3;-5,21;-8;-5,77365
105,77637,,,,,77637
106,77639,21;-5;15,20;0;6,21;-4;9,15;4;7,77639
107,77900,,,,,77900
108,77902,24;-6;9,15;0;-11,21;-14;-10,23;-5;-1,77902
109,78169,,,,,78169
110,78172,16;-5;0,19;-7;4,6;0;4,17;-6;7,78172
111,78438,,,,,78438
112,78440,16;0;11,16;2;6,16;-6;3,10;-1;-1,78440
113,78700,,,,,78700
114,78702,15;-5;-2,16;-9;10,18;-4;-1,17;-9;7,78702
115,78970,,,,,78970
116,78972,16;-7;10,19;-15;-2,19;-9;-11,17;-7;0,78972
117,79233,,,,,79233
118,79235,12;-15;6,18;-4;-5,16;-4;-3,17;-6;4,79235
119,79504,,,,,79504
120,79506,19;-8;-4,17;-3;0,23;-6;-2,19;-13;4,79506
121,79776,,,,,79776
122,79778,15;-1;1,15;-5;5,15;-14;14,13;-20;7,79778
123,80039,,,,,80039
124,80046,12;-4;7,11;-1;4,11;-8;9,22;-18;-1,80046
125,80315,,,,,80315
126,80317,17;-20;0,16;-13;1,27;-17;5,19;-9;6,80317
127,80577,,,,,80577
128,80579,16;-5;0,20;-2;2,18;-3;8,20;-11;5,80579
129,80851,,,,,80851
130,80854,24;-9;7,21;-12;10,16;-5;-4,16;-14;-7,80854
131,81117,,,,,81117
132,81120,15;-12;6,23;-6;13,23;0;5,20;-1;8,81120
133,81378,,,,,81378
134,81385,15;-3;5,16;-1;6,26;-7;1,10;-11;21,81385
135,81651,,,,,81651
136,81653,18;-3;7,13;-21;20,14;-2;10,23;-6;-2,81653
137,81917,,,,,81917
138,81920,25;-7;18,24;-12;6,23;-6;6,24;-2;9,81920
139,82187,,,,,82187
140,82189,23;-15;7,17;-3;2,19;-11;7,20;-10;11,82189
141,82451,,,,,82451
142,82453,25;0;1,18;-17;7,14;-13;-3,16;-11;0,82453
143,82717,,,,,82717
144,82724,18;-8;6,18;-3;5,16;-1;11,11;-4;14,82724
145,82989,,,,,82989
146,82992,14;-10;-2,15;-4;0,19;-7;-3,21;-5;6,82992
147,83256,,,,,83256
148,83258,21;6;1,17;-2;0,15;-8;5,18;4;8,83258
149,83528,,,,,83528
150,83530,16;-8;-5,16;-3;-2,13;-1;6,17;-6;4,83530
151,83800,,,,,83800
152,83803,17;0;3,18;0;0,19;2;-1,14;-16;2,83803
153,84062,,,,,84062
154,84069,20;-8;10,21;-12;8,17;-12;7,16;-1;5,84069
155,84331,,,,,84331
156,84333,22;-3;4,19;-7;12,22;-11;5,19;-3;11,84333
157,84594,,,,,84594
158,84596,17;-9;8,20;-10;-3,9;-19;5,18;-11;5,84596
159,84862,,,,,84862
160,84866,18;-6;7,17;-9;6,14;-5;5,16;-6;1,84866
161,85132,,,,,85132
162,85134,15;-8;1,21;-7;9,18;-5;1,19;-4;2,85134
163,85398,,,,,85398
164,85405,19;-1;4,16;-5;6,18;-10;-4,18;-3;-1,85405
165,85664,,,,,85664
166,85666,18;-7;-6,18;-5;-2,13;-7;2,16;-7;0,85666
167,85929,,,,,85929
168,85933,19;2;-2,10;3;-23,18;-10;2,18;-3;8,85933
169,86202,,,,,86202
170,86204,28;-7;-3,25;-12;3,15;4;8,19;-1;4,86204
171,86468,,,,,86468
172,86470,18;-10;-3,19;-6;-2,15;-5;6,13;-3;1,86470
173,86733,,,,,86733
174,86739,21;-1;0,20;-11;-6,13;-5;8,13;-4;0,86739
175,87009,,,,,87009
176,87011,17;-5;1,19;-1;6,20;-10;17,26;-12;8,87011
177,87272,,,,,87272
178,87274,15;-11;10,17;-25;12,16;-3;7,17;-11;4,87274
179,87541,,,,,87541
180,87543,19;-5;-1,25;-7;0,20;-7;8,16;-1;-1,87543
181,87803,,,,,87803
182,87806,22;-5;3,14;-15;0,15;-13;-1,19;-18;11,87806
183,88069,,,,,88069
184,88076,17;-10;3,22;-7;10,20;-5;7,11;-7;9,88076
185,88341,,,,,88341
186,88343,22;-3;0,17;-6;1,16;0;0,15;-3;9,88343
187,88607,,,,,88607
188,88609,19;-5;10,20;-6;2,23;-8;0,20;0;0,88609
189,88888,,,,,88888
190,88890,18;-3;-5,19;-5;-1,19;-7;8,23;-4;9,88890
191,89155,,,,,89155
192,89157,23;-4;-1,19;-5;1,22;-2;3,22;-4;9,89157
193,89418,,,,,89418
194,89425,19;-3;15,18;1;7,25;-6;9,19;-11;12,89425
195,89687,,,,,89687
196,89689,32;-10;-2,24;-3;4,18;-6;10,15;-9;-5,89689
197,89957,,,,,89957
198,89959,22;-17;6,14;0;3,32;-3;5,21;8;11,89959
199,90224,,,,,90224
200,90226,28;8;-3,24;-3;2,19;6;10,24;12;5,90226
201,90486,,,,,90486
202,90489,23;5;13,17;4;5,23;-3;2,27;0;6,90489
203,90757,,,,,90757
204,90764,22;5;9,17;3;5,20;-8;1,18;-8;5,90764
205,91027,,,,,91027
206,91029,22;-4;9,20;-4;6,28;-5;0,28;-2;-3,91029
207,91289,,,,,91289
208,91291,24;-8;3,20;-3;13,22;-5;5,23;-5;0,91291
209,91558,,,,,91558
210,91560,26;0;16,22;-10;2,29;-8;3,26;7;7,91560
211,91827,,,,,91827
212,91829,25;-8;-9,18;-9;9,24;-8;13,22;-1;0,91829
213,92089,,,,,92089
214,92226,28;1;0,18;-8;-1,27;-2;-4,27;1;-5,92226
215,92488,,,,,92488
216,92491,22;-8;7,21;-4;2,29;5;-1,26;5;12,92491
217,92751,,,,,92751
218,92753,29;7;7,21;2;21,31;2;12,32;5;0,92753
219,93021,,,,,93021
220,93023,34;5;7,30;0;5,27;-1;0,30;16;4,93023
221,93284,,,,,93284
222,93286,25;-3;2,23;-3;1,30;-5;4,30;0;-2,93286
223,93550,,,,,93550
224,93557,27;-3;2,31;-6;-4,28;0;1,24;0;7,93557
225,93816,,,,,93816
226,93818,29;4;11,27;-8;4,30;0;10,27;-4;6,93818
227,94077,,,,,94077
228,94080,22;-7;11,33;7;14,39;7;0,28;2;12,94080
229,94354,,,,,94354
230,94356,35;-2;8,37;1;5,37;-5;7,34;-2;5,94356
231,94616,,,,,94616
232,94619,31;-3;5,26;6;8,32;0;9,32;1;6,94619
233,94878,,,,,94878
234,94885,24;-8;4,35;-2;3,30;0;10,36;0;0,94885
235,95154,,,,,95154
236,95156,30;0;9,30;2;0,32;4;9,33;-2;2,95156
237,95417,,,,,95417
238,95419,25;3;5,31;3;1,34;1;7,34;-3;8,95419
239,95688,,,,,95688
240,95690,24;-3;11,29;3;9,38;0;3,35;-1;8,95690
241,95955,,,,,95955
242,95958,33;1;8,39;5;5,40;2;3,35;1;2,95958
243,96218,,,,,96218
244,96225,38;0;4,40;0;1,43;-9;8,46;3;4,96225
245,96492,,,,,96492
246,96495,39;-2;2,43;-3;3,42;-3;0,43;-6;9,96495
247,96755,,,,,96755
248,96758,40;4;13,35;-8;11,44;-1;4,42;-7;9,96758
249,97027,,,,,97027
250,97029,44;2;7,37;-5;5,38;-1;6,44;0;4,97029
251,97294,,,,,97294
252,97296,38;4;5,37;-2;-2,48;-14;-1,41;1;5,97296
253,97556,,,,,97556
254,97563,38;13;9,48;8;18,47;14;13,46;5;2,97563
255,97832,,,,,97832
256,97835,44;-1;-8,51;0;1,38;5;10,47;14;16,97835
257,98101,,,,,98101
258,98103,37;12;20,37;17;8,34;10;2,35;3;-3,98103
259,98369,,,,,98369
260,98372,35;8;3,34;14;2,38;18;4,32;15;9,98372
261,98643,,,,,98643
262,98646,31;21;6,27;17;8,31;21;10,28;22;10,98646
263,98908,,,,,98908
264,98915,37;16;-8,28;23;8,36;22;9,32;34;11,98915
265,99182,,,,,99182
266,99185,30;24;6,29;21;4,27;24;15,23;33;23,99185
267,99448,,,,,99448
268,99450,31;32;-15,27;26;-1,27;34;9,32;33;6,99450
269,99722,,,,,99722
270,99724,29;31;11,35;27;2,29;32;0,29;31;5,99724
271,99984,,,,,99984
272,99986,34;30;3,32;26;19,33;27;11,29;32;0,99986
273,100252,,,,,100252
274,100259,36;29;3,36;27;7,26;25;0,26;38;-1,100259
275,100521,,,,,100521
276,100524,25;34;0,33;2;2,26;6;5,18;23;5,100524
277,100787,,,,,100787
278,100789,23;37;0,20;29;34,27;26;0,19;19;2,100789
279,101053,,,,,101053
280,101056,19;15;-6,16;14;-5,17;21;0,17;20;0,101056
281,101319,,,,,101319
282,101321,16;17;6,23;20;1,18;17;0,16;16;6,101321
283,101591,,,,,101591
284,101594,13;13;-3,17;8;-7,15;6;0,12;2;4,101594
285,101856,,,,,101856
286,101858,8;5;4,9;2;1,10;2;3,8;0;-1,101858
287,102119,,,,,102119
288,102127,9;1;3,5;4;3,8;0;0,11;3;-1,102127
289,102386,,,,,102386
290,102388,10;0;2,10;3;1,10;5;0,9;6;1,102388
291,102657,,,,,102657
292,102659,10;3;0,9;9;0,9;14;-1,5;4;1,102659
293,102926,,,,,102926
294,102929,9;2;-1,7;-1;3,7;2;1,6;0;1,102929
295,103186,,,,,103186
296,103189,6;0;-5,4;1;-4,5;1;4,6;3;0,103189
297,103456,,,,,103456
298,103464,8;1;-1,7;4;0,5;6;0,3;6;-1,103464
299,103727,,,,,103727
300,103729,5;9;-1,7;2;-2,12;5;-3,5;12;0,103729
301,103988,,,,,103988
302,103990,10;8;1,2;14;1,8;3;0,6;7;-2,103990
303,104263,,,,,104263
304,104265,10;2;-2,8;2;-2,9;7;-1,7;5;-2,104265
305,104526,,,,,104526
306,104528,6;5;-1,3;2;7,4;4;0,4;4;2,104528
307,104794,,,,,104794
308,104797,5;8;-4,7;6;-1,6;4;-2,7;7;-1,104797
309,105065,,,,,105065
310,105068,5;3;-1,6;6;1,7;2;2,12;6;0,105068
311,105326,,,,,105326
312,105333,14;2;3,10;2;8,15;0;7,11;0;5,105333
313,105601,,,,,105601
314,105603,12;2;5,14;4;6,16;1;4,9;1;5,105603
315,105865,,,,,105865
316,105868,11;6;0,4;2;4,9;1;4,7;0;3,105868
317,106287,,,,,106287
318,106289,9;5;1,9;1;2,7;2;-1,4;3;-3,106289
319,106559,,,,,106559
320,106561,0;-1;4,0;7;4,2;1;0,5;-1;-5,106561
321,106822,,,,,106822
322,106830,10;1;2,7;5;1,4;3;1,3;0;1,106830
323,107091,,,,,107091
324,107094,3;2;0,5;4;0,0;9;-1,11;3;0,107094
325,107355,,,,,107355
326,107357,6;6;2,4;2;2,7;4;1,4;0;4,107357
327,107622,,,,,107622
328,107624,8;5;-9,11;1;-3,8;2;0,13;3;-3,107624
329,107891,,,,,107891
330,107893,11;3;2,15;1;0,9;0;-2,9;3;-1,107893
331,108160,,,,,108160
332,108162,5;1;8,11;7;1,10;1;7,15;3;2,108162
333,108429,,,,,108429
334,108432,17;3;5,16;3;1,13;2;4,14;1;5,108432
335,108692,,,,,108692
336,108700,16;2;1,14;9;3,11;8;2,8;4;8,108700
337,108967,,,,,108967
338,108969,12;-1;4,12;10;1,15;5;2,14;11;5,108969
339,109230,,,,,109230
340,109233,18;4;1,13;0;6,16;9;0,15;6;1,109233
341,109500,,,,,109500
342,109502,18;9;-2,14;6;6,16;4;4,15;7;5,109502
343,109762,,,,,109762
344,109764,15;7;6,14;1;4,13;2;8,15;3;3,109764
345,110032,,,,,110032
346,110035,16;1;10,18;-2;6,17;-2;8,18;0;2,110035
347,110300,,,,,110300
348,110303,16;1;0,19;2;2,17;-5;5,15;1;0,110303
349,110563,,,,,110563
350,110566,16;2;2,15;2;7,20;1;8,18;2;2,110566
351,110832,,,,,110832
352,110834,17;2;1,15;0;5,20;0;6,16;-1;8,110834
