,utcdate,utctime,alt,speed_mph,n_sats,duration
63551,2021-11-19,16:05:21.300000,0,0.0,0,63551
63818,2021-11-19,16:05:21.500000,0,0.0,0,63818
64090,2021-11-19,16:05:21.800000,0,0.0,0,64090
64362,2021-11-19,16:05:22.100000,0,0.0,0,64362
64624,2021-11-19,16:05:22.300000,0,0.0,0,64624
64900,2021-11-19,16:05:22.600000,0,0.0,0,64900
65163,2021-11-19,16:05:22.900000,0,0.0,0,65163
65432,2021-11-19,16:05:23.100000,0,0.0,0,65432
65700,2021-11-19,16:05:23.400000,0,0.0,0,65700
65964,2021-11-19,16:05:23.700000,0,0.0,0,65964
66239,2021-11-19,16:05:23.900000,0,0.0,0,66239
66502,2021-11-19,16:05:24.200000,0,0.0,0,66502
66770,2021-11-19,16:05:24.500000,0,0.0,0,66770
67040,2021-11-19,16:05:24.700000,0,0.0,0,67040
67303,2021-11-19,16:05:25,0,0.0,0,67303
67577,2021-11-19,16:05:25.300000,0,0.0,0,67577
67841,2021-11-19,16:05:25.500000,0,0.0,0,67841
68116,2021-11-19,16:05:25.800000,0,0.0,0,68116
68378,2021-11-19,16:05:26.100000,0,0.0,0,68378
68646,2021-11-19,16:05:26.300000,0,0.0,0,68646
68918,2021-11-19,16:05:26.600000,0,0.0,0,68918
69180,2021-11-19,16:05:26.900000,0,0.0,0,69180
69451,2021-11-19,16:05:27.200000,0,0.0,0,69451
69718,2021-11-19,16:05:27.400000,0,0.0,0,69718
69985,2021-11-19,16:05:27.700000,0,0.0,0,69985
70254,2021-11-19,16:05:28,0,0.0,0,70254
70517,2021-11-19,16:05:28.200000,0,0.0,0,70517
70791,2021-11-19,16:05:28.500000,0,0.0,0,70791
71056,2021-11-19,16:05:28.800000,0,0.0,0,71056
71460,2021-11-19,16:05:29.200000,0,0.0,0,71460
71732,2021-11-19,16:05:29.400000,0,0.0,0,71732
71995,2021-11-19,16:05:29.700000,0,0.0,0,71995
72264,2021-11-19,16:05:30,0,0.0,0,72264
72532,2021-11-19,16:05:30.200000,0,0.0,0,72532
72801,2021-11-19,16:05:30.500000,0,0.0,0,72801
73068,2021-11-19,16:05:30.800000,0,0.0,0,73068
73346,2021-11-19,16:05:31,0,0.0,0,73346
