,index,acc1,acc2,acc3,acc4,duration
0,49761,0;-1;0,0;0;0,0;0;0,0;0;0,49761
1,54376,,,,,54376
2,54378,-1;-1;-2,0;0;1,0;1;-1,0;1;1,54378
3,54642,,,,,54642
4,54645,0;0;-2,0;-1;-2,-1;0;0,0;1;2,54645
5,54912,,,,,54912
6,54914,0;0;0,0;0;0,-2;1;-2,0;0;-1,54914
7,55188,,,,,55188
8,55190,0;0;2,0;0;0,0;1;-2,0;0;-2,55190
9,55449,,,,,55449
10,55452,0;0;-1,0;0;0,-1;0;0,0;0;3,55452
11,55725,,,,,55725
12,55727,0;0;1,1;0;0,0;0;0,0;0;0,55727
13,55988,,,,,55988
14,55990,0;1;2,2;-1;2,0;0;0,0;1;1,55990
15,56262,,,,,56262
16,56269,0;0;-1,0;0;0,0;-1;1,0;0;0,56269
17,56532,,,,,56532
18,56535,0;0;-2,0;1;5,0;0;3,0;0;0,56535
19,56801,,,,,56801
20,56803,0;0;0,0;1;1,0;0;0,0;-1;0,56803
21,57076,,,,,57076
22,57078,0;0;0,0;0;-1,-2;0;0,-1;0;2,57078
23,57346,,,,,57346
24,57348,0;-1;0,-1;0;0,-2;-1;0,0;0;-1,57348
25,57616,,,,,57616
26,57622,0;0;0,0;0;2,0;1;0,0;0;0,57622
27,57888,,,,,57888
28,57890,0;0;1,2;0;1,-1;0;3,-1;0;0,57890
29,58152,,,,,58152
30,58155,1;0;2,0;0;1,-1;0;2,0;0;0,58155
31,58421,,,,,58421
32,58424,0;0;1,1;-1;0,0;-2;2,1;0;0,58424
33,58690,,,,,58690
34,58693,0;1;1,0;0;1,0;0;0,0;0;0,58693
35,58955,,,,,58955
36,58957,1;1;3,-1;0;1,0;0;-1,0;0;0,58957
37,59222,,,,,59222
38,59224,0;0;0,0;0;2,1;0;2,0;0;-2,59224
39,59491,,,,,59491
40,59493,0;1;2,1;0;-1,-2;1;0,0;0;0,59493
41,59755,,,,,59755
42,59763,0;1;1,0;0;0,0;1;1,0;0;2,59763
43,60043,,,,,60043
44,60045,0;-1;1,1;0;-1,1;0;-2,-1;0;0,60045
45,60311,,,,,60311
46,60313,0;0;1,0;0;2,0;0;-2,1;0;-1,60313
47,60583,,,,,60583
48,60587,0;0;1,-1;0;0,0;-1;-2,-1;0;0,60587
49,60856,,,,,60856
50,60858,0;0;1,0;-1;0,0;0;1,0;0;0,60858
51,61117,,,,,61117
52,61120,0;0;2,0;0;0,0;0;1,0;0;0,61120
53,61390,,,,,61390
54,61392,0;0;2,-1;0;2,0;0;0,0;0;0,61392
55,61656,,,,,61656
56,61658,0;0;3,-2;0;2,0;0;0,0;1;0,61658
57,61920,,,,,61920
58,61927,-1;0;2,0;0;1,0;0;1,-1;0;0,61927
59,62197,,,,,62197
60,62200,0;0;-1,0;1;0,0;0;0,0;0;0,62200
61,62470,,,,,62470
62,62473,1;0;0,0;0;0,0;0;-1,-1;0;0,62473
63,62746,,,,,62746
64,62749,0;-1;2,0;0;1,0;0;0,-1;1;0,62749
65,63008,,,,,63008
66,63010,0;0;0,0;0;0,0;0;-1,-1;0;0,63010
67,63276,,,,,63276
68,63279,0;-1;0,0;1;0,0;0;0,1;-1;0,63279
69,63547,,,,,63547
70,63550,0;0;0,0;0;0,-1;1;0,0;-1;0,63550
71,63818,,,,,63818
