,acc1,acc2,acc3,acc4,duration
47343,,,,,47343
54990,,,,,54990
61111,,,,,61111
67224,,,,,67224
73347,,,,,73347
79461,,,,,79461
85583,,,,,85583
91706,,,,,91706
97829,,,,,97829
103945,,,,,103945
110068,,,,,110068
116182,,,,,116182
122310,,,,,122310
128423,,,,,128423
134547,,,,,134547
140663,,,,,140663
146792,,,,,146792
150007,,,,,150007
150009,0;-3;0,0;0;1,0;0;0,0;0;1,150009
150276,,,,,150276
150279,0;0;0,0;0;0,0;0;0,0;0;1,150279
150545,,,,,150545
150548,0;1;1,-1;0;0,0;0;-1,0;0;-1,150548
150814,,,,,150814
150816,0;-1;0,-1;0;0,0;0;-1,0;0;0,150816
151095,,,,,151095
151097,0;1;0,0;2;-1,0;0;1,1;0;0,151097
151360,,,,,151360
151363,-1;0;1,0;1;0,0;0;2,0;0;0,151363
151627,,,,,151627
151634,-1;0;-1,-1;0;0,-1;1;0,0;0;0,151634
151903,,,,,151903
151906,0;0;1,0;0;0,1;-1;0,0;0;0,151906
152178,,,,,152178
152180,-2;1;-1,0;0;0,0;0;0,0;0;0,152180
152453,,,,,152453
152456,-1;0;1,-1;1;1,0;0;0,-1;0;0,152456
152716,,,,,152716
152719,-1;0;-1,0;0;0,0;0;-1,0;0;0,152719
153000,,,,,153000
153004,0;0;2,0;1;2,-1;0;0,-1;0;0,153004
153267,,,,,153267
153270,-1;0;0,1;1;0,0;0;0,0;0;1,153270
153547,,,,,153547
153550,-1;0;0,-2;0;-1,-2;1;0,-1;0;0,153550
153810,,,,,153810
153814,1;-1;0,0;1;0,0;0;1,0;0;0,153814
154080,,,,,154080
154087,-1;1;0,0;0;0,-1;0;0,0;0;0,154087
154354,,,,,154354
154357,0;0;0,0;0;0,-1;0;0,0;0;0,154357
154618,,,,,154618
154621,-1;0;0,-1;0;0,0;1;0,0;0;1,154621
154893,,,,,154893
154896,0;0;0,0;0;0,0;1;0,0;0;0,154896
155158,,,,,155158
155160,0;0;0,0;1;0,0;0;0,0;0;-1,155160
155440,,,,,155440
155443,0;0;0,-1;0;0,0;0;0,0;0;2,155443
155707,,,,,155707
155709,-1;1;0,0;1;-1,0;0;0,-1;0;0,155709
155996,,,,,155996
155999,0;0;0,0;0;-1,0;0;1,0;1;0,155999
156268,,,,,156268
156271,0;0;0,0;0;0,-1;0;1,0;1;0,156271
156531,,,,,156531
156539,-1;0;1,0;0;-1,-1;0;0,0;0;0,156539
156807,,,,,156807
156810,1;0;0,0;0;0,0;0;0,0;0;0,156810
157070,,,,,157070
157072,0;0;0,0;0;1,-1;1;0,0;0;0,157072
157344,,,,,157344
157347,0;1;0,-1;0;1,0;-1;0,0;0;0,157347
157607,,,,,157607
157611,0;0;0,0;0;0,0;0;0,-1;0;0,157611
157878,,,,,157878
157881,-1;0;0,1;0;0,-1;0;0,-2;1;0,157881
158147,,,,,158147
158150,0;0;0,-1;0;0,0;1;0,0;1;0,158150
158420,,,,,158420
158423,0;0;1,0;0;-1,-1;1;0,0;0;0,158423
158692,,,,,158692
158694,0;0;0,0;1;0,0;0;0,-1;0;-1,158694
158967,,,,,158967
158974,0;0;-1,-4;0;0,-1;0;0,-1;0;-1,158974
159249,,,,,159249
159251,0;0;0,0;0;0,0;0;-1,0;0;1,159251
159519,,,,,159519
159522,0;0;1,0;0;0,0;0;0,0;1;0,159522
159801,,,,,159801
159803,0;0;0,0;-1;1,0;0;0,0;0;1,159803
160067,,,,,160067
160070,0;-2;0,0;0;0,0;0;0,0;0;0,160070
160337,,,,,160337
160340,0;1;1,0;0;0,2;-1;1,0;0;0,160340
160611,,,,,160611
160613,0;-1;0,0;-2;0,0;0;0,0;0;-1,160613
160879,,,,,160879
160882,0;0;2,0;0;0,0;0;0,0;0;0,160882
161142,,,,,161142
161145,-1;0;1,-1;0;0,-1;0;0,0;0;0,161145
161412,,,,,161412
161419,-1;0;0,0;0;0,0;0;0,0;1;0,161419
161686,,,,,161686
161689,0;0;0,0;0;1,0;2;0,0;1;0,161689
161949,,,,,161949
161952,0;0;0,0;0;0,0;0;0,0;0;1,161952
162225,,,,,162225
162227,0;0;0,-1;0;0,0;2;1,0;0;0,162227
162494,,,,,162494
162497,0;0;0,0;0;0,0;0;0,0;0;-1,162497
162787,,,,,162787
162790,-1;0;-1,0;0;0,-1;0;0,1;0;0,162790
163050,,,,,163050
163053,0;0;1,0;1;0,0;0;0,0;1;0,163053
163319,,,,,163319
163321,-1;1;-1,0;0;0,0;0;0,0;1;0,163321
163590,,,,,163590
163592,0;0;0,0;0;0,0;0;1,0;0;0,163592
163864,,,,,163864
163871,-1;0;0,0;0;1,0;0;2,0;0;-1,163871
164140,,,,,164140
164143,0;0;-1,0;0;1,0;0;0,0;0;0,164143
164408,,,,,164408
164411,0;0;1,0;2;0,0;1;-2,0;0;-2,164411
164683,,,,,164683
164686,0;0;0,0;0;0,-1;1;-1,0;0;0,164686
164946,,,,,164946
164950,-1;0;0,0;0;0,0;0;0,0;0;0,164950
165215,,,,,165215
165218,-1;0;-1,0;0;0,0;0;1,0;0;0,165218
165478,,,,,165478
165481,0;0;0,0;0;-1,0;0;0,0;0;0,165481
165753,,,,,165753
165755,0;0;0,0;0;2,0;1;0,0;0;1,165755
166017,,,,,166017
166019,0;0;1,0;0;0,-1;0;-1,-1;0;-1,166019
166285,,,,,166285
166293,0;0;-1,0;1;0,0;0;0,0;0;-1,166293
166554,,,,,166554
166557,0;0;0,0;1;0,0;0;1,-1;1;-1,166557
166823,,,,,166823
166825,0;0;-1,-1;0;0,0;0;0,0;0;0,166825
167098,,,,,167098
167101,0;0;0,0;1;0,0;0;0,-1;-1;0,167101
167361,,,,,167361
167364,-1;0;0,-1;0;0,0;0;0,0;0;0,167364
167630,,,,,167630
167633,0;0;0,0;0;0,0;0;-1,0;0;0,167633
167892,,,,,167892
167895,0;0;0,0;1;0,-1;0;0,0;0;0,167895
168161,,,,,168161
168164,0;0;0,0;0;0,0;1;1,0;0;1,168164
168424,,,,,168424
168427,0;0;0,-1;0;-1,0;1;0,0;0;0,168427
168687,,,,,168687
168694,0;0;0,0;0;0,0;0;0,0;0;-1,168694
168956,,,,,168956
168958,-1;0;-1,-1;0;0,0;0;0,0;1;0,168958
169219,,,,,169219
169222,0;0;0,0;0;0,0;0;0,0;1;0,169222
169488,,,,,169488
169491,-1;0;0,0;0;0,0;1;-1,0;-1;0,169491
169751,,,,,169751
169754,-1;1;0,0;0;-1,-1;0;0,0;1;0,169754
170020,,,,,170020
170023,1;0;-1,0;1;1,-1;0;0,0;0;0,170023
170289,,,,,170289
170292,0;0;0,0;0;-1,0;0;1,0;0;0,170292
170558,,,,,170558
170566,0;0;0,0;1;-1,0;0;-1,0;1;0,170566
170827,,,,,170827
170829,-1;0;0,1;0;0,0;0;1,0;0;-1,170829
171096,,,,,171096
171104,0;0;0,0;0;0,0;0;0,-1;0;0,171104
171365,,,,,171365
171368,-1;0;1,0;0;1,-1;0;2,0;1;0,171368
171634,,,,,171634
171637,-1;0;0,0;0;0,-1;2;0,0;0;0,171637
171909,,,,,171909
171912,0;1;0,0;1;0,-1;0;0,0;0;-1,171912
172172,,,,,172172
172175,0;0;0,0;0;0,0;0;0,-1;0;1,172175
172441,,,,,172441
172444,0;0;1,0;0;0,0;1;-1,0;0;0,172444
172710,,,,,172710
172712,-1;0;2,0;0;0,0;0;-1,0;0;0,172712
172973,,,,,172973
172982,0;0;1,0;0;0,0;0;-1,0;0;0,172982
173242,,,,,173242
173245,0;0;-1,0;-1;0,0;1;0,0;0;0,173245
