,acc1,acc2,acc3,acc4,duration,trip_id,utcdate
0,-1;0;-1,0;-1;0,0;0;0,0;0;0,4123,2,2021-10-25
1,,,,,4398,2,2021-10-25
2,-1;0;1,0;-2;0,0;0;-1,0;0;-1,4401,2,2021-10-25
3,,,,,4660,2,2021-10-25
4,1;0;1,-2;-1;0,0;-1;0,0;0;0,4662,2,2021-10-25
5,,,,,4929,2,2021-10-25
6,0;0;0,0;0;0,1;0;-1,-1;0;-1,4932,2,2021-10-25
7,,,,,5197,2,2021-10-25
8,0;0;2,0;0;0,0;-1;-1,0;0;0,5200,2,2021-10-25
9,,,,,5460,2,2021-10-25
10,-1;0;0,0;-1;0,0;0;-2,1;0;0,5464,2,2021-10-25
11,,,,,5724,2,2021-10-25
12,0;0;0,0;0;1,-2;0;1,0;1;1,5740,2,2021-10-25
13,,,,,6010,2,2021-10-25
14,0;-1;0,-1;0;0,0;0;1,0;2;2,6013,2,2021-10-25
15,,,,,6280,2,2021-10-25
16,0;0;0,-2;0;0,0;0;1,0;0;-1,6282,2,2021-10-25
17,,,,,6549,2,2021-10-25
18,2;0;-1,0;0;-1,0;0;0,0;0;2,6552,2,2021-10-25
19,,,,,6812,2,2021-10-25
20,0;0;0,0;0;0,0;0;-1,0;0;0,6815,2,2021-10-25
21,,,,,7089,2,2021-10-25
22,0;-1;-1,0;0;0,0;0;0,0;0;0,7105,2,2021-10-25
23,,,,,7374,2,2021-10-25
24,-1;0;-1,0;0;0,-1;1;0,0;0;0,7377,2,2021-10-25
25,,,,,7638,2,2021-10-25
26,-1;0;0,0;0;-1,0;0;0,0;0;1,7646,2,2021-10-25
27,,,,,7913,2,2021-10-25
28,-1;0;0,0;0;-1,0;0;-2,0;0;0,7916,2,2021-10-25
29,,,,,8188,2,2021-10-25
30,0;0;0,-1;-1;0,0;0;-1,0;0;-1,8192,2,2021-10-25
31,,,,,8459,2,2021-10-25
32,0;0;0,0;1;1,0;1;0,0;0;0,8475,2,2021-10-25
33,,,,,8738,2,2021-10-25
34,-1;1;0,0;0;1,0;0;1,0;0;0,8741,2,2021-10-25
35,,,,,9001,2,2021-10-25
36,0;0;0,0;0;0,-1;0;0,0;0;2,9010,2,2021-10-25
37,,,,,9278,2,2021-10-25
38,-1;0;-1,0;0;0,0;0;1,-1;0;1,9281,2,2021-10-25
39,,,,,9545,2,2021-10-25
40,0;0;0,-1;0;0,-1;0;0,0;-1;-1,9548,2,2021-10-25
41,,,,,9815,2,2021-10-25
42,0;0;0,-2;0;0,0;0;0,1;0;1,9831,2,2021-10-25
43,,,,,10102,2,2021-10-25
44,0;0;-1,0;0;0,0;0;-1,0;0;0,10105,2,2021-10-25
45,,,,,10379,2,2021-10-25
46,-1;0;0,0;1;0,0;0;0,0;-1;0,10387,2,2021-10-25
47,,,,,10653,2,2021-10-25
48,0;0;0,0;0;0,-1;0;-1,0;0;0,10656,2,2021-10-25
49,,,,,10923,2,2021-10-25
50,0;1;-1,0;0;0,0;0;-1,0;0;-1,10925,2,2021-10-25
51,,,,,11197,2,2021-10-25
52,0;0;-1,0;0;0,0;0;0,0;1;2,11214,2,2021-10-25
53,,,,,11479,2,2021-10-25
54,0;0;0,0;0;0,0;0;2,0;0;1,11481,2,2021-10-25
55,,,,,11742,2,2021-10-25
56,-2;-1;0,0;0;-1,0;0;-1,0;0;0,11750,2,2021-10-25
57,,,,,12017,2,2021-10-25
58,0;0;-1,-1;-1;0,0;0;0,0;0;-1,12020,2,2021-10-25
59,,,,,12279,2,2021-10-25
60,0;0;-1,0;0;0,0;-1;0,0;0;0,12301,2,2021-10-25
61,,,,,12569,2,2021-10-25
62,0;0;0,0;1;0,-1;1;1,0;0;0,12572,2,2021-10-25
63,,,,,12837,2,2021-10-25
64,0;0;0,0;0;1,0;2;0,0;0;0,12840,2,2021-10-25
65,,,,,13111,2,2021-10-25
66,0;0;-1,0;1;0,0;0;0,0;0;0,13114,2,2021-10-25
67,,,,,13380,2,2021-10-25
68,0;0;0,0;0;0,0;0;0,-1;0;2,13383,2,2021-10-25
69,,,,,13643,2,2021-10-25
