,index,rpm,speed,throt_pos,engine_load,bat_volt,duration
0,4123,885.0,0.0,18,30,14.33,4123
1,4401,886.0,0.0,18,31,14.29,4401
2,4662,901.0,0.0,18,31,14.32,4662
3,4932,890.0,0.0,18,30,14.34,4932
4,5200,903.0,0.0,18,30,14.32,5200
5,5464,904.0,0.0,18,30,14.27,5464
6,5740,911.0,0.0,17,29,14.31,5740
7,6013,912.0,0.0,17,29,14.29,6013
8,6282,914.0,0.0,17,29,14.27,6282
9,6552,902.0,0.0,18,30,14.33,6552
10,6815,899.0,0.0,17,29,14.31,6815
11,7105,898.0,0.0,17,30,14.29,7105
12,7377,895.0,0.0,17,29,14.32,7377
13,7646,893.0,0.0,18,30,14.28,7646
14,7916,891.0,0.0,18,30,14.36,7916
15,8192,898.0,0.0,18,30,14.35,8192
16,8475,904.0,0.0,18,30,14.29,8475
17,8741,891.0,0.0,17,30,14.29,8741
18,9010,899.0,0.0,17,29,14.32,9010
19,9281,891.0,0.0,17,29,14.25,9281
20,9548,901.0,0.0,17,30,14.28,9548
21,9831,909.0,0.0,17,29,14.32,9831
22,10105,907.0,0.0,18,30,14.28,10105
23,10387,893.0,0.0,18,30,14.38,10387
24,10656,890.0,0.0,18,30,14.24,10656
25,10925,896.0,0.0,18,30,14.32,10925
26,11214,904.0,0.0,17,29,14.31,11214
27,11481,898.0,0.0,18,29,14.31,11481
28,11750,906.0,0.0,17,30,14.35,11750
29,12020,909.0,0.0,17,30,14.29,12020
30,12301,901.0,0.0,18,30,14.25,12301
31,12572,899.0,0.0,17,30,14.28,12572
32,12840,908.0,0.0,17,29,14.28,12840
33,13114,888.0,0.0,17,29,14.33,13114
34,13383,904.0,0.0,17,29,14.32,13383
35,13665,902.0,0.0,17,29,14.28,13665
36,13942,898.0,0.0,17,29,14.25,13942
37,14211,882.0,0.0,18,30,14.36,14211
38,14497,894.0,0.0,17,30,14.36,14497
39,14766,895.0,0.0,17,29,14.32,14766
40,15053,901.0,0.0,17,29,14.32,15053
41,15323,904.0,0.0,17,29,14.34,15323
42,15592,896.0,0.0,17,29,14.33,15592
43,15861,893.0,0.0,17,29,14.31,15861
44,16123,903.0,0.0,17,29,14.32,16123
45,16409,898.0,0.0,17,29,14.28,16409
46,16673,905.0,0.0,17,30,14.29,16673
47,16943,890.0,0.0,17,30,14.28,16943
48,17212,895.0,0.0,17,30,14.29,17212
49,17475,891.0,0.0,17,30,14.25,17475
50,17765,899.0,0.0,17,29,14.29,17765
51,18038,907.0,0.0,17,29,14.28,18038
52,18307,909.0,0.0,17,29,14.33,18307
53,18591,902.0,0.0,17,29,14.31,18591
54,18883,901.0,0.0,17,29,14.32,18883
55,19152,895.0,0.0,17,29,14.32,19152
56,19414,899.0,0.0,17,30,14.34,19414
57,19691,901.0,0.0,17,30,14.32,19691
58,19964,885.0,0.0,17,30,14.32,19964
59,20252,900.0,0.0,17,29,14.31,20252
60,20533,900.0,0.0,17,29,14.28,20533
61,20803,906.0,0.0,17,29,14.31,20803
62,21081,911.0,0.0,17,29,14.31,21081
63,21354,908.0,0.0,17,29,14.29,21354
