,utcdate,utctime,alt,speed_mph,n_sats
4398,2021-10-25,15:41:15.100000,223,200.702833,7
4660,2021-10-25,15:41:15.400000,223,100.04073100000001,7
4929,2021-10-25,15:41:15.600000,223,133.594765,7
5197,2021-10-25,15:41:15.900000,223,133.594765,7
5460,2021-10-25,15:41:16.200000,223,100.04073100000001,7
5724,2021-10-25,15:41:16.400000,223,167.148799,7
6010,2021-10-25,15:41:16.700000,223,334.918969,7
6280,2021-10-25,15:41:17,223,267.810901,7
6549,2021-10-25,15:41:17.300000,223,234.256867,7
6812,2021-10-25,15:41:17.500000,223,100.04073100000001,7
7089,2021-10-25,15:41:17.800000,222,133.594765,7
7374,2021-10-25,15:41:18.100000,222,133.594765,7
7638,2021-10-25,15:41:18.300000,222,133.594765,7
7913,2021-10-25,15:41:18.600000,222,66.486697,7
8188,2021-10-25,15:41:18.900000,222,334.918969,7
8459,2021-10-25,15:41:19.200000,222,32.932663,7
8738,2021-10-25,15:41:19.400000,222,133.594765,7
9001,2021-10-25,15:41:19.700000,222,100.04073100000001,7
9278,2021-10-25,15:41:20,222,100.04073100000001,7
9545,2021-10-25,15:41:20.200000,222,167.148799,7
9815,2021-10-25,15:41:20.500000,222,402.027037,7
10102,2021-10-25,15:41:20.800000,222,267.810901,7
10379,2021-10-25,15:41:21.100000,222,234.256867,7
10653,2021-10-25,15:41:21.400000,222,234.256867,7
10923,2021-10-25,15:41:21.600000,222,267.810901,7
11197,2021-10-25,15:41:21.900000,222,100.04073100000001,7
11479,2021-10-25,15:41:22.200000,222,133.594765,7
11742,2021-10-25,15:41:22.400000,222,267.810901,7
12017,2021-10-25,15:41:22.700000,222,32.932663,7
12279,2021-10-25,15:41:23,222,167.148799,7
12569,2021-10-25,15:41:23.300000,222,133.594765,7
12837,2021-10-25,15:41:23.500000,222,234.256867,7
13111,2021-10-25,15:41:23.800000,222,32.932663,7
13380,2021-10-25,15:41:24.100000,222,32.932663,7
13643,2021-10-25,15:41:24.300000,222,167.148799,7
13939,2021-10-25,15:41:24.600000,222,66.486697,7
14209,2021-10-25,15:41:24.900000,222,133.594765,7
14494,2021-10-25,15:41:25.200000,222,32.932663,7
14764,2021-10-25,15:41:25.500000,222,32.932663,7
15037,2021-10-25,15:41:25.700000,222,234.256867,7
15321,2021-10-25,15:41:26,222,267.810901,7
15583,2021-10-25,15:41:26.300000,222,200.702833,7
15858,2021-10-25,15:41:26.600000,222,133.594765,7
16121,2021-10-25,15:41:26.800000,222,133.594765,7
16392,2021-10-25,15:41:27.100000,222,100.04073100000001,7
16671,2021-10-25,15:41:27.400000,222,0.0,7
16934,2021-10-25,15:41:27.600000,222,234.256867,7
17209,2021-10-25,15:41:27.900000,222,334.918969,7
17472,2021-10-25,15:41:28.200000,222,100.04073100000001,7
17748,2021-10-25,15:41:28.500000,222,334.918969,7
18035,2021-10-25,15:41:28.700000,222,167.148799,7
18304,2021-10-25,15:41:29,222,133.594765,7
18588,2021-10-25,15:41:29.300000,222,167.148799,7
18861,2021-10-25,15:41:29.600000,222,267.810901,7
19149,2021-10-25,15:41:29.900000,222,234.256867,7
19411,2021-10-25,15:41:30.100000,222,133.594765,8
19688,2021-10-25,15:41:30.400000,222,267.810901,8
19962,2021-10-25,15:41:30.700000,222,402.027037,8
20231,2021-10-25,15:41:30.900000,222,200.702833,8
20530,2021-10-25,15:41:31.200000,222,100.04073100000001,8
20800,2021-10-25,15:41:31.500000,222,167.148799,8
21078,2021-10-25,15:41:31.800000,222,133.594765,8
21351,2021-10-25,15:41:32.100000,222,234.256867,8
21634,2021-10-25,15:41:32.300000,222,167.148799,8
21929,2021-10-25,15:41:32.600000,222,402.027037,8
22202,2021-10-25,15:41:32.900000,222,167.148799,8
22478,2021-10-25,15:41:33.200000,222,66.486697,8
22749,2021-10-25,15:41:33.500000,222,66.486697,8
23015,2021-10-25,15:41:33.700000,222,402.027037,8
23301,2021-10-25,15:41:34,222,334.918969,8
23578,2021-10-25,15:41:34.300000,222,469.135105,8
23851,2021-10-25,15:41:34.600000,222,133.594765,8
24123,2021-10-25,15:41:34.800000,222,267.810901,8
24417,2021-10-25,15:41:35.100000,222,32.932663,8
24680,2021-10-25,15:41:35.400000,222,167.148799,8
24954,2021-10-25,15:41:35.700000,222,133.594765,8
25224,2021-10-25,15:41:35.900000,221,435.581071,8
25500,2021-10-25,15:41:36.200000,221,200.702833,8
25788,2021-10-25,15:41:36.500000,221,133.594765,8
26057,2021-10-25,15:41:36.800000,221,502.689139,8
26331,2021-10-25,15:41:37,221,200.702833,8
26607,2021-10-25,15:41:37.300000,221,267.810901,8
26887,2021-10-25,15:41:37.600000,221,234.256867,8
27177,2021-10-25,15:41:37.900000,221,334.918969,8
27445,2021-10-25,15:41:38.100000,221,32.932663,8
27720,2021-10-25,15:41:38.400000,221,402.027037,8
27982,2021-10-25,15:41:38.700000,221,100.04073100000001,8
28252,2021-10-25,15:41:39,221,66.486697,8
28538,2021-10-25,15:41:39.200000,221,100.04073100000001,8
28808,2021-10-25,15:41:39.500000,221,0.0,8
29080,2021-10-25,15:41:39.800000,220,66.486697,8
29347,2021-10-25,15:41:40,220,301.364935,8
29622,2021-10-25,15:41:40.300000,220,32.932663,8
29910,2021-10-25,15:41:40.600000,220,167.148799,8
30179,2021-10-25,15:41:40.900000,220,32.932663,8
30454,2021-10-25,15:41:41.200000,220,167.148799,8
30723,2021-10-25,15:41:41.400000,220,469.135105,8
31010,2021-10-25,15:41:41.700000,220,301.364935,8
31280,2021-10-25,15:41:42,220,234.256867,8
31557,2021-10-25,15:41:42.300000,220,368.473003,8
31823,2021-10-25,15:41:42.500000,220,334.918969,8
32088,2021-10-25,15:41:42.800000,220,32.932663,8
32374,2021-10-25,15:41:43.100000,220,334.918969,8
32644,2021-10-25,15:41:43.300000,220,368.473003,8
32918,2021-10-25,15:41:43.600000,220,133.594765,8
33187,2021-10-25,15:41:43.900000,220,267.810901,8
33455,2021-10-25,15:41:44.200000,219,133.594765,8
33737,2021-10-25,15:41:44.400000,219,100.04073100000001,8
34000,2021-10-25,15:41:44.700000,219,234.256867,8
34278,2021-10-25,15:41:45,219,100.04073100000001,8
34547,2021-10-25,15:41:45.200000,219,301.364935,8
34814,2021-10-25,15:41:45.500000,219,234.256867,8
35102,2021-10-25,15:41:45.800000,219,502.689139,8
35371,2021-10-25,15:41:46.100000,219,301.364935,8
35640,2021-10-25,15:41:46.300000,219,66.486697,8
35902,2021-10-25,15:41:46.600000,219,200.702833,8
36167,2021-10-25,15:41:46.900000,219,167.148799,8
36454,2021-10-25,15:41:47.200000,219,334.918969,8
36728,2021-10-25,15:41:47.400000,219,32.932663,8
36998,2021-10-25,15:41:47.700000,219,402.027037,8
37261,2021-10-25,15:41:48,219,133.594765,8
37541,2021-10-25,15:41:48.200000,219,167.148799,9
37807,2021-10-25,15:41:48.500000,219,301.364935,9
38088,2021-10-25,15:41:48.800000,219,66.486697,9
38355,2021-10-25,15:41:49.100000,219,334.918969,9
38629,2021-10-25,15:41:49.300000,219,66.486697,9
38906,2021-10-25,15:41:49.600000,219,32.932663,9
39178,2021-10-25,15:41:49.900000,219,267.810901,9
39456,2021-10-25,15:41:50.200000,219,267.810901,9
39719,2021-10-25,15:41:50.400000,219,133.594765,9
39994,2021-10-25,15:41:50.700000,219,267.810901,9
40283,2021-10-25,15:41:51,219,234.256867,9
40547,2021-10-25,15:41:51.200000,219,32.932663,9
40820,2021-10-25,15:41:51.500000,219,502.689139,9
41096,2021-10-25,15:41:51.800000,219,301.364935,9
41367,2021-10-25,15:41:52.100000,219,234.256867,9
41647,2021-10-25,15:41:52.300000,219,334.918969,9
41927,2021-10-25,15:41:52.600000,219,32.932663,9
42196,2021-10-25,15:41:52.900000,219,402.027037,9
42460,2021-10-25,15:41:53.200000,219,267.810901,9
42754,2021-10-25,15:41:53.500000,219,234.256867,9
43022,2021-10-25,15:41:53.700000,219,334.918969,9
43291,2021-10-25,15:41:54,219,200.702833,9
43560,2021-10-25,15:41:54.300000,219,267.810901,9
43836,2021-10-25,15:41:54.500000,219,133.594765,9
44123,2021-10-25,15:41:54.800000,218,267.810901,9
44387,2021-10-25,15:41:55.100000,218,133.594765,9
44672,2021-10-25,15:41:55.400000,218,32.932663,9
44936,2021-10-25,15:41:55.600000,218,234.256867,9
45204,2021-10-25,15:41:55.900000,218,32.932663,9
45487,2021-10-25,15:41:56.200000,218,234.256867,9
45750,2021-10-25,15:41:56.400000,218,133.594765,9
46021,2021-10-25,15:41:56.700000,218,200.702833,9
46288,2021-10-25,15:41:57,218,301.364935,9
46571,2021-10-25,15:41:57.300000,218,167.148799,9
46851,2021-10-25,15:41:57.500000,218,267.810901,9
47122,2021-10-25,15:41:57.800000,218,100.04073100000001,9
47397,2021-10-25,15:41:58.100000,218,66.486697,9
47666,2021-10-25,15:41:58.400000,218,301.364935,9
47939,2021-10-25,15:41:58.600000,218,435.581071,9
